Sett_Upper,SettX,SettY,SG_id
WOOD.FARM,383337,200429,1
COLLIERS.WOOD,382931,200706,2
JUNGLE,383314,200694,2
SCRUB,383045,200620,2
ELBOW,382811,200806,3
FORK,382786,200771,3
PEGLARS,382355,200596,3
PEN.(NEEDS.RENAME),382413,200651,3
PUDDLES,382779,200661,3
SEDGE,382706,200584,3
SPRING,382317,200560,3
WOODRUSH,382713,200607,3
SCOTLAND.BANK,383412,200931,4
HOLLOW.TREE,382930,201326,5
LINSEED,383011,201367,5
NETTLE,383024,201142,5
QUARRY,383188,201092,5
STINGER,383066,201113,5
DAM,383126,200958,6
HURDLES,383082,201046,6
POND,383026,200802,6
STUMP,382956,201126,6
XMAS.TREE,382680,201174,6
DUMPER,382529,201326,7
OLD.OAK,382624,201274,7
TOP.OAK,382616,201525,7
WOODMANS,382542,201397,7
BEND,381942,201770,8
BREAKHEART,381370,201620,8
CHAIN,381946,201669,8
ELEVEN.ROW,381824,201695,8
FOREST,381920,201658,8
HONEYWELL,381931,201706,8
STEEP.BANK,381515,201745,8
THIRD.ROW,381860,201755,8
VINE,381932,201624,8
CHERRIES,381841,201313,9
OLD.POND.DRAIN,381503,201484,9
PLANTATION,381649,201342,9
CHICKEN.WIRE,382168,201377,10
COLE.PARK,382049,201493,10
GIANT.BEECH,382420,201405,10
GOLD.TOP,382188,201414,10
LITTLE.BEECH,382359,201429,10
OAK.PILE,382183,201478,10
OLD.COLEPARK,382142,201424,10
TRACKSIDE,382281,201327,10
BUCKHOLT,379874,201435,12
CARPARK,379814,201477,12
CORRAL,380279,201409,12
SPUR,379972,201378,12
WEST,380190,201400,12
ARTHURS,380534,200550,13
BANK,380563,200499,13
BRAMBLE,380625,200466,13
BUSH,380707,200454,13
CLAY,380590,200530,13
CLEMATIS,380402,200474,13
EARTH,380906,200398,13
EDGE,380531,200225,13
FENCE.HOLE,380334,200645,13
JUNCTION,380841,200432,13
MEAD,380390,200637,13
MRS.MACKS,380365,200369,13
OPEN,380812,200417,13
SLIP,380437,200628,13
STONE.DRAIN,380305,200631,13
THISTLE.WOOD.BANK,381109,200408,13
TIP,380475,200580,13
TODDS,380393,200413,13
BLUEBELL,382106,201001,14
BOG,382099,200773,14
CUL-DE-SAC,382399,200920,14
DOLINE,382076,201048,14
DRAIN,382277,201058,14
KENNEL,382464,200922,14
MAID,382606,200941,14
NEEDLES,382440,200974,14
PONTINS,382122,200921,14
POPLAR,382132,201047,14
TAXUS,381737,201220,14
WINDFALL,382124,200793,14
WYCH.ELM,382074,201085,14
BLACKTHORN,381573,200897,15
BLUEBOTTLE,381761,200946,15
SAPLING,381716,201013,15
TOP,381795,200962,15
TRIPWIRE,381813,200992,15
ASH.TREE,381604,201121,16
DEN,381314,201015,16
PUFFBALL,381532,201077,16
UTES,381542,200954,16
YEW,381619,201268,16
BEASTY,380961,201190,17
BEECH,380931,201164,17
CHESTNUT,380834,201150,17
FIELD.BANK,380915,201219,17
FIELD.POLE,381004,201268,17
LEBANON,380690,201353,17
MANSION,380901,201150,17
NEW.FENCE,380635,201191,17
STONEY.TRACK,380742,201140,17
WATERBUTT,380662,201206,17
BOUNDARY,380449,201388,18
BOX,380621,201409,18
BOXER,380597,201427,18
CARTON,380580,201391,18
COMPLEX,380649,201388,18
GROUNDSTUMP,380583,201265,18
JACOBS,380387,201401,18
LARCH,380541,201242,18
BOXWOOD,381241,201774,20
BULL.PEN,381230,201693,20
GRAVEL.PIT,381184,201836,20
SYCAMORE,381103,201676,20
BRACKEN,381157,201365,21
BRICK.KILN,381364,201480,21
FERN,381314,201301,21
HORSE.FIELD,381432,201406,21
HUNTING.GATE,381247,201345,21
LAURELS,381180,201357,21
RUSTY.TRAP,381281,201324,21
SEPTIC.TANK,381357,201285,21
CEDAR,381022,201589,24
FOX,381016,201635,24
RABBIT,380856,201662,24
ATCOMBE.CORNER,383696,201502,
ATCOMBE.WEST,383375,201417,
BAMBOO,383699,201850,
BENCH,380417,201488,
BORAX,384023,200756,
BOUNDARY.COURT,382916,202222,
BOWLAS,382396,199692,
BUNGALOW,383675,202710,
CLIFF.FACE,380646,199943,
CONVENT,383938,201266,
COVERT,380714,199933,
DARK.WOOD,383135,202599,
DINGLE,383237,202222,
DUMP,380662,200205,
FIELD.FARM,380936,199687,
FINGER,380659,200133,
GULLY,382734,202283,
HEDGE,381350,200278,
HOGARTHS,382627,200053,
HOLLY,383947,200713,
HOLLYWOOD,381353,199891,
HOPPER,383666,200473,
INCHBROOK,384013,200739,
JACKS,380678,200030,
LAY,380860,199736,
LISTERS,383444,201738,
MEADOW,381112,199639,
PARK.MILL,383730,200924,
PEN,382191,199820,
PRIORY,384143,201139,
PYLON,381275,200279,
SANDY,383812,200913,
SELSLEY,383749,203824,
SINGLE,380737,200025,
STREAM,383608,202451,
STREAM.(NEEDS.NEW.NAME),380919,199926,
THICKET,380872,200010,
VILLIERS.CUT,384110,203159,
VILLIERS.UPPER,383397,203233,
WALL,382201,200574,
WASP.NEST,380866,199947,
WINDSOR.EDGE,383635,200531,
