Sett_Clean,SG_id
ARTHURS,4
ASHTREE,11
ATCOMBECORNER,999
ATCOMBEWEST,999
BAMBOO,999
BANK,4
BEASTY,3
BEECH,3
BENCH,999
BEND,8
BLACKTHORN,12
BLUEBELL,15
BLUEBOTTLE,12
BOG,15
BORAX,999
BOUNDARY,2
BOUNDARYCOURT,999
BOWLAS,999
BOX,2
BOXER,2
BOXWOOD,7
BRACKEN,10
BRAMBLE,4
BREAKHEART,7
BRICKKILN,10
BUCKHOLT,1
BULLPEN,7
BUNGALOW,999
BUSH,4
CARPARK,1
CARTON,2
CEDAR,6
CHAIN,8
CHERRIES,13
CHESNUT,3
CHICKENWIRE,14
CLAY,4
CLEMATIS,4
CLIFFFACEFACE,999
COLEPARK,14
COLLIERSWOOD,21
COMPLEX,2
CONVENT,999
CORRAL,1
COVERT,999
CULDESAC,15
DAM,19
DARKWOOD,999
DEN,11
DINGLE,999
DOLINE,15
DRAIN,15
DUMP,999
DUMPER,17
EARTH,4
EDGE,5
ELBOW,16
ELEVENROW,8
FENCEHOLE,4
FERN,10
FIELDBANK,3
FIELDFARM,999
FIELDPOLE,3
FINGER,5
FOREST,8
FORK,16
FOX,6
GIANTBEECH,14
GOLDTOP,14
GRAVELPITPIT,7
GROUNDSTUMP,2
GULLY,999
HEDGE,999
HOGARTHS,999
HOLLOWTREE,18
HOLLY,999
HOLLYWOOD,999
HONEYWELL,8
HOPPER,999
HORSEFIELD,10
HUNTINGGATE,10
HURDLES,19
INCHBROOK,999
JACKSMIREYMIREY,5
JACOBS,2
JUNCTION,4
JUNGLE,21
KENNEL,15
LARCH,2
LAURELS,10
LAY,999
LEBANON,2
LINSEED,18
LISTERS,999
LITTLEBEECH,14
MAID,15
MANSION,3
MEAD,4
MEADOW,999
MRSMACKS,4
NEEDLES,15
NETTLE,18
NEWFENCE,2
OAKPILE,14
OLDCOLEPARK,14
OLDOAK,17
OLDPONDDRAIN,13
OPEN,4
PARKMILL,20
PEGLARS,16
PEN,999
PENNEEDSRENAME,16
PLANTATION,13
POND,19
PONTINS,15
POPLAR,15
PRIORY,999
PUDDLES,16
PUFFBALL,11
PYLON,999
QUARRY,18
RABBIT,6
RUSTYTRAP,10
SANDY,999
SAPLING,12
SCOTLANDBANK,20
SCRUB,21
SEDGE,16
SELSLEY,999
SEPTICTANK,10
SINGLE,999
SLIP,4
SPRING,16
SPUR,1
STEEPBANK,8
STINGER,18
STONEDRAIN,4
STONEYTRACK,3
STREAM,999
STREAMNEEDSNEWNAME,999
STUMP,19
SYCAMORE,6
TAXUS,11
THICKET,999
THIRDROW,8
THISTLEWOODBANK,4
TIP,4
TODDS,4
TOP,12
TOPOAK,17
TRACKSIDE,14
TRIPWIRE,12
UTES,11
VILLIERSCUT,999
VILLIERSUPPER,999
VINE,8
WALL,16
WASPNEST,999
WATERBUTT,2
WEST,1
WINDFALL,15
WINDSOREDGE,999
WOODFARM,22
WOODMANS,17
WOODRUSH,16
WYCHELM,15
XMASTREE,19
YEW,11
