Sett_Upper,SETT,SettX,SettY
ARTHURS,Arthurs,380534,200550
ASH.TREE,Ash.Tree,381604,201121
ATCOMBE.CORNER,Atcombe.Corner,383696,201502
ATCOMBE.WEST,Atcombe.West,383375,201417
BAMBOO,Bamboo,383699,201850
BANK,Bank,380563,200499
BEASTY,Beasty,380961,201190
BEECH,Beech,380931,201164
BENCH,Bench,380417,201488
BEND,Bend,381942,201770
BLACKTHORN,Blackthorn,381573,200897
BLUEBELL,Bluebell,382106,201001
BLUEBOTTLE,Bluebottle,381761,200946
BOG,Bog,382099,200773
BORAX,Borax,384023,200756
BOUNDARY,Boundary,380449,201388
BOUNDARY.COURT,Boundary.Court,382916,202222
BOWLAS,Bowlas,382396,199692
BOX,Box,380621,201409
BOXER,Boxer,380597,201427
BOXWOOD,Boxwood,381241,201774
BRACKEN,Bracken,381157,201365
BRAMBLE,Bramble,380625,200466
BREAKHEART,Breakheart,381370,201620
BRICK.KILN,Brick.Kiln,381364,201480
BUCKHOLT,Buckhole,379874,201435
BULL.PEN,Bull.Pen,381230,201693
BUNGALOW,Bungalow,383675,202710
BUSH,Bush,380707,200454
CARPARK,Carpark,379814,201477
CARTON,Carton,380580,201391
CEDAR,Cedar,381022,201589
CHAIN,Chain,381946,201669
CHERRIES,Cherries,381841,201313
CHESTNUT,Chesnut,380834,201150
CHICKEN.WIRE,Chicken.Wire,382168,201377
CLAY,Clay,380590,200530
CLEMATIS,Clematis,380402,200474
CLIFF.FACE,Cliff.Face,380646,199943
COLE.PARK,Cole.park,382049,201493
COLLIERS.WOOD,Colliers.Wood,382931,200706
COMPLEX,Complex,380649,201388
CONVENT,Convent,383938,201266
CORRAL,Corral,380279,201409
COVERT,Covert,380714,199933
CUL-DE-SAC,Cul-de-sac,382399,200920
DAM,Dam,383126,200958
DARK.WOOD,Darkwood,383135,202599
DEN,Den,381314,201015
DINGLE,Dingle,383237,202222
DOLINE,Doline,382076,201048
DRAIN,Drain,382277,201058
DUMP,Dump,380662,200205
DUMPER,Dumper,382529,201326
EARTH,Earth,380906,200398
EDGE,Edge,380531,200225
ELBOW,Elbow,382811,200806
ELEVEN.ROW,Eleven.Row,381824,201695
FENCE.HOLE,Fence.Hole,380334,200645
FERN,Fern,381314,201301
FIELD.BANK,Field.Bank,380915,201219
FIELD.FARM,Field.Farm,380936,199687
FIELD.POLE,Field.Pole,381004,201268
FINGER,Finger,380659,200133
FOREST,Forest,381920,201658
FORK,Fork,382786,200771
FOX,Fox,381016,201635
GIANT.BEECH,Giant.Beech,382420,201405
GOLD.TOP,Gold.Top,382188,201414
GRAVEL.PIT,Gravel.Pit,381184,201836
GROUNDSTUMP,Groundstump,380583,201265
GULLY,Gully,382734,202283
HEDGE,Hedge,381350,200278
HOGARTHS,Hogarths,382627,200053
HOLLOW.TREE,Hollow.Tree,382930,201326
HOLLY,Holly,383947,200713
HOLLYWOOD,HollyWood,381353,199891
HONEYWELL,Honeywell,381931,201706
HOPPER,Hopper,383666,200473
HORSE.FIELD,Horse.Field,381432,201406
HUNTING.GATE,Hunting.Gate,381247,201345
HURDLES,Hurdles,383082,201046
INCHBROOK,Inchbrook,384013,200739
JACKS,Jacks.Mirey,380678,200030
JACOBS,Jacobs,380387,201401
JUNCTION,Junction,380841,200432
JUNGLE,Jungle,383314,200694
KENNEL,Kennel,382464,200922
LARCH,Larch,380541,201242
LAURELS,Laurels,381180,201357
LAY,Lay,380860,199736
LEBANON,Lebanon,380690,201353
LINSEED,Linseed,383011,201367
LISTERS,Listers,383444,201738
LITTLE.BEECH,Little.Beech,382359,201429
MAID,Maid,382606,200941
MANSION,Mansion,380901,201150
MEAD,Mead,380390,200637
MEADOW,Meadow,381112,199639
MRS.MACKS,Mrs.Macks,380365,200369
NEEDLES,Needles,382440,200974
NETTLE,Nettle,383024,201142
NEW.FENCE,New.Fence,380635,201191
OAK.PILE,Oak.Pile,382183,201478
OLD.COLEPARK,Old.Colepark,382142,201424
OLD.OAK,Old.Oak,382624,201274
OLD.POND.DRAIN,Old.Pond.Drain,381503,201484
OPEN,Open,380812,200417
PARK.MILL,Park.mill,383730,200924
PEGLARS,Peglars,382355,200596
PEN,Pen,382191,199820
PEN.(NEEDS.RENAME),Pen.(needs.rename),382413,200651
PLANTATION,Plantation,381649,201342
POND,Pond,383026,200802
PONTINS,Pontins,382122,200921
POPLAR,Poplar,382132,201047
PRIORY,Priory,384143,201139
PUDDLES,Puddles,382779,200661
PUFFBALL,Puffball,381532,201077
PYLON,Pylon,381275,200279
QUARRY,Quarry,383188,201092
RABBIT,Rabbit,380856,201662
RUSTY.TRAP,Rusty.Trap,381281,201324
SANDY,Sandy,383812,200913
SAPLING,Sapling,381716,201013
SCOTLAND.BANK,Scotland.Bank,383412,200931
SCRUB,Scrub,383045,200620
SEDGE,Sedge,382706,200584
SELSLEY,Selsley,383749,203824
SEPTIC.TANK,Septic.Tank,381357,201285
SINGLE,Single,380737,200025
SLIP,Slip,380437,200628
SPRING,Spring,382317,200560
SPUR,Spur,379972,201378
STEEP.BANK,Steep.Bank,381515,201745
STINGER,Stinger,383066,201113
STONE.DRAIN,Stone.Drain,380305,200631
STONEY.TRACK,Stoney.Track,380742,201140
STREAM,Stream,383608,202451
STREAM.(NEEDS.NEW.NAME),Stream.(needs.new.name),380919,199926
STUMP,Stump,382956,201126
SYCAMORE,Sycamore,381103,201676
TAXUS,Taxus,381737,201220
THICKET,Thicket,380872,200010
THIRD.ROW,Third.Row,381860,201755
THISTLE.WOOD.BANK,Thistle.Wood.Bank,381109,200408
TIP,Tip,380475,200580
TODDS,Todds,380393,200413
TOP,Top.Sett,381795,200962
TOP.OAK,Top.Oak,382616,201525
TRACKSIDE,Trackside,382281,201327
TRIPWIRE,Tripwire,381813,200992
UTES,Utes,381542,200954
VILLIERS.CUT,Villiers.Cut,384110,203159
VILLIERS.UPPER,Villiers.Upper,383397,203233
VINE,Vine,381932,201624
WALL,Wall,382201,200574
WASP.NEST,Wasp.Nest,380866,199947
WATERBUTT,Waterbutt,380662,201206
WEST,West,380190,201400
WINDFALL,Windfall,382124,200793
WINDSOR.EDGE,Windsoredge,383635,200531
WOOD.FARM,Wood.Farm,383337,200429
WOODMANS,Woodmans,382542,201397
WOODRUSH,Woodrush,382713,200607
WYCH.ELM,Wych.Elm,382074,201085
XMAS.TREE,Xmas.Tree,382680,201174
YEW,Yew,381619,201268
