tattoo,capture_date,primary_year,trap_season,has_live_capture,has_pm_record,sett,socg,where,comment,sex,age_fc,year_fc,modal_sett,differs_from_modal,culture_tested,culture_positive,culture_samples,ifn_tested,ifn_positive,dpp_tested,dpp_positive,hist_tested,hist_positive,tested_this_season,any_positive_test,Sett_Clean,SG_id,x,y,quarter_idx,previous_q,previous_year,previous_season,previous_sett,previous_SG,previous_x,previous_y,delta_q,distance_m,same_sett,same_SG,movement_type
001B,2006-05-24,2006,2,TRUE,FALSE,SCOTLANDBANK,PARKMILL,SETT,,Male,Adult,2006,PARKMILL,TRUE,TRUE,FALSE,TA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,SCOTLANDBANK,20,383412,200931,122,121,2006,1,PARKMILL,20,383730,200924,1,318.0770346944274,FALSE,TRUE,"different sett, same SG"
001B,2009-05-05,2009,2,TRUE,FALSE,PARKMILL,PARKMILL,SETT,Two whiskers collected & fur clipped.,Male,Adult,2006,PARKMILL,FALSE,TRUE,FALSE,FAECES | OA | TA | URINE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,PARKMILL,20,383730,200924,134,122,2006,2,SCOTLANDBANK,20,383412,200931,12,318.0770346944274,FALSE,TRUE,"different sett, same SG"
001E,2015-07-15,2015,3,TRUE,FALSE,WEST,WEST,SETT,,Female,Cub,2013,WEST,FALSE,TRUE,FALSE,OA | TA | URINE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,WEST,1,380190,201400,159,150,2013,2,WEST,1,380190,201400,9,0,TRUE,TRUE,same sett
001F,2010-05-24,2010,2,TRUE,FALSE,COLLIERSWOOD,COLLIERSWOOD,SETT,,Male,Adult,2010,COLLIERSWOOD,FALSE,TRUE,FALSE,FAECES | OA | TA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,COLLIERSWOOD,21,382931,200706,138,137,2010,1,COLLIERSWOOD,21,382931,200706,1,0,TRUE,TRUE,same sett
001F,2010-09-21,2010,3,TRUE,FALSE,COLLIERSWOOD,COLLIERSWOOD,SETT,Whiskers for Andy.,Male,Adult,2010,COLLIERSWOOD,FALSE,TRUE,FALSE,FAECES | OA | TA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,COLLIERSWOOD,21,382931,200706,139,138,2010,2,COLLIERSWOOD,21,382931,200706,1,0,TRUE,TRUE,same sett
001K,2012-06-27,2012,2,TRUE,FALSE,BOXWOOD,BREAKHEART,SETT,Whiskers x 2,Male,Adult,2012,BOXWOOD,FALSE,TRUE,FALSE,OA | TA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,BOXWOOD,7,381241,201774,146,145,2012,1,BOXWOOD,7,381241,201774,1,0,TRUE,TRUE,same sett
001K,2013-08-13,2013,3,TRUE,FALSE,BOXWOOD,BREAKHEART,SETT,,Male,Adult,2012,BOXWOOD,FALSE,TRUE,FALSE,FAECES | OA | TA | URINE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,BOXWOOD,7,381241,201774,151,146,2012,2,BOXWOOD,7,381241,201774,5,0,TRUE,TRUE,same sett
001K,2014-06-03,2014,2,TRUE,FALSE,YEW,YEW,SETT,Whiskers x 2.,Male,Adult,2012,BOXWOOD,TRUE,TRUE,FALSE,FAECES | OA | TA | URINE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,YEW,11,381619,201268,154,151,2013,3,BOXWOOD,7,381241,201774,3,631.6011399609725,FALSE,FALSE,different SG
001L,2012-06-26,2012,2,TRUE,FALSE,INCHBROOK,INCHBROOK,SETT,2 x whiskers,Female,Adult,2011,INCHBROOK,FALSE,TRUE,FALSE,FAECES | OA | TA | URINE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,INCHBROOK,999,384013,200739,146,141,2011,1,INCHBROOK,999,384013,200739,5,0,TRUE,TRUE,same sett
001L,2013-08-13,2013,3,TRUE,FALSE,INCHBROOK,INCHBROOK,SETT,Whiskers.,Female,Adult,2011,INCHBROOK,FALSE,TRUE,FALSE,FAECES | OA | TA | URINE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,INCHBROOK,999,384013,200739,151,146,2012,2,INCHBROOK,999,384013,200739,5,0,TRUE,TRUE,same sett
001L,2014-09-10,2014,3,TRUE,FALSE,INCHBROOK,INCHBROOK,SETT,2 x whiskers.,Female,Adult,2011,INCHBROOK,FALSE,TRUE,FALSE,OA | TA | URINE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,INCHBROOK,999,384013,200739,155,151,2013,3,INCHBROOK,999,384013,200739,4,0,TRUE,TRUE,same sett
001P,2008-06-03,2008,2,TRUE,FALSE,OLDOAK,OLDOAK,SETT,Very little urine.,Female,Adult,2008,OLDOAK,FALSE,TRUE,FALSE,OA | TA | URINE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,OLDOAK,17,382624,201274,130,129,2008,1,OLDOAK,17,382624,201274,1,0,TRUE,TRUE,same sett
001P,2008-08-20,2008,3,TRUE,FALSE,TRACKSIDE,TRACKSIDE,SETT,,Female,Adult,2008,OLDOAK,TRUE,TRUE,FALSE,OA | TA | URINE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRACKSIDE,14,382281,201327,131,130,2008,2,OLDOAK,17,382624,201274,1,347.0705980056507,FALSE,FALSE,different SG
001P,2011-10-04,2011,4,TRUE,FALSE,NETTLE,NETTLE,SETT,,Female,Adult,2008,OLDOAK,TRUE,TRUE,FALSE,FAECES | OA | TA | URINE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NETTLE,18,383024,201142,144,131,2008,3,TRACKSIDE,14,382281,201327,13,765.6853139508423,FALSE,FALSE,different SG
001P,2012-08-14,2012,3,TRUE,FALSE,SCOTLANDBANK,SCOTLANDBANK,SETT,Whiskers x 2.,Female,Adult,2008,OLDOAK,TRUE,TRUE,FALSE,FAECES | OA | TA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,SCOTLANDBANK,20,383412,200931,147,144,2011,4,NETTLE,18,383024,201142,3,441.6616351914665,FALSE,FALSE,different SG
001P,2012-10-16,2012,4,TRUE,FALSE,NETTLE,NETTLE,SETT,,Female,Adult,2008,OLDOAK,TRUE,TRUE,FALSE,FAECES | OA | TA | URINE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NETTLE,18,383024,201142,148,147,2012,3,SCOTLANDBANK,20,383412,200931,1,441.6616351914665,FALSE,FALSE,different SG
001P,2013-06-05,2013,2,TRUE,FALSE,TAXUS,YEW,SETT,Abscess on neck healed.,Female,Adult,2008,OLDOAK,TRUE,TRUE,FALSE,NECK | OA | TA | URINE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TAXUS,11,381737,201220,150,148,2012,4,NETTLE,18,383024,201142,2,1289.36146987569,FALSE,FALSE,different SG
001P,2013-10-23,2013,4,TRUE,FALSE,OLDOAK,OLDOAK,SETT,1 swab of rump taken. Whiskers taken. Red blood sample is 2 x 4ml and Green blood sample is 3 x 4ml.,Female,Adult,2008,OLDOAK,FALSE,TRUE,FALSE,OA | RUMP | TA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,OLDOAK,17,382624,201274,152,150,2013,2,TAXUS,11,381737,201220,2,888.6422227195825,FALSE,FALSE,different SG
001P,2014-06-24,2014,2,TRUE,FALSE,OLDOAK,OLDOAK,NA,R. Hind foot - ruptured achillis tendon. Very swollen. Collared. Doubly labelled water.  Green blood sample is 6 +2 ml.,Female,Adult,2008,OLDOAK,FALSE,TRUE,TRUE,FAECES | OA | TA | URINE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,OLDOAK,17,382624,201274,154,152,2013,4,OLDOAK,17,382624,201274,2,0,TRUE,TRUE,same sett
001W,2005-06-07,2005,2,TRUE,FALSE,FORK,WOODRUSH,SETT,,Female,Adult,2005,FORK,FALSE,TRUE,FALSE,FAECES | OA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FORK,16,382786,200771,118,117,2005,1,FORK,16,382786,200771,1,0,TRUE,TRUE,same sett
001Z,2019-09-10,2019,3,TRUE,FALSE,KENNEL,KENNEL,SETT,Anal swab taken.,Female,Cub,2019,KENNEL,FALSE,TRUE,FALSE,FAECES | OA | TA | URINE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,KENNEL,15,382464,200922,175,174,2019,2,KENNEL,15,382464,200922,1,0,TRUE,TRUE,same sett
001Z,2019-11-19,2019,4,TRUE,FALSE,KENNEL,KENNEL,SETT,Anal Swab taken. 4ml Phage tube taken.,Female,Cub,2019,KENNEL,FALSE,TRUE,FALSE,OA | TA | URINE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,KENNEL,15,382464,200922,176,175,2019,3,KENNEL,15,382464,200922,1,0,TRUE,TRUE,same sett
002A,2014-09-23,2014,3,TRUE,FALSE,CEDAR,CEDAR,SETT,"Whiskers x 2.  Faeces sample 559 reported as non-UKAS due to late arrival at FERA, York.",Female,Cub,2014,CEDAR,FALSE,TRUE,FALSE,FAECES | OA | TA | URINE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,CEDAR,6,381022,201589,155,154,2014,2,CEDAR,6,381022,201589,1,0,TRUE,TRUE,same sett
002A,2014-11-05,2014,4,TRUE,FALSE,BOXWOOD,BREAKHEART,SETT,,Female,Cub,2014,CEDAR,TRUE,TRUE,FALSE,OA | TA | URINE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,BOXWOOD,7,381241,201774,156,155,2014,3,CEDAR,6,381022,201589,1,286.6810073932349,FALSE,FALSE,different SG
002A,2015-05-20,2015,2,TRUE,FALSE,CEDAR,CEDAR,SETT,,Female,Cub,2014,CEDAR,FALSE,TRUE,FALSE,OA | TA | URINE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,CEDAR,6,381022,201589,158,156,2014,4,BOXWOOD,7,381241,201774,2,286.6810073932349,FALSE,FALSE,different SG
