previous_sett,Sett_Clean,movement_type,n,n_badgers,median_distance_m,median_gap_q
HEDGE,HEDGE,same sett,364,92,0,1
INCHBROOK,INCHBROOK,same sett,289,108,0,2
FIELDFARM,FIELDFARM,same sett,223,49,0,1
WINDSOREDGE,WINDSOREDGE,same sett,222,88,0,1
DINGLE,DINGLE,same sett,116,31,0,2
HOLLYWOOD,HOLLYWOOD,same sett,103,25,0,1
BAMBOO,BAMBOO,same sett,97,28,0,2
BUNGALOW,BUNGALOW,same sett,89,32,0,2
ATCOMBEWEST,ATCOMBEWEST,same sett,68,26,0,2
DARKWOOD,DARKWOOD,same sett,68,21,0,1
ATCOMBECORNER,ATCOMBECORNER,same sett,52,25,0,3
WINDSOREDGE,WOODFARM,peripheral -> core,31,24,314.97301471713416,3
WOODFARM,WINDSOREDGE,core -> peripheral,31,24,314.97301471713416,2
BENCH,BENCH,same sett,29,12,0,1
LISTERS,LISTERS,same sett,22,9,0,2
HOGARTHS,HOGARTHS,same sett,20,12,0,1
WINDSOREDGE,HOPPER,different peripheral sett,17,15,65.76473218982953,2
HOPPER,WINDSOREDGE,different peripheral sett,14,13,65.76473218982953,1.5
JACKSMIREY,SINGLE,SG unassigned,14,14,59.21148537234985,1
SINGLE,JACKSMIREY,SG unassigned,11,11,59.21148537234985,1
ATCOMBEWEST,WALL,peripheral -> core,10,9,1445.3113851347052,1.5
WALL,ATCOMBEWEST,core -> peripheral,10,9,1445.3113851347052,3
BENCH,BOX,peripheral -> core,9,8,218.76242821837573,2
BOX,BENCH,core -> peripheral,9,8,218.76242821837573,1
WEST,BENCH,core -> peripheral,9,8,243.46046907044274,4
BOUNDARYCOURT,BOUNDARYCOURT,same sett,8,6,0,2.5
HEDGE,THISTLEWOODBANK,peripheral -> core,8,8,273.82658746002005,2.5
STREAM,BUNGALOW,different peripheral sett,8,8,267.5256997000475,2.5
BOUNDARYCOURT,GULLY,different peripheral sett,7,7,191.9505144562004,1
BUNGALOW,STREAM,different peripheral sett,7,7,267.5256997000475,1
GULLY,BOUNDARYCOURT,different peripheral sett,7,6,191.9505144562004,2
WASPNEST,JACKSMIREY,SG unassigned,7,5,205.50669088864237,2
ATCOMBECORNER,ATCOMBEWEST,different peripheral sett,6,6,332.06324698767855,5.5
BUNGALOW,DINGLE,different peripheral sett,6,6,655.7347024521426,3.5
GULLY,GULLY,same sett,6,4,0,2.5
INCHBROOK,PARKMILL,peripheral -> core,6,6,338.10353443878694,2.5
JACKSMIREY,WASPNEST,SG unassigned,6,4,205.50669088864237,3.5
LARCH,BENCH,core -> peripheral,6,6,275.4850268163408,1.5
PARKMILL,SANDY,core -> peripheral,6,6,82.73451516749222,4
ATCOMBEWEST,NETTLE,peripheral -> core,5,4,445.89909172367686,4
ATCOMBEWEST,OLDOAK,peripheral -> core,5,4,764.4932962426813,2
DINGLE,DARKWOOD,different peripheral sett,5,5,390.5547336801847,1
FIELDFARM,JACKSMIREY,SG unassigned,5,5,429.2004193846972,3
SANDY,PARKMILL,peripheral -> core,5,5,82.73451516749222,4
BENCH,WEST,peripheral -> core,4,4,243.46046907044274,1
HEDGE,HOLLYWOOD,different peripheral sett,4,4,387.01162773229436,8
HOLLYWOOD,HEDGE,different peripheral sett,4,4,387.01162773229436,1
OLDOAK,ATCOMBEWEST,core -> peripheral,4,3,764.4932962426813,1
PRIORY,PRIORY,same sett,4,3,0,1.5
THISTLEWOODBANK,HEDGE,core -> peripheral,4,4,273.82658746002005,2
ATCOMBEWEST,ATCOMBECORNER,different peripheral sett,3,3,332.06324698767855,4
BAMBOO,ATCOMBEWEST,different peripheral sett,3,3,540.8003328401343,8
BAMBOO,DINGLE,different peripheral sett,3,3,593.1509082855728,6
BENCH,LARCH,peripheral -> core,3,3,275.4850268163408,1
BOUNDARYCOURT,DARKWOOD,different peripheral sett,3,3,435.99311921176,4
DARKWOOD,BOUNDARYCOURT,different peripheral sett,3,3,435.99311921176,4
DARKWOOD,DINGLE,different peripheral sett,3,3,390.5547336801847,2
DINGLE,FIELDFARM,different peripheral sett,3,3,3423.56919018734,4
FIELDFARM,DINGLE,different peripheral sett,3,3,3423.56919018734,12
HEDGE,JUNCTION,peripheral -> core,3,3,531.7866113395485,8
HOGARTHS,WOODRUSH,peripheral -> core,3,2,560.6353538620268,2
NETTLE,ATCOMBEWEST,core -> peripheral,3,3,445.89909172367686,2
PARKMILL,INCHBROOK,core -> peripheral,3,3,338.10353443878694,2
SANDY,SANDY,same sett,3,3,0,4
SCOTLANDBANK,PYLON,core -> peripheral,3,3,2234.2499860132034,5
