"","ARTHURS","ASHTREE","ATCOMBECORNER","ATCOMBEWEST","BAMBOO","BANK","BEECH","BENCH","BEND","BOG","BOUNDARY","BOUNDARYCOURT","BOX","BOXER","BOXWOOD","BRACKEN","BRAMBLE","BREAKHEART","BUCKHOLT","BULLPEN","BUNGALOW","BUSH","CARPARK","CARTON","CEDAR","CHAIN","CHERRIES","CHESNUT","CLAY","COLEPARK","COLLIERSWOOD","COMPLEX","CORRAL","CULDESAC","DAM","DARKWOOD","DEN","DINGLE","DOLINE","EARTH","FERN","FIELDFARM","FOREST","FORK","FOX","GIANTBEECH","GROUNDSTUMP","GULLY","HEDGE","HOGARTHS","HOLLOWTREE","HOLLYWOOD","HONEYWELL","HOPPER","HUNTINGGATE","HURDLES","INCHBROOK","JACKSMIREY","JACOBS","JUNCTION","KENNEL","LARCH","LAURELS","LEBANON","LINSEED","LISTERS","MAID","MANSION","MEAD","MRSMACKS","NEEDLES","NETTLE","NEWFENCE","OAKPILE","OLDCOLEPARK","OLDOAK","OLDPONDDRAIN","OPEN","PARKMILL","PEGLARS","PEN","PONTINS","POPLAR","PRIORY","PYLON","QUARRY","RABBIT","RUSTYTRAP","SANDY","SAPLING","SCOTLANDBANK","SCRUB","SEPTICTANK","SINGLE","SPUR","STONEYTRACK","STREAM","STUMP","SYCAMORE","TAXUS","THICKET","THISTLEWOODBANK","TIP","TODDS","TOP","TOPOAK","TRACKSIDE","UTES","VINE","WALL","WASPNEST","WATERBUTT","WEST","WINDFALL","WINDSOREDGE","WOODFARM","WOODMANS","WOODRUSH","WYCHELM","XMASTREE","YEW"
"ARTHURS",0,1212.82356507449,3302.20350675121,2970.34846440615,3421.58223633453,58.6685605754905,731.166875617324,945.268744855134,1863.02549633654,1580.80802123471,842.299827852292,2910.2419143432,863.394463730223,879.259916065779,1413.51512195661,1025.84306792024,123.842642090679,1357.86449986735,1104.00407607943,1338.23204265927,3812.01796952743,197.85095400326,1173.76701265626,842.25708664279,1147.89590120359,1801.63953109383,1513.41269982778,670.820393249937,59.464274989274,1784.50945640532,2402.07098146579,845.854006315511,896.050221806791,1901.34820587919,2623.9146327577,3311.13303870442,908.088652059919,3178.33179514034,1620.42216721446,401.855695492798,1082.77467646782,952.036238806066,1774.4463925405,2262.81793346261,1187.24428825748,2070.75372751083,716.677054188286,2800.58725984391,860.139523565799,2151.19920044611,2518.52972982254,1051.20977925436,1813.26914714832,3132.94637681528,1067.89231666868,2595.82742107406,3484.13002053597,539.570199325352,863.602918012671,328.896640299046,1965.52384874872,692.035403718625,1033.71417713022,818.012836085107,2608.25957297198,3143.15828427396,2108.56942024682,703.341311171184,168.240898713719,247.632792658808,1952.59109902714,2559.40696255988,648.908314016703,1892.19052951863,1830.17485503435,2211.84900027104,1345.85177489945,308.176897252211,3217.80857106199,1821.58090679497,1810.67639295375,1630.76209178408,1673.50321182841,3656.74746188467,789.000633713307,2708.77832241769,1157.68216709078,1075.67885542108,3298.03774993556,1269.44594213381,2903.10953978661,2511.97551739662,1103.42829400011,562.880093803289,1000.71374528383,625.590920650228,3614.31556452947,2489.5501601695,1261.60096702563,1376.99273781672,637.058866981694,592.274429635452,66.1891229734916,196.596032513375,1326.59903512704,2298.98869070729,1911.9984309617,1085.94659168856,1762.91803553086,1667.17275649526,688.35528617132,668.371154374574,916.971100962293,1608.46168745171,3101.05820648372,2805.61045050805,2179.32856632496,2179.74539797656,1630.28371763936,2234.88075744546,1301.05687808028
"ASHTREE",1212.82356507449,0,2126.41129605728,1795.5659275003,2218.21234330711,1212.66854498663,674.372300736025,1242.44034062002,731.741074424554,605.08594430874,1185.45940461915,1712.75946939435,1024.32075054643,1052.46615147472,747.11311057965,509.259265993266,1177.90746665432,551.141542618591,1758.26505396655,683.417880948399,2610.35668060899,1117.8094649805,1825.05780730365,1058.99763927971,746.825280771882,645.962847228848,305.013114472149,770.545910377831,1173.65966106022,580.007758568797,1390.37908499804,991.621903751627,1355.93842043066,820.015853505284,1530.70343306599,2128.0143326585,308.765283022557,1969.48978164397,477.611767024222,1004.95422781339,341.32096331752,1581.95448733521,623.077041785364,1232.73030302658,780.986555582105,864.009259209645,1031.10474734626,1620.84669231855,880.434551798145,1478.9026337119,1341.75295788755,1255.34895547015,670.189525432918,2161.42267962562,421.45581025773,1479.90168592376,2439.09921897409,1430.99860237528,1248.79501920852,1028.05155512747,882.723626057443,1069.86447739889,485.254572363826,942.984623416522,1428.34344609411,1940.69291749107,1018.03929197256,703.597896528976,1306.9246343994,1449.35330406357,848.825659367105,1420.15527320079,971.525089742926,680.213201871296,617.456881085635,1031.41116922399,376.789065658758,1059.66032293372,2135.10772561948,916.311082547843,1427.29464372287,555.269304031836,533.160388626162,2539.06380384582,903.99391590873,1584.26544493024,923.138667806739,381.494429841381,2217.77546203397,155.589202710214,1817.95599506699,1525.6087309661,296.487773778279,1397.46377412797,1652.11167903384,862.209371324622,2405.185231952,1352.00924553052,747.6804130108,165.801085641802,1330.46796278603,867.98271872198,1251.92731418401,1402.77760176016,248.519616931944,1089.66049758629,707.647511124006,178.137587274556,600.493963333521,809.702414470897,1386.69390998879,945.827151227961,1441.26229396318,614.804033818907,2114.96122895906,1866.05278596293,977.762752409806,1222.32442501981,471.376707103777,1077.30450662754,147.763324272297
"ATCOMBECORNER",3302.20350675121,2126.41129605728,0,332.063246987679,348.012930794245,3289.63493415303,2785.58234486077,3279.02988702451,1774.3562212814,1755.5198660226,3249.00061557396,1061.50836077725,3076.40602001751,3099.90741797235,2470.02206467878,2542.69345380052,3241.03949374271,2328.9911979224,3822.58721287036,2473.3857361924,1208.18251932396,3167.4003536023,3882.08049890777,3117.97642710781,2675.41492109168,1757.95022682669,1864.60344309454,2883.56515445724,3254.53836972312,1647.02458998037,1104.01132240571,3049.13184365649,3418.26534955963,1421.59523071794,787.931469101216,1232.12418205309,2431.2739458975,853.862401092822,1682.41374221682,3000.48596064038,2390.46543585135,3303.30516301476,1782.83818671241,1167.24504710879,2683.29815711933,1279.68160102425,3122.00864829039,1239.11460325508,2646.10884129886,1800.6559915764,785.959286477359,2843.40816626808,1776.75012311805,1029.43722489523,2454.02730221161,764.808472756415,826.231202509322,3357.84275986831,3310.54104339457,3048.92194062098,1361.69893882605,3165.69502637257,2520.1747955251,3009.69051565107,698.176195526602,345.253530032641,1225.89599885145,2817.07809618406,3417.28854503099,3518.41583670833,1362.46834825621,762.354248364892,3076.75835905259,1513.19033832496,1555.95629758679,1095.97810197102,2193.07387016489,3081.34402493457,578.999136441498,1618.36862302752,2257.02215319212,1677.80719988919,1628.84038505926,575.828099349103,2712.37349935439,652.812377333641,2844.50347160976,2421.55094928849,600.314084459127,2039.49037752082,637.727998444478,1096.23218343561,2349.0444865945,3307.14529466124,3726.06387492217,2976.09811666215,953.07135094913,830.045781869892,2598.8314681795,1979.19301736844,3193.90669869989,2808.80846623617,3350.36192074826,3477.89160268114,1976.2087440349,1080.24487964535,1425.78048801349,2222.61557629744,1768.21378797927,1759.60478517194,3229.07494493392,3048.40482875881,3507.48342832864,1724.48977961599,972.914179154565,1131.46365385725,1158.76701713502,1329.40362569086,1674.74565233053,1067.63289570901,2090.13994746763
"ATCOMBEWEST",2970.34846440615,1795.5659275003,332.063246987679,0,540.800332840134,2958.05138562534,2457.06023532188,2958.85197331668,1475.83806699787,1429.30472608188,2926.14370802256,926.663908868798,2754.01161943809,2778.01799850181,2163.65547164977,2218.60947442311,2909.7939789614,2015.25035665547,3501.04627218779,2162.68374941876,1327.34660130653,2836.47545379825,3561.50544011939,2795.12092761655,2359.27806754524,1451.04962010263,1537.52138196514,2554.98923676794,2922.84005720464,1328.17619313102,838.246383827571,2726.154250955,3096.01033590006,1095.2556779127,522.18962073178,1206.11939707477,2099.83927956403,816.742921609976,1350.39327604961,2671.01516281731,2064.26185354475,2990.25433700881,1474.82405730311,874.206497344878,2369.05149796285,955.075389694447,2796.13447459166,1077.42145885443,2323.34801525729,1555.6349186104,454.209202901042,2533.21140057438,1472.63607181136,987.83450030863,2129.21769671398,472.747289785991,930.982276952682,3032.75089646347,2988.04283771167,2718.70943647901,1036.79602622695,2839.39799957667,2195.81989243198,2685.76264774086,367.418018066616,328.332148898033,904.39869526664,2488.36592968156,3085.22689603212,3187.22512540297,1034.63713445826,445.899091723677,2749.30463935883,1193.55980160191,1233.01987007509,764.493296242681,1873.19860132342,2751.17593039776,607.514608877844,1309.36664078477,1988.03043236264,1347.59971801719,1296.89976482379,816.766796582721,2388.52339322854,374.95866438849,2530.88640598507,2096.06416886507,667.071960136236,1707.48264998506,487.406401271054,862.617528224415,2022.31253766573,2982.73498655177,3403.22347194538,2647.53054751026,1059.9268842708,510.139196690472,2286.71489259155,1649.80392774414,2871.35124984736,2480.49128198428,3018.37191214072,3146.4805735933,1644.20953652507,766.645289557041,1097.69576841673,1890.57081327307,1457.77158704648,1445.31138513471,2907.9169520466,2721.19275318747,3185.04536859367,1397.99034331429,923.361251082154,988.730499175584,833.24006144688,1046.10898093841,1342.69318907932,736.256748695725,1762.31013161702
"BAMBOO",3421.58223633453,2218.21234330711,348.012930794245,540.800332840134,0,3414.62984816803,2851.73981982929,3301.90369332602,1758.82034329831,1928.71174621818,3282.67330083272,866.87542357596,3109.4316200875,3130.70806687561,2459.17465829493,2587.85413035588,3371.19148076759,2340.32925034064,3847.44720561569,2473.98666124133,860.334818544501,3301.64807331127,3902.86484521306,3152.59290108951,2689.69329106499,1762.31949430289,1934.04575954138,2949.27533472207,3377.61469087284,1688.17919664946,1377.88243330119,3084.79237550925,3448.31567580464,1598.40545544615,1060.18536115153,937.601727814108,2526.94479559804,593.150908285573,1810.34057569287,3147.88071565617,2447.37124278275,3508.95112533646,1789.3308805249,1413.43906837189,2691.60063902504,1354.20308668973,3170.43861318903,1057.69277202787,2826.47925872454,2092.46099127319,930.557359865581,3056.36990562334,1773.85455999076,1377.39536807701,2503.46340097074,1013.4618887753,1154.52024668258,3526.87411173124,3342.29636627275,3190.43696066855,1544.8006343862,3215.99564676322,2566.78982388508,3049.76884369947,840.614656070188,278.512118228274,1421.59417556488,2884.23369372178,3524.32262995317,3648.13884055966,1533.77214735436,978.207033301233,3134.06716584058,1560.97405487727,1614.22582063353,1219.59050504667,2226.29108608915,3223.08206535297,926.518753183118,1838.16538972966,2528.82660536463,1830.29232637849,1760.76631044554,838.246383827571,2888.56659954379,914.158082609348,2849.20918852934,2474.55046422578,943.789171372505,2152.40748930122,962.772039477674,1393.05994128035,2409.1884525707,3479.09025464991,3756.76895749526,3041.04406413324,607.850310520608,1037.41264692503,2601.82474429005,2060.66591178677,3373.05929387552,2964.36569943723,3465.12279724687,3604.80304593746,2100.89504735482,1130.71393376044,1511.374539947,2335.69368710882,1781.39411697693,1967.78555742235,3412.81379509636,3104.52975505148,3537.73670586153,1896.80626316975,1320.55177861377,1466.38501083447,1242.52082477518,1586.58280590709,1796.06514358472,1222.83972784662,2159.88981200431
"BANK",58.6685605754905,1212.66854498663,3289.63493415303,2958.05138562534,3414.62984816803,0,760.032236158441,999.718460367718,1875.38849308617,1560.2474162773,896.279532288895,2916.39126318812,911.846478306518,928.622635950686,1444.05990180463,1050.13903841349,70.2353187506115,1381.26391395707,1162.24653150698,1367.6713786579,3817.46840196484,150.867491528162,1231.86241114826,892.161980808418,1182.70072292191,1811.5156637468,1515.21615619686,705.15388391471,41.1096095821889,1787.80088376754,2377.03029008887,893.150043385768,953.286945258352,1883.64991439492,2603.77610404581,3320.41925063688,911.184394071804,3181.03835248807,1609.5247745841,357.561183575622,1098.72881094472,893.573164323996,1784.58118335928,2239.57875503408,1222.99018802278,2066.22481835835,766.261052122578,2809.9638787714,817.441129378746,2111.63727945876,2507.31290428618,996.877123822189,1824.35550263648,3103.10892493319,1087.92095301083,2577.7063447957,3458.33775100119,482.893362969507,919.010337265039,285.959787382772,1947.49326057884,743.325635236671,1056.81266078714,863.391568177498,2597.33093771279,3136.12531637369,2090.26625098335,733.515507675196,221.298441024784,236.862829502647,1936.16993055878,2543.61357128004,695.735581956249,1892.83940153411,1829.99071035894,2201.89600117717,1361.55242278805,262.154534578367,3195.38949112624,1794.62335881377,1763.92318426852,1615.10525972767,1661.94614834537,3636.75679692772,745.214063206003,2691.14733896158,1199.34065219186,1093.68596955433,3275.2705231782,1262.38068743149,2881.56641429622,2484.94768556604,1117.24303533296,504.927717599262,1059.20819483235,665.523853817427,3616.95023465903,2473.77808220544,1294.96293383247,1377.7216700045,578.44792332586,553.531390257138,119.603511654132,190.515091265758,1316.12803328552,2295.10021567687,1907.12034229621,1079.56750599488,1771.94413004474,1639.71613396954,629.692782235909,713.897751782424,975.156397712695,1588.44483693958,3072.16666214579,2774.88306059913,2173.2107583021,2152.71084913882,1620.65326334784,2222.00675066481,1306.32959087667
"BEECH",731.166875617324,674.372300736025,2785.58234486077,2457.06023532188,2851.73981982929,760.032236158441,0,607.595260021011,1178.70988797074,1231.70816348679,531.507290636732,2249.35301809209,395.126562002607,425.11763078,684.25141578224,302.451649028403,762.12859807253,632.974723034024,1091.18742661378,607.652861426654,3149.54790406496,744.497145729921,1160.02499973061,418.007176971879,434.633178669093,1133.68866978549,922.117671449799,98.0051019080129,719.886796656252,1165.40336364711,2051.77094238124,360.138862107382,696.51202430396,1488.13977838105,2204.6453229488,2629.98878324604,410.962285374218,2537.1243564319,1150.86098204779,766.407854865802,406.765288587903,1477.00846307663,1105.51209853172,1896.173515267,478.608399424832,1508.37727376144,362.360317915745,2122.02026380523,980.080098767443,2027.4952527688,2005.55353954962,1341.12378250481,1137.43747080884,2820.94062326735,364.1661708616,2154.23420268085,3111.16521579938,1161.8799421627,593.384361101639,737.512033800127,1551.98356950066,397.723522060237,315.039680040467,306.271121720609,2089.88253258407,2577.72089257158,1689.77927552684,33.1058907144937,755.254923850219,975.900097346035,1520.91452751297,2093.11562031341,297.228868046157,1290.77496102148,1238.5963830078,1696.56977457457,655.426578649356,756.419195948913,2809.27054588909,1533.10143173894,1842.26382475475,1215.53691840273,1206.68554313044,3212.09728993379,949.50566085727,2258.14813508769,503.615925085774,384.837628097877,2891.91320754963,799.39101821324,2491.91693280494,2182.87241954265,442.850990740678,1155.40339275943,982.586891831964,190.517715711689,2970.30267817945,2025.35651182699,540.118505515225,807.943067301156,1155.50724792188,776.672389106243,740.939943585173,923.820870082507,887.299273075325,1723.23707016765,1359.80476539833,646.081264238486,1101.63560218432,1400.35709731482,1218.73458964616,272.25906780124,777.674096263981,1249.35583402008,2777.10370710206,2515.76250866412,1627.76226765459,1867.02249584733,1145.72684353645,1749.0285875308,695.816067650065
"BENCH",945.268744855134,1242.44034062002,3279.02988702451,2958.85197331668,3301.90369332602,999.718460367718,607.595260021011,0,1550.85428071112,1827.66216790741,104.995237987254,2604.56464692278,218.762428218376,190.055255123346,872.2224486907,750.152651131755,1042.95158085119,962.098227833312,545.580424868781,838.447374615724,3479.63331401457,1073.8975742593,603.100323329378,189.678675659653,613.372643667779,1539.67593993022,1434.71286325871,536.780215730796,973.495249089588,1632.00765929575,2632.81598293538,252.63412279421,159.012578118839,2061.78272376116,2760.35885348264,2936.29783911646,1014.0700173065,2913.95881920112,1716.35689761774,1194.6635509632,916.284890195184,1874.28973213855,1512.58355141129,2475.12625940577,616.773864556533,2004.71893291803,278.001798555333,2449.59466034689,1527.9361897671,2635.01897526375,2518.21623376548,1851.08211595272,1529.6143304768,3403.85457973751,842.228591298111,2701.40500480768,3673.1753293302,1481.17689693028,92.0271699010678,1137.94200203701,2123.80907804821,275.485026816341,774.164065298823,304.555413677052,2596.82055598765,3037.30620780981,2256.30893274835,590.338885725818,851.428211888706,1120.20757005119,2087.27693418962,2629.86026244742,368.419597741488,1766.02831234383,1726.1868380914,2217.35089690378,1086.00736645752,1141.51916322066,3360.66436884138,2133.42635213874,2435.01540036198,1796.80661174207,1770.79247796008,3742.3090465647,1482.51306908236,2799.15290757758,472.225581687397,879.42708623285,3443.34866082423,1383.12183122095,3046.35421446686,2767.63581419232,961.669901785431,1497.58772697963,458.393935387457,476.160687163483,3333.14416129876,2564.67639284179,711.294594384071,1346.93132712845,1546.45045184125,1282.67844762435,909.850537176299,1075.26787360174,1474.97796593712,2199.31125582533,1870.94013800549,1245.30357744608,1521.09204192251,2004.50791966507,1605.08006030852,373.562578425623,243.460469070443,1843.06104076886,3357.28655315569,3106.10382955883,2126.94757810342,2459.22284472148,1705.30290564462,2284.68050282747,1221.96726633736
"BEND",1863.02549633654,731.741074424554,1774.3562212814,1475.83806699787,1758.82034329831,1875.38849308617,1178.70988797074,1550.85428071112,0,1009.28588615912,1541.09474076061,1073.76906269458,1369.43857109401,1388.04682918121,701.011412175294,883.317609922954,1853.34967019179,591.340849257008,2094.95799480562,716.15152028045,1971.51946477837,1804.73848521053,2148.07658150262,1413.74856321766,937.635856822893,101.079176886241,468.027776953462,1269.67082348143,1834.53100273612,296.947806861745,1452.65859719344,1348.24812256498,1701.73147117869,965.064246565999,1435.68798838745,1452.75255979812,982.043278068742,1371.61547089554,734.329626257854,1719.20912049698,783.801633067959,2313.20664878865,114.140264587042,1307.79853188479,935.788971937584,601.422480457789,1449.79515794474,943.627574840837,1605.15669017078,1848.59784701811,1083.18050204017,1969.15260962679,64.9384323802169,2157.40237322573,814.647162887099,1350.47250990163,2313.43943080427,2150.65013426173,1598.18209225357,1732.7564745226,995.785117382259,1497.1923724091,866.725446724625,1319.618505478,1142.44037043515,1502.34084015579,1062.13793831122,1211.64392459171,1921.56004329815,2109.43831386462,938.946217842108,1251.04276505641,1429.5069079931,378.609297297359,399.644842328786,843.291171541597,523.943699265484,1762.8128091207,1978.0444888829,1244.52601419175,1965.83341104988,867.87153427221,747.548660623508,2289.66416751453,1633.39217581082,1418.52035586381,1091.35695352162,797.393880086874,2057.02430709994,790.015822626357,1692.57821089603,1593.4581889714,759.901309381685,2120.62490789861,2008.62241349637,1355.32283976918,1799.81026777825,1201.22104543668,844.249370743029,586.962520098175,2059.7329924046,1596.53781665202,1888.96506055565,2059.33241609994,821.263051646669,717.147822976546,557.826137788469,908.766196554427,146.342065039414,1223.72259928466,2116.86206447184,1398.7480116161,1790.64345976523,993.807325390591,2097.94423186128,1935.02093011936,706.490622726162,1395.35300193177,697.602322243841,948.609508702079,596.936345015111
"BOG",1580.80802123471,605.08594430874,1755.5198660226,1429.30472608188,1928.71174621818,1560.2474162773,1231.70816348679,1827.66216790741,1009.28588615912,0,1760.88756029452,1663.45724321366,1609.03076415586,1638.20633621043,1318.39485739288,1112.57718833347,1505.63109691584,1117.51957477263,2321.39376237639,1265.52795306939,2497.14737250327,1428.08438126044,2390.99163528441,1639.90396060257,1351.21611890918,908.969196397766,598.468044259675,1319.98257564257,1528.44038156547,721.734023030645,834.693356868257,1575.03174571181,1927.92530975658,334.079331895884,1043.52958750579,2099.42182516997,821.455415710433,1842.45624100004,275.960142049536,1250.54947922903,946.04915305707,1591.21494462565,902.920816018769,687.002911201983,1384.17231586244,708.847656411446,1593.83813481796,1638.08577309004,897.789507624142,892.851611411437,998.183349891191,1155.17963970977,948.004746823559,1595.45886816301,1026.20076008547,1020.20488138413,1914.30196155152,1603.52424365832,1823.54818965664,1303.39748350225,394.241043018101,1627.06023244378,1088.86041345987,1523.70633653601,1088.38412336822,1655.37004926391,534.109539326906,1255.91918529816,1714.40281147693,1780.44151827573,395.830771921537,995.884531459345,1522.50451559265,709.986619592229,652.418577295282,725.690016467086,927.759128222407,1335.32954734028,1637.97496928372,311.231425148554,957.430415226088,149.776500159404,275.98007174432,2076.50957137211,960.73513519596,1134.76076773917,1528.19174189628,986.268219096611,1718.711435931,451.983406775072,1322.47230594822,958.292752763997,901.503189123588,1553.88159137046,2211.36925907909,1405.75175617888,2256.7155336905,926.853818031733,1344.4050728854,575.198226701022,1444.88684678074,1055.14217051542,1635.42807851645,1743.56990109373,357.962288516542,912.574928430537,583.129488192803,585.670555858838,867.231226375065,223.617977810372,1484.10410686043,1500.81910968644,2009.33073434913,32.0156211871642,1554.94694443251,1284.90466572427,765.261393250698,636.044023633585,313,705.947590122666,689.510696073672
