Sett_original,Sett_Clean,x,y,SG_id,spatial_class
ARTHURS,ARTHURS,380534,200550,4,core
ASH.TREE,ASHTREE,381604,201121,11,core
ATCOMBE.CORNER,ATCOMBECORNER,383696,201502,999,peripheral
ATCOMBE.WEST,ATCOMBEWEST,383375,201417,999,peripheral
BAMBOO,BAMBOO,383699,201850,999,peripheral
BANK,BANK,380563,200499,4,core
BEASTY,BEASTY,380961,201190,3,core
BEECH,BEECH,380931,201164,3,core
BENCH,BENCH,380417,201488,999,peripheral
BEND,BEND,381942,201770,8,core
BLACKTHORN,BLACKTHORN,381573,200897,12,core
BLUEBELL,BLUEBELL,382106,201001,15,core
BLUEBOTTLE,BLUEBOTTLE,381761,200946,12,core
BOG,BOG,382099,200773,15,core
BORAX,BORAX,384023,200756,999,peripheral
BOUNDARY,BOUNDARY,380449,201388,2,core
BOUNDARY.COURT,BOUNDARYCOURT,382916,202222,999,peripheral
BOWLAS,BOWLAS,382396,199692,999,peripheral
BOX,BOX,380621,201409,2,core
BOXER,BOXER,380597,201427,2,core
BOXWOOD,BOXWOOD,381241,201774,7,core
BRACKEN,BRACKEN,381157,201365,10,core
BRAMBLE,BRAMBLE,380625,200466,4,core
BREAKHEART,BREAKHEART,381370,201620,7,core
BRICK.KILN,BRICKKILN,381364,201480,10,core
BUCKHOLT,BUCKHOLT,379874,201435,1,core
BULL.PEN,BULLPEN,381230,201693,7,core
BUNGALOW,BUNGALOW,383675,202710,999,peripheral
BUSH,BUSH,380707,200454,4,core
CARPARK,CARPARK,379814,201477,1,core
CARTON,CARTON,380580,201391,2,core
CEDAR,CEDAR,381022,201589,6,core
CHAIN,CHAIN,381946,201669,8,core
CHERRIES,CHERRIES,381841,201313,13,core
CHESTNUT,CHESNUT,380834,201150,3,core
CHICKEN.WIRE,CHICKENWIRE,382168,201377,14,core
CLAY,CLAY,380590,200530,4,core
CLEMATIS,CLEMATIS,380402,200474,4,core
CLIFF.FACE,CLIFFFACEFACE,380646,199943,999,peripheral
COLE.PARK,COLEPARK,382049,201493,14,core
COLLIERS.WOOD,COLLIERSWOOD,382931,200706,21,core
COMPLEX,COMPLEX,380649,201388,2,core
CONVENT,CONVENT,383938,201266,999,peripheral
CORRAL,CORRAL,380279,201409,1,core
COVERT,COVERT,380714,199933,999,peripheral
CUL-DE-SAC,CULDESAC,382399,200920,15,core
DAM,DAM,383126,200958,19,core
DARK.WOOD,DARKWOOD,383135,202599,999,peripheral
DEN,DEN,381314,201015,11,core
DINGLE,DINGLE,383237,202222,999,peripheral
DOLINE,DOLINE,382076,201048,15,core
DRAIN,DRAIN,382277,201058,15,core
DUMP,DUMP,380662,200205,999,peripheral
DUMPER,DUMPER,382529,201326,17,core
EARTH,EARTH,380906,200398,4,core
EDGE,EDGE,380531,200225,5,core
ELBOW,ELBOW,382811,200806,16,core
ELEVEN.ROW,ELEVENROW,381824,201695,8,core
FENCE.HOLE,FENCEHOLE,380334,200645,4,core
FERN,FERN,381314,201301,10,core
FIELD.BANK,FIELDBANK,380915,201219,3,core
FIELD.FARM,FIELDFARM,380936,199687,999,peripheral
FIELD.POLE,FIELDPOLE,381004,201268,3,core
FINGER,FINGER,380659,200133,5,core
FOREST,FOREST,381920,201658,8,core
FORK,FORK,382786,200771,16,core
FOX,FOX,381016,201635,6,core
GIANT.BEECH,GIANTBEECH,382420,201405,14,core
GOLD.TOP,GOLDTOP,382188,201414,14,core
GRAVEL.PIT,GRAVELPITPIT,381184,201836,7,core
GROUNDSTUMP,GROUNDSTUMP,380583,201265,2,core
GULLY,GULLY,382734,202283,999,peripheral
HEDGE,HEDGE,381350,200278,999,peripheral
HOGARTHS,HOGARTHS,382627,200053,999,peripheral
HOLLOW.TREE,HOLLOWTREE,382930,201326,18,core
HOLLY,HOLLY,383947,200713,999,peripheral
HOLLYWOOD,HOLLYWOOD,381353,199891,999,peripheral
HONEYWELL,HONEYWELL,381931,201706,8,core
HOPPER,HOPPER,383666,200473,999,peripheral
HORSE.FIELD,HORSEFIELD,381432,201406,10,core
HUNTING.GATE,HUNTINGGATE,381247,201345,10,core
HURDLES,HURDLES,383082,201046,19,core
INCHBROOK,INCHBROOK,384013,200739,999,peripheral
