Sett_Clean,SG_id,x,y,n_captures,n_badgers,n_quarters_used,first_year,last_year,spatial_class,nearest_sett_m
ARTHURS,4,380534,200550,442,154,113,1977,2019,core,58.66856057549052
ASHTREE,11,381604,201121,3,3,2,1981,1983,core,147.763324272297
ATCOMBECORNER,999,383696,201502,105,52,28,1983,1997,peripheral,332.06324698767855
ATCOMBEWEST,999,383375,201417,131,47,34,1978,1997,peripheral,328.3321488980328
BAMBOO,999,383699,201850,149,50,34,1978,1994,peripheral,278.5121182282739
BANK,4,380563,200499,32,26,18,1977,1997,core,41.10960958218893
BEECH,3,380931,201164,299,120,110,1976,2020,core,33.1058907144937
BENCH,999,380417,201488,66,31,29,1990,2009,peripheral,92.02716990106781
BEND,8,381942,201770,14,12,11,1981,2019,core,64.93843238021688
BOG,15,382099,200773,60,19,15,1983,2003,core,32.01562118716424
BOUNDARY,2,380449,201388,1,1,1,1993,1993,core,63.34824385884742
BOUNDARYCOURT,999,382916,202222,36,26,17,1978,2003,peripheral,191.9505144562004
BOX,2,380621,201409,480,142,118,1979,2019,core,30
BOXER,2,380597,201427,5,5,2,1990,1992,core,30
BOXWOOD,7,381241,201774,159,59,63,1986,2019,core,81.74350127074322
BRACKEN,10,381157,201365,22,21,15,1984,2019,core,24.351591323771842
BRAMBLE,4,380625,200466,33,25,19,1989,2002,core,70.2353187506115
BREAKHEART,7,381370,201620,38,26,23,1981,2019,core,157.88920165736477
BUCKHOLT,1,379874,201435,10,9,8,1991,2007,core,73.23933369440222
BULLPEN,7,381230,201693,27,24,18,1996,2019,core,81.74350127074322
BUNGALOW,999,383675,202710,153,61,33,1978,1994,peripheral,267.5256997000475
BUSH,4,380707,200454,4,4,3,1978,1982,core,82.87339742040264
CARPARK,1,379814,201477,13,10,9,1992,2008,core,73.23933369440222
CARTON,2,380580,201391,1,1,1,2000,2000,core,39.81205847478876
CEDAR,6,381022,201589,191,94,75,1976,2020,core,46.389654018972806
CHAIN,8,381946,201669,37,23,24,1999,2019,core,28.231188426986208
CHERRIES,13,381841,201313,23,9,13,1991,1994,core,139.51702405083043
CHESNUT,3,380834,201150,198,97,69,1980,2019,core,67
CLAY,4,380590,200530,1,1,1,1993,1993,core,41.10960958218893
COLEPARK,14,382049,201493,172,73,76,1978,2019,core,115.80155439371269
COLLIERSWOOD,21,382931,200706,353,96,127,1978,2019,core,142.80056022299073
COMPLEX,2,380649,201388,2,2,1,1992,1992,core,35
CORRAL,1,380279,201409,37,31,16,1989,2009,core,89.45389874119518
CULDESAC,15,382399,200920,20,13,17,1986,2019,core,65.03076195155643
DAM,19,383126,200958,39,25,26,1989,2009,core,98.38699100999075
DARKWOOD,999,383135,202599,103,30,33,1978,1995,peripheral,390.5547336801847
DEN,11,381314,201015,4,3,3,1978,1980,core,236.01906702637396
DINGLE,999,383237,202222,172,55,33,1978,2003,peripheral,321
DOLINE,15,382076,201048,19,11,10,1985,1989,core,37.05401462729781
EARTH,4,380906,200398,7,7,6,1982,2005,core,73.35529974037323
FERN,10,381314,201301,13,11,11,1993,2015,core,40.22437072223753
FIELDFARM,999,380936,199687,299,71,63,1984,2004,peripheral,269.2582403567252
FOREST,8,381920,201658,1,1,1,1999,1999,core,28.231188426986208
FORK,16,382786,200771,138,45,60,1979,2011,core,158.90248582070703
FOX,6,381016,201635,22,19,14,1992,2018,core,46.389654018972806
GIANTBEECH,14,382420,201405,17,14,10,1979,1998,core,122.2620137246234
GROUNDSTUMP,2,380583,201265,1,1,1,1993,1993,core,47.885279575251516
GULLY,999,382734,202283,20,12,11,1978,1994,peripheral,191.9505144562004
HEDGE,999,381350,200278,515,144,102,1978,2008,peripheral,75.0066663703967
HOGARTHS,999,382627,200053,46,25,18,1990,2005,peripheral,494.35311266340784
HOLLOWTREE,18,382930,201326,41,26,23,1998,2017,core,90.78546139112804
HOLLYWOOD,999,381353,199891,151,48,28,1988,2005,peripheral,387.01162773229436
HONEYWELL,8,381931,201706,230,99,91,1978,2019,core,39.92492955535426
HOPPER,999,383666,200473,28,22,20,1999,2018,peripheral,65.76473218982953
HUNTINGGATE,10,381247,201345,42,26,27,1999,2020,core,39.96248240537617
HURDLES,19,383082,201046,1,1,1,1999,1999,core,98.38699100999075
INCHBROOK,999,384013,200739,443,152,104,1978,2019,peripheral,265.85146228674387
JACKSMIREY,NA,380678,200030,495,131,125,1982,2019,SG unassigned,59.21148537234985
JACOBS,2,380387,201401,6,6,3,1999,2019,core,63.34824385884742
JUNCTION,4,380841,200432,208,86,77,1977,2019,core,32.64965543462902
KENNEL,15,382464,200922,433,118,122,1978,2019,core,57.271284253105414
LARCH,2,380541,201242,379,144,106,1977,2019,core,47.885279575251516
LAURELS,10,381180,201357,214,61,82,1982,2017,core,24.351591323771842
LEBANON,2,380690,201353,1,1,1,2019,2019,core,53.907327887774215
LINSEED,18,383011,201367,13,12,9,1999,2019,core,90.78546139112804
LISTERS,999,383444,201738,35,12,12,1987,1999,peripheral,278.5121182282739
MAID,15,382606,200941,10,9,10,1986,2010,core,143.26548781894402
MANSION,3,380901,201150,43,34,25,1986,2019,core,33.1058907144937
MEAD,4,380390,200637,148,93,73,1977,2018,core,102.34256201600583
MRSMACKS,4,380365,200369,1,1,1,1982,1982,core,52.15361924162119
NEEDLES,15,382440,200974,35,25,21,1986,2018,core,57.271284253105414
NETTLE,18,383024,201142,232,83,104,1978,2019,core,69.85699678629192
NEWFENCE,2,380635,201191,11,8,5,1999,2000,core,30.886890422961002
OAKPILE,14,382183,201478,10,7,7,2004,2016,core,67.80117993073571
OLDCOLEPARK,14,382142,201424,18,11,13,1996,2018,core,67.80117993073571
OLDOAK,17,382624,201274,368,107,113,1978,2019,core,114.61239025515522
OLDPONDDRAIN,13,381503,201484,86,39,55,1983,2019,core,190.22355269524328
OPEN,4,380812,200417,53,33,31,1978,2006,core,32.64965543462902
PARKMILL,20,383730,200924,467,114,116,1979,2019,core,82.73451516749222
PEGLARS,16,382355,200596,457,112,94,1978,2008,core,155.56349186104046
PEN,999,382191,199820,1,1,1,2005,2005,peripheral,494.35311266340784
PONTINS,15,382122,200921,13,9,4,1998,2001,core,126.39620247459969
POPLAR,15,382132,201047,140,62,55,1990,2017,core,56.00892785976178
PRIORY,999,384143,201139,15,11,8,1990,1994,peripheral,400.7954590561126
PYLON,999,381275,200279,5,4,2,2019,2019,peripheral,75.0066663703967
QUARRY,18,383188,201092,5,4,5,1993,2003,core,115.55085460523432
RABBIT,6,380856,201662,137,59,55,1977,2019,core,162.2621335986927
RUSTYTRAP,10,381281,201324,8,6,8,1981,2004,core,39.96248240537617
SANDY,999,383812,200913,9,6,4,1999,2002,peripheral,82.73451516749222
SAPLING,12,381716,201013,9,8,5,1999,2004,core,94.03190947758107
SCOTLANDBANK,20,383412,200931,76,30,36,1997,2019,core,275.8568469333324
SCRUB,21,383045,200620,4,3,3,2018,2019,core,142.80056022299073
SEPTICTANK,10,381357,201285,192,68,86,1980,2019,core,45.880278987817846
SINGLE,999,380737,200025,16,16,9,1983,2001,peripheral,59.21148537234985
SPUR,1,379972,201378,1,1,1,2003,2003,core,113.37107214805724
STONEYTRACK,3,380742,201140,2,2,2,1981,1998,core,92.5418824100742
STREAM,999,383608,202451,27,27,16,1978,2008,peripheral,267.5256997000475
STUMP,19,382956,201126,1,1,1,1997,1997,core,69.85699678629192
SYCAMORE,6,381103,201676,13,13,6,1977,2019,core,96.17692030835673
TAXUS,11,381737,201220,278,130,98,1977,2019,core,127.38916751435343
THICKET,999,380872,200010,2,2,2,1997,1999,peripheral,63.28506932918696
THISTLEWOODBANK,4,381109,200408,256,98,89,1979,2008,core,203.24615617521528
TIP,4,380475,200580,6,6,3,1999,1999,core,66.18912297349165
TODDS,4,380393,200413,8,7,6,1982,1988,core,52.15361924162119
TOP,12,381795,200962,581,148,132,1976,2020,core,94.03190947758107
TOPOAK,17,382616,201525,120,58,56,1978,2015,core,147.85127662620977
TRACKSIDE,14,382281,201327,63,27,38,1996,2019,core,159.38946012832844
UTES,11,381542,200954,1,1,1,1979,1979,core,178.13758727455584
VINE,8,381932,201624,3,2,2,2013,2014,core,36.05551275463989
WALL,16,382201,200574,15,12,9,1988,1996,core,155.56349186104046
WASPNEST,999,380866,199947,8,6,4,1991,1997,peripheral,63.28506932918696
WATERBUTT,2,380662,201206,1,1,1,1997,1997,core,30.886890422961002
WEST,1,380190,201400,699,213,145,1976,2020,core,89.45389874119518
WINDFALL,15,382124,200793,7,6,3,2001,2002,core,32.01562118716424
WINDSOREDGE,999,383635,200531,384,140,108,1978,2019,peripheral,65.76473218982953
WOODFARM,22,383337,200429,468,103,115,1978,2019,core,314.97301471713416
WOODMANS,17,382542,201397,10,8,6,1989,1992,core,122.2620137246234
WOODRUSH,16,382713,200607,229,68,78,1988,2019,core,179.51323071016242
WYCHELM,15,382074,201085,206,73,75,1978,2019,core,37.05401462729781
XMASTREE,19,382680,201174,5,4,4,2000,2019,core,114.61239025515522
YEW,11,381619,201268,543,178,128,1976,2019,core,127.38916751435343
