previous_sett,Sett_Clean,n
WEST,WEST,459
TOP,TOP,391
HEDGE,HEDGE,364
JACKSMIREY,JACKSMIREY,343
PEGLARS,PEGLARS,334
WOODFARM,WOODFARM,333
PARKMILL,PARKMILL,325
INCHBROOK,INCHBROOK,289
YEW,YEW,264
KENNEL,KENNEL,254
COLLIERSWOOD,COLLIERSWOOD,233
ARTHURS,ARTHURS,232
OLDOAK,OLDOAK,225
BOX,BOX,224
FIELDFARM,FIELDFARM,223
WINDSOREDGE,WINDSOREDGE,222
LARCH,BOX,145
BOX,LARCH,132
LARCH,LARCH,131
BEECH,BEECH,122
DINGLE,DINGLE,116
NETTLE,NETTLE,115
TAXUS,YEW,108
THISTLEWOODBANK,THISTLEWOODBANK,107
HONEYWELL,HONEYWELL,106
HOLLYWOOD,HOLLYWOOD,103
WOODRUSH,WOODRUSH,103
YEW,TAXUS,100
BAMBOO,BAMBOO,97
BUNGALOW,BUNGALOW,89
COLEPARK,COLEPARK,86
WYCHELM,WYCHELM,86
BOXWOOD,BOXWOOD,84
JUNCTION,JUNCTION,84
LAURELS,LAURELS,80
CHESNUT,BEECH,76
BEECH,CHESNUT,73
ATCOMBEWEST,ATCOMBEWEST,68
DARKWOOD,DARKWOOD,68
TAXUS,TAXUS,67
SEPTICTANK,SEPTICTANK,64
ARTHURS,MEAD,58
CEDAR,CEDAR,57
WOODRUSH,FORK,54
ATCOMBECORNER,ATCOMBECORNER,52
FORK,FORK,52
FORK,WOODRUSH,52
THISTLEWOODBANK,JUNCTION,51
MEAD,ARTHURS,50
JUNCTION,THISTLEWOODBANK,49
CHESNUT,CHESNUT,48
WYCHELM,POPLAR,48
RABBIT,RABBIT,47
TOPOAK,TOPOAK,46
POPLAR,WYCHELM,45
LAURELS,SEPTICTANK,42
SEPTICTANK,LAURELS,39
SCOTLANDBANK,SCOTLANDBANK,38
POPLAR,POPLAR,36
TOPOAK,OLDOAK,36
BOG,BOG,35
CEDAR,RABBIT,35
LAURELS,OLDPONDDRAIN,33
MEAD,MEAD,33
WINDSOREDGE,WOODFARM,31
WOODFARM,WINDSOREDGE,31
TOP,YEW,30
YEW,TOP,30
BENCH,BENCH,29
OLDOAK,TOPOAK,29
TOP,TAXUS,28
RABBIT,CEDAR,27
OLDPONDDRAIN,LAURELS,23
OLDPONDDRAIN,SEPTICTANK,23
PARKMILL,SCOTLANDBANK,23
TRACKSIDE,TRACKSIDE,23
WEST,CORRAL,23
LISTERS,LISTERS,22
CORRAL,WEST,21
HOGARTHS,HOGARTHS,20
BEECH,MANSION,19
HONEYWELL,CHAIN,19
SCOTLANDBANK,PARKMILL,19
THISTLEWOODBANK,OPEN,19
ARTHURS,BRAMBLE,18
OPEN,JUNCTION,18
OPEN,THISTLEWOODBANK,18
TAXUS,TOP,18
WOODFARM,COLLIERSWOOD,18
NEEDLES,KENNEL,17
NETTLE,HOLLOWTREE,17
SEPTICTANK,OLDPONDDRAIN,17
WINDSOREDGE,HOPPER,17
WOODRUSH,COLLIERSWOOD,17
CHAIN,HONEYWELL,16
DAM,NETTLE,16
HOLLOWTREE,NETTLE,16
KENNEL,WYCHELM,16
MANSION,BEECH,16
NETTLE,DAM,16
OLDOAK,NETTLE,16
BOXWOOD,CEDAR,15
BRAMBLE,ARTHURS,15
WYCHELM,KENNEL,15
CHESNUT,MANSION,14
COLLIERSWOOD,WOODFARM,14
COLLIERSWOOD,WOODRUSH,14
FORK,COLLIERSWOOD,14
HOPPER,WINDSOREDGE,14
JACKSMIREY,SINGLE,14
PEGLARS,KENNEL,14
SEPTICTANK,YEW,14
KENNEL,CULDESAC,13
LAURELS,CEDAR,13
MANSION,CHESNUT,13
OLDPONDDRAIN,OLDPONDDRAIN,13
TOP,WYCHELM,13
BOX,WEST,12
CEDAR,BOXWOOD,12
KENNEL,NEEDLES,12
SEPTICTANK,HUNTINGGATE,12
COLLIERSWOOD,FORK,11
CULDESAC,KENNEL,11
KENNEL,DOLINE,11
SINGLE,JACKSMIREY,11
ATCOMBEWEST,WALL,10
BANK,ARTHURS,10
CHERRIES,CHERRIES,10
DOLINE,KENNEL,10
HUNTINGGATE,SEPTICTANK,10
KENNEL,PEGLARS,10
RABBIT,BOXWOOD,10
WALL,ATCOMBEWEST,10
YEW,LAURELS,10
BENCH,BOX,9
BOX,BENCH,9
BULLPEN,BOXWOOD,9
CEDAR,LAURELS,9
HUNTINGGATE,HUNTINGGATE,9
JUNCTION,OPEN,9
NETTLE,OLDOAK,9
WEST,BENCH,9
BEECH,LARCH,8
BOUNDARYCOURT,BOUNDARYCOURT,8
BREAKHEART,BREAKHEART,8
COLEPARK,HONEYWELL,8
HEDGE,THISTLEWOODBANK,8
HONEYWELL,BEND,8
HONEYWELL,COLEPARK,8
KENNEL,WOODRUSH,8
LARCH,WEST,8
POPLAR,TAXUS,8
STREAM,BUNGALOW,8
WEST,BOX,8
WEST,LARCH,8
YEW,SEPTICTANK,8
ARTHURS,BANK,7
BEECH,CEDAR,7
BOUNDARYCOURT,GULLY,7
BOXWOOD,HONEYWELL,7
BUNGALOW,STREAM,7
COLEPARK,TRACKSIDE,7
FOX,RABBIT,7
GIANTBEECH,COLEPARK,7
GULLY,BOUNDARYCOURT,7
HOLLOWTREE,HOLLOWTREE,7
MEAD,BANK,7
PEGLARS,COLLIERSWOOD,7
POPLAR,NEEDLES,7
TOP,POPLAR,7
TRACKSIDE,COLEPARK,7
TRACKSIDE,OLDCOLEPARK,7
WASPNEST,JACKSMIREY,7
WEST,CARPARK,7
WOODRUSH,KENNEL,7
WYCHELM,TOP,7
ATCOMBECORNER,ATCOMBEWEST,6
BOG,PEGLARS,6
BREAKHEART,BOXWOOD,6
BUNGALOW,DINGLE,6
CEDAR,FOX,6
CHAIN,CHAIN,6
DAM,DAM,6
GULLY,GULLY,6
INCHBROOK,PARKMILL,6
JACKSMIREY,WASPNEST,6
KENNEL,MAID,6
KENNEL,OLDOAK,6
LARCH,BEECH,6
LARCH,BENCH,6
LAURELS,YEW,6
OLDCOLEPARK,COLEPARK,6
OLDOAK,TRACKSIDE,6
OPEN,OPEN,6
PARKMILL,SANDY,6
POPLAR,TOP,6
RABBIT,FOX,6
RABBIT,LAURELS,6
TAXUS,POPLAR,6
TAXUS,WYCHELM,6
TOP,KENNEL,6
TOP,SAPLING,6
ARTHURS,JUNCTION,5
ATCOMBEWEST,NETTLE,5
ATCOMBEWEST,OLDOAK,5
BEND,HONEYWELL,5
BOG,WINDFALL,5
BOX,BEECH,5
BRAMBLE,MEAD,5
BREAKHEART,HONEYWELL,5
CARPARK,WEST,5
CEDAR,OLDPONDDRAIN,5
COLEPARK,GIANTBEECH,5
