previous_sett,Sett_Clean,n
WEST,WEST,272
TOP,TOP,240
HEDGE,HEDGE,228
WOODFARM,WOODFARM,210
JACKSMIREY,JACKSMIREY,203
PEGLARS,PEGLARS,196
YEW,YEW,171
KENNEL,KENNEL,165
PARKMILL,PARKMILL,147
ARTHURS,ARTHURS,143
BOX,BOX,133
OLDOAK,OLDOAK,133
COLLIERSWOOD,COLLIERSWOOD,132
FIELDFARM,FIELDFARM,130
INCHBROOK,INCHBROOK,125
WINDSOREDGE,WINDSOREDGE,125
LARCH,BOX,95
BOX,LARCH,89
LARCH,LARCH,81
WYCHELM,WYCHELM,68
TAXUS,YEW,66
WOODRUSH,WOODRUSH,65
BEECH,BEECH,64
HONEYWELL,HONEYWELL,63
LAURELS,LAURELS,61
YEW,TAXUS,57
HOLLYWOOD,HOLLYWOOD,56
CHESNUT,BEECH,54
NETTLE,NETTLE,53
THISTLEWOODBANK,THISTLEWOODBANK,51
DINGLE,DINGLE,50
TAXUS,TAXUS,50
BOXWOOD,BOXWOOD,47
SEPTICTANK,SEPTICTANK,45
BAMBOO,BAMBOO,44
BUNGALOW,BUNGALOW,42
JUNCTION,JUNCTION,40
BEECH,CHESNUT,38
FORK,FORK,38
DARKWOOD,DARKWOOD,37
RABBIT,RABBIT,36
WOODRUSH,FORK,35
CEDAR,CEDAR,34
WYCHELM,POPLAR,33
ATCOMBEWEST,ATCOMBEWEST,32
CHESNUT,CHESNUT,31
POPLAR,WYCHELM,29
ARTHURS,MEAD,28
COLEPARK,COLEPARK,27
FORK,WOODRUSH,26
TOPOAK,TOPOAK,26
LAURELS,SEPTICTANK,25
MEAD,ARTHURS,24
JUNCTION,THISTLEWOODBANK,23
THISTLEWOODBANK,JUNCTION,23
SEPTICTANK,LAURELS,22
TOPOAK,OLDOAK,22
LAURELS,OLDPONDDRAIN,21
POPLAR,POPLAR,20
SCOTLANDBANK,SCOTLANDBANK,20
BOG,BOG,19
CEDAR,RABBIT,19
BENCH,BENCH,18
HOGARTHS,HOGARTHS,17
OLDPONDDRAIN,LAURELS,17
YEW,TOP,16
OPEN,JUNCTION,15
ATCOMBECORNER,ATCOMBECORNER,14
BEECH,MANSION,14
HONEYWELL,CHAIN,14
MEAD,MEAD,14
RABBIT,CEDAR,14
THISTLEWOODBANK,OPEN,14
TOP,TAXUS,14
OLDOAK,TOPOAK,13
OLDPONDDRAIN,SEPTICTANK,13
WEST,CORRAL,13
WOODFARM,WINDSOREDGE,13
SEPTICTANK,OLDPONDDRAIN,12
TRACKSIDE,TRACKSIDE,12
KENNEL,CULDESAC,11
OPEN,THISTLEWOODBANK,11
TOP,YEW,11
CORRAL,WEST,10
KENNEL,NEEDLES,10
KENNEL,WYCHELM,10
PARKMILL,SCOTLANDBANK,10
SEPTICTANK,HUNTINGGATE,10
TAXUS,TOP,10
WOODRUSH,COLLIERSWOOD,10
CHERRIES,CHERRIES,9
CHESNUT,MANSION,9
COLLIERSWOOD,FORK,9
JACKSMIREY,SINGLE,9
OLDPONDDRAIN,OLDPONDDRAIN,9
WINDSOREDGE,WOODFARM,9
CEDAR,BOXWOOD,8
DOLINE,KENNEL,8
FORK,COLLIERSWOOD,8
HOLLOWTREE,NETTLE,8
HUNTINGGATE,SEPTICTANK,8
LARCH,WEST,8
LAURELS,CEDAR,8
LISTERS,LISTERS,8
MANSION,BEECH,8
NEEDLES,KENNEL,8
SCOTLANDBANK,PARKMILL,8
SEPTICTANK,YEW,8
BANK,ARTHURS,7
BOX,WEST,7
BRAMBLE,ARTHURS,7
CHAIN,HONEYWELL,7
CULDESAC,KENNEL,7
HONEYWELL,COLEPARK,7
HOPPER,WINDSOREDGE,7
JUNCTION,OPEN,7
KENNEL,DOLINE,7
KENNEL,PEGLARS,7
SINGLE,JACKSMIREY,7
WYCHELM,KENNEL,7
ARTHURS,BRAMBLE,6
COLLIERSWOOD,WOODFARM,6
KENNEL,MAID,6
MANSION,CHESNUT,6
NETTLE,HOLLOWTREE,6
POPLAR,NEEDLES,6
POPLAR,TOP,6
TOP,WYCHELM,6
WINDSOREDGE,HOPPER,6
YEW,SEPTICTANK,6
ATCOMBEWEST,WALL,5
BEECH,LARCH,5
BOX,BENCH,5
BOXWOOD,CEDAR,5
BUNGALOW,STREAM,5
CEDAR,LAURELS,5
DAM,NETTLE,5
HONEYWELL,BEND,5
