tattoo,date,year,quarter,Diagnostic model: fixed prevalence,Diagnostic model: annual prevalence,Diagnostic model: adjusted annual,All tests (fixed),All tests (inferred),Culture only (fixed)
001A,2014-05-20,2014,2,0.0141634159465505,0.0141634159465505,0.0261096707720885,0.009442063731304398,0.008363961611541787,0.24090576823363533
001B,2006-01-25,2006,1,0.107280137099415,0.107280137099415,0.0661325505975349,0.0028113473809171867,2.162447362986041e-4,0.05089425262260642
001B,2006-05-24,2006,2,0.107280137099415,0.107280137099415,0.0661325505975349,0.004564962076251151,5.799576705920355e-4,0.0693975961462031
001B,2009-05-05,2009,2,0.0208347673680595,0.0208347673680595,0.0234124165068221,0.02746372276166366,0.014018878230878757,0.27478526104322526
001C,2016-01-26,2016,1,0.0185195260907294,0.0185195260907294,0.0238781584291377,0.008636337775237566,0.010430666026696778,0.0910827466179805
001D,2022-05-25,2022,2,0.0141634159465505,0.0141634159465505,0.0148278636963324,0.00815065863665063,0.002480628265205166,0.016175211668159942
001E,2013-05-21,2013,2,0.945128697527066,0.945128697527066,0.971421330560308,0.522021348528702,0.3391801374735362,0.25211824438195035
001E,2015-07-15,2015,3,0.605083365188197,0.945128697527066,0.971421330560308,0.5280929773032037,0.3492959007165685,0.42792163860210114
001F,2010-01-19,2010,1,0.0208347673680595,0.0208347673680595,0.0289186368305145,0.18281914742310626,0.10027022136315797,0.08352038336804497
001F,2010-05-24,2010,2,0.568609593670189,0.568609593670189,0.648473008682998,0.9608504763112837,0.8839553671147982,0.10403374376184389
001F,2010-09-21,2010,3,0.633404626825043,0.633404626825043,0.707444343465722,0.9690440366321087,0.9234114803419906,0.11231512713271717
001G,2003-01-08,2003,1,0.107280137099415,0.107280137099415,0.0886866371126443,0.08695616227675618,0.013312603444763288,0.2250496607241108
001H,2020-01-21,2020,1,0.0141634159465505,0.0141634159465505,0.0131486788085586,0.009523853683966842,0.0029180632426931224,0.021231499231721546
001J,2023-05-23,2023,2,0.96913878961583,0.96913878961583,0.933772059110781,0.9983652581972553,0.6911467889247735,0.012710395951362535
001J,2023-07-18,2023,3,0.999784947422875,0.999784947422875,0.999521145643191,0.9995649353334696,0.7228268350431983,0.017685828513621913
001K,2012-01-24,2012,1,0.0208347673680595,0.0208347673680595,0.0351930026149125,0.009982692205916759,0.006737781616436022,0.1659643416338856
001K,2012-06-27,2012,2,0.0208347673680595,0.0208347673680595,0.0351930026149125,0.03496085468000521,0.02557863563135513,0.1883411712485401
001K,2013-08-13,2013,3,0.217562605061461,0.217562605061461,0.354307498732031,0.6674579053615259,0.7564202120253134,0.29514108204474376
001K,2014-06-03,2014,2,0.538448874856394,0.538448874856394,0.69127071330824,0.9290024089004111,0.9261792704616207,0.3781036724599671
001L,2011-01-25,2011,1,0.568609593670189,0.568609593670189,0.647531545748927,0.8937226665132834,0.852377578492326,0.1305340669864377
001L,2012-06-26,2012,2,0.633404626825043,0.633404626825043,0.728112521059103,0.9116281775125883,0.9212639444243773,0.239795935321145
001L,2013-08-13,2013,3,0.693709836898515,0.693709836898515,0.7923738838006,0.9223338985795497,0.9476272182291112,0.3399312210499323
001L,2014-09-10,2014,3,0.132997673875743,0.693709836898515,0.7923738838006,0.9278995724412588,0.9554164889725377,0.42503390817399184
001M,2018-01-09,2018,1,0.0141634159465505,0.0141634159465505,0.0164743973261407,0.24047286610467822,0.030277476240860662,0.04386510719536373
001N,2009-01-27,2009,1,0.568609593670189,0.568609593670189,0.597596376324195,0.8689896268179161,0.5934823221524794,0.06483767440805047
001P,2008-01-08,2008,1,0.0208347673680595,0.0208347673680595,0.0323551419465975,0.0015756433296984197,3.4442943121545944e-4,0.05840090891711291
001P,2008-06-03,2008,2,0.00212988061239034,0.0208347673680595,0.0323551419465975,0.002219419935666599,4.94738398759051e-4,0.0842147211633219
001P,2008-08-20,2008,3,2.1406064904636e-4,0.0208347673680595,0.0323551419465975,0.007006000299303077,0.0030610704536714515,0.09465926392228284
001P,2011-10-04,2011,4,0.00132865431544392,0.568609593670189,0.647531545748927,0.956303251360719,0.849581014547832,0.5167021847727975
001P,2012-08-14,2012,3,0.0974987010770936,0.990743306884611,0.994008030800299,0.9996706026129503,0.9981353850005666,0.6503240321688593
001P,2012-10-16,2012,4,0.124046020416904,0.992922829423288,0.99557540652892,0.9997069718849352,0.9987731468862645,0.6675091868047633
001P,2013-06-05,2013,2,0.919994116896604,0.999912230329761,0.999948134204743,0.9999986316486763,0.9999813733103681,0.8086953630601788
001P,2013-10-23,2013,4,0.998930180703786,0.999998919012839,0.999999381098424,0.9999999633688937,0.9999993418510928,0.8457198920801156
001P,2014-06-24,2014,2,0.999999934827653,0.999999999934218,0.999999999962755,0.9999999999967779,0.9999999999999998,0.9888342843513092
