primary_year,period_start,period_end,period_id,period_label
1976,1975,1979,1,1975-1979
1977,1975,1979,1,1975-1979
1978,1975,1979,1,1975-1979
1979,1975,1979,1,1975-1979
1980,1980,1984,2,1980-1984
1981,1980,1984,2,1980-1984
1982,1980,1984,2,1980-1984
1983,1980,1984,2,1980-1984
1984,1980,1984,2,1980-1984
1985,1985,1989,3,1985-1989
1986,1985,1989,3,1985-1989
1987,1985,1989,3,1985-1989
1988,1985,1989,3,1985-1989
1989,1985,1989,3,1985-1989
1990,1990,1994,4,1990-1994
1991,1990,1994,4,1990-1994
1992,1990,1994,4,1990-1994
1993,1990,1994,4,1990-1994
1994,1990,1994,4,1990-1994
1995,1995,1999,5,1995-1999
1996,1995,1999,5,1995-1999
1997,1995,1999,5,1995-1999
1998,1995,1999,5,1995-1999
1999,1995,1999,5,1995-1999
2000,2000,2004,6,2000-2004
2001,2000,2004,6,2000-2004
2002,2000,2004,6,2000-2004
2003,2000,2004,6,2000-2004
2004,2000,2004,6,2000-2004
2005,2005,2009,7,2005-2009
2006,2005,2009,7,2005-2009
2007,2005,2009,7,2005-2009
2008,2005,2009,7,2005-2009
2009,2005,2009,7,2005-2009
2010,2010,2014,8,2010-2014
2011,2010,2014,8,2010-2014
2012,2010,2014,8,2010-2014
2013,2010,2014,8,2010-2014
2014,2010,2014,8,2010-2014
2015,2015,2019,9,2015-2019
2016,2015,2019,9,2015-2019
2017,2015,2019,9,2015-2019
2018,2015,2019,9,2015-2019
2019,2015,2019,9,2015-2019
2020,2020,2024,10,2020-2024
