tattoo,elect_tag,age_fc,year_fc,sex,TimeBetweenCapture
001A,,CUB,2014,FEMALE,0
001B,,ADULT,2006,MALE,36
001C,,ADULT,2016,MALE,0
001E,,CUB,2013,FEMALE,0
001F,,ADULT,2010,MALE,4
001G,,ADULT,2003,MALE,0
001H,,ADULT,2020,MALE,0
001K,,ADULT,2012,MALE,5
001L,,ADULT,2011,FEMALE,17
001M,,ADULT,2018,MALE,0
001N,,ADULT,2009,MALE,2
001P,,ADULT,2008,FEMALE,38
001R,,ADULT,2004,MALE,2
001T,,ADULT,2017,FEMALE,0
001V,,ADULT,2015,MALE,0
001W,,ADULT,2005,FEMALE,5
001Y,,ADULT,2007,MALE,0
001Z,,CUB,2019,FEMALE,0
002A,,CUB,2014,FEMALE,0
002B,,CUB,2006,FEMALE,12
002C,,ADULT,2016,FEMALE,0
002E,,CUB,2013,FEMALE,0
002F,,ADULT,2010,FEMALE,19
002G,,ADULT,2003,MALE,25
002H,,ADULT,2020,MALE,0
002K,,ADULT,2012,MALE,5
002L,,ADULT,2011,MALE,0
002M,,ADULT,2018,MALE,0
002N,,CUB,2009,MALE,7
002P,,CUB,2008,FEMALE,24
002R,,ADULT,2004,FEMALE,0
002T,,ADULT,2017,MALE,0
002V,,ADULT,2015,MALE,0
002W,,ADULT,2005,FEMALE,0
002Y,,ADULT,2007,FEMALE,48
002Z,,ADULT,2019,FEMALE,0
003A,,CUB,2014,FEMALE,0
003B,,CUB,2006,FEMALE,7
003C,,ADULT,2016,FEMALE,0
003E,,CUB,2013,FEMALE,0
003F,,ADULT,2010,MALE,0
003G,,CUB,2003,FEMALE,4
003H,,ADULT,2020,MALE,0
003K,,CUB,2012,MALE,0
003L,,ADULT,2011,MALE,0
003M,,ADULT,2018,MALE,0
003N,,CUB,2009,FEMALE,9
003P,,CUB,2008,FEMALE,3
003R,,ADULT,2004,FEMALE,0
003T,,ADULT,2017,MALE,0
003V,,ADULT,2015,MALE,0
003W,,ADULT,2005,FEMALE,0
003Y,,ADULT,2007,FEMALE,0
003Z,,CUB,2019,FEMALE,0
004A,,CUB,2014,FEMALE,0
004B,,CUB,2006,MALE,3
004C,,CUB,2016,FEMALE,0
004E,,CUB,2013,MALE,0
004F,,ADULT,2010,MALE,4
004G,,CUB,2003,FEMALE,0
004K,,ADULT,2012,MALE,0
004L,,ADULT,2011,FEMALE,4
004M,,CUB,2018,FEMALE,0
004N,,CUB,2009,MALE,0
004P,,ADULT,2008,FEMALE,13
004R,,ADULT,2004,FEMALE,16
004T,,ADULT,2017,FEMALE,0
004V,,ADULT,2015,FEMALE,0
004W,,CUB,2005,MALE,7
004Y,,CUB,2007,MALE,0
004Z,,CUB,2019,MALE,0
005A,,CUB,2014,FEMALE,0
005B,,CUB,2006,MALE,10
005C,,CUB,2016,FEMALE,0
005E,,CUB,2013,MALE,0
005F,,CUB,2010,MALE,0
005G,,CUB,2003,MALE,0
005K,,CUB,2012,MALE,0
005L,,CUB,2011,FEMALE,5
005M,,CUB,2018,MALE,0
005N,,CUB,2009,MALE,5
005P,,ADULT,2008,FEMALE,28
005R,,ADULT,2004,FEMALE,0
005T,,CUB,2017,FEMALE,0
005V,,CUB,2015,FEMALE,0
005W,,CUB,2005,MALE,5
005Y,,CUB,2007,FEMALE,0
005Z,,CUB,2019,MALE,0
006A,,CUB,2014,FEMALE,0
006B,,ADULT,2006,MALE,0
006C,,CUB,2016,MALE,0
006E,,CUB,2013,FEMALE,0
006F,,CUB,2010,MALE,0
006G,,CUB,2003,FEMALE,13
006K,,CUB,2012,FEMALE,0
006L,,CUB,2011,MALE,5
006M,,CUB,2018,MALE,0
006N,,CUB,2009,MALE,0
006P,,CUB,2008,MALE,3
006R,,CUB,2004,FEMALE,0
006T,,CUB,2017,MALE,0
006V,,ADULT,2015,MALE,0
006W,,CUB,2005,FEMALE,0
006Y,,CUB,2007,FEMALE,5
006Z,,CUB,2019,FEMALE,0
007A,,CUB,2014,FEMALE,0
007B,,CUB,2006,MALE,3
007C,,CUB,2016,FEMALE,0
007E,,CUB,2013,FEMALE,0
007F,,ADULT,2010,FEMALE,12
007G,,CUB,2003,FEMALE,13
007K,,CUB,2012,MALE,0
007L,,CUB,2011,MALE,5
007M,,CUB,2018,FEMALE,0
007N,,CUB,2009,MALE,3
007P,,CUB,2008,MALE,5
007R,,CUB,2004,MALE,0
007T,,CUB,2017,FEMALE,0
007V,,ADULT,2015,FEMALE,0
007W,,ADULT,2005,FEMALE,4
007Y,,CUB,2007,MALE,5
007Z,,CUB,2019,MALE,0
008A,,CUB,2014,MALE,0
008B,,CUB,2006,FEMALE,15
008C,,CUB,2016,MALE,0
008E,,CUB,2013,MALE,0
008F,,CUB,2010,MALE,0
008G,,CUB,2003,MALE,12
008K,,CUB,2012,MALE,0
008L,,CUB,2011,MALE,8
008M,,CUB,2018,FEMALE,0
008N,,CUB,2009,MALE,1
008P,,CUB,2008,MALE,8
008R,,CUB,2004,MALE,0
008T,,CUB,2017,MALE,0
008V,,ADULT,2015,MALE,0
008W,,CUB,2005,FEMALE,45
008Y,,CUB,2007,FEMALE,3
008Z,,ADULT,2019,FEMALE,0
009A,,CUB,2014,MALE,0
009B,,CUB,2006,MALE,7
009C,,CUB,2016,FEMALE,0
009E,,CUB,2013,MALE,0
009F,,CUB,2010,MALE,4
009G,,CUB,2003,MALE,0
009K,,CUB,2012,MALE,0
009L,,CUB,2011,MALE,8
009M,,CUB,2018,MALE,0
009N,,CUB,2009,FEMALE,10
009P,,CUB,2008,MALE,9
009R,,CUB,2004,MALE,10
009T,,CUB,2017,MALE,0
009V,,ADULT,2015,FEMALE,0
009W,,CUB,2005,FEMALE,0
009Y,,CUB,2007,MALE,0
009Z,,CUB,2019,MALE,0
010A,,ADULT,2014,MALE,0
010B,,CUB,2006,MALE,3
010C,,CUB,2016,MALE,0
010E,,CUB,2013,FEMALE,0
010F,,CUB,2010,MALE,11
010G,,CUB,2003,FEMALE,0
010K,,CUB,2012,MALE,0
010L,,CUB,2011,FEMALE,2
010M,,CUB,2018,FEMALE,0
010N,,CUB,2009,FEMALE,10
010P,,CUB,2008,FEMALE,12
010R,,CUB,2004,FEMALE,0
010T,,CUB,2017,FEMALE,0
010V,,ADULT,2015,MALE,0
010W,,CUB,2005,MALE,0
010Y,,CUB,2007,MALE,8
010Z,,CUB,2019,MALE,0
011A,,CUB,2014,MALE,0
011B,,CUB,2006,FEMALE,11
011C,,CUB,2016,MALE,0
011E,,CUB,2013,MALE,0
011F,,CUB,2010,FEMALE,4
011G,,CUB,2003,FEMALE,12
011K,,CUB,2012,FEMALE,0
011L,,CUB,2011,FEMALE,2
011M,,CUB,2018,MALE,0
011N,,CUB,2009,FEMALE,0
011P,,CUB,2008,MALE,3
011R,,CUB,2004,FEMALE,7
011T,,CUB,2017,FEMALE,0
011V,,ADULT,2015,FEMALE,0
011W,,ADULT,2005,FEMALE,4
011Y,,CUB,2007,FEMALE,9
011Z,,ADULT,2019,FEMALE,0
012A,,CUB,2014,MALE,0
012B,,CUB,2006,MALE,17
012C,,CUB,2016,MALE,0
012E,,CUB,2013,FEMALE,0
012F,,CUB,2010,FEMALE,5
012G,,CUB,2003,MALE,12
012K,,CUB,2012,FEMALE,0
012L,,CUB,2011,FEMALE,8
012M,,CUB,2018,FEMALE,0
012N,,CUB,2009,MALE,0
012P,,CUB,2008,FEMALE,22
012R,,CUB,2004,MALE,14
012T,,CUB,2017,MALE,0
012V,,ADULT,2015,MALE,0
012W,,CUB,2005,FEMALE,0
012Y,,CUB,2007,MALE,5
012Z,,ADULT,2019,MALE,0
