tattoo,date,pm,name,moc,socg,sett,CaptureYear,supergroup,where,weight,eartags,retag,toothwear,condition,reproc,testes,CollarActionTaken,CollarActionTaker,transmitter,txno,best_tune,ppm,comment,body_length,temp,blood,pmstat,pm_cause,os_ref,Recorder,HealthMonitoring,DiseaseStatus,Sampler,Time_blood_taken,Red_Volume,Green_Volume,Purple_Volume,Yellow_Volume,Peach_Volume,neck_diameter,hair_sample,Furclip,WhiskerTaken,HOSupervisor,SeverityAss,SevInitial,ReleaseAss,RelInitial,AdverseEffects,AdvEffSampler,AdvEffComment
UN616,03/05/2020,Yes,,PUT DOWN,,,,,Woodchester Park,9,,,,FAIR,NEVER LACTATING,,,,,,,,,,,TRUE,,"BADGER FOUND IN EXTREMIS BY BUCKHOLT GATE, COLLECTED AND RETURNED TO WP AND EUTHANASED. TOOTHWARE 1/4.60CM LONG HAEMORAGE IN THORAX INDICATIVE OF TRAUMA.",SO795014,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,
UN617,05/03/2020,Yes,,RTA,,,,,B4066 400 mtrs from cattle grid on verge on roadside,0,,,,,,,,,,,,,,,,TRUE,,DESCENDED TESTICLES,SO821022,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,
025M,07/02/2020,Yes,,RTA,,,,,Roadside junction between Spring Hill & Moffat Road,9.5,,,,GOOD,,,,,,,,,,,,TRUE,,"63CM. 1/2 TOOTHWARE. SEVERE HEAD TRAUMA - FRUCTURED SKULL AND LOWER JAW. SEVERE ABDOMINAL TRAUMA - RUPTURED ABDOMINAL WALL, +++ HAEMORRAGE, RUPTURED LIVER, SPLEEN AND DIAPHRAGM. FINDINGS CONSSISTENT WITH RTA. POOL OF LN COLLECTED FOR TB CULTURE. MASSIVE INTERNAL TRAUMA DUE TO LIKELY RTA.",ST843999,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,
001A,23/01/2020,Yes,,FOUND DEAD,,,,,Parkmill Sett,,,,,POOR,,,,,,,,,,,,TRUE,,"BADGER FOUND DEAD ON SETT (WITH COLLAR). TOOTHWEAR 1/2. 67CM. NON GRAVID. PM DATE 24/01/2020. MODERATE AUTOLYSIS. NUMEROUS GREY-GRITTY FOCI SCATTERED THROUGHOUT BOTH LUNGS. PALE FOCI IN RETROPHARENYGEAL LNS. LIVER AND SPLEEN NAD. KIDNEYS FIRM AND PALE. MINIMAL CARCASS FAT. GIT DEVOID OF CONTENTS. +++ LICE. SUPERFICAL SKIN SCABS ON HEAD, FLANK & RUMP. POOL OF LNS AND VL TISSUE (LUNG) SUBMITTED FOR TB CULTURE. POSSIBLE TB? M.BOVIS ISOLATED SPOLIOGOTYPE 17. 29/4/2020",SO835008,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,
029M,23/01/2020,Yes,,FOUND DEAD,,,,,Parkmill Sett COLLAR,4,,,,POOR,NEVER LACTATING,,,,,,,,,,,TRUE,,".MODERATE AUTOLYSIS. NUMEROUS GREY-GRITTY FOCI SCATTERED THROUGHOUT LUNGS. PALE FOCI IN RETROPHARANGEAL LNS. LIVER AND SPLEEN NAD. KIDNEYS FIRM AND PALE. MINIMAL CARCASS FAT. GIT DEVOID OF CONTENTS. +++ LICE. SUPERFICIAL SKIN SCABS ON HEAD, FLANK & RUMP. POOL OF LNS AND VL TISSUE (LUNG) SUBMITTED FOR TB CULTURE/. POSSIBLLE TB? 67CM. 1/2 TOOTHWEAR. COLLAR",SO835008,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,
003H,22/01/2020,No,,TRAP,TOP SETT,TOP,2020,,SETT,10.4,,,0.25,GOOD,,MID,No,,,,,,Anal swab taken.,86,38.5,TRUE,,,,CS,No,,,00/01/1900,10,6,,,,30.5,TRUE,FALSE,TRUE,,,,Fit,SB,No,PS,
013Z,22/01/2020,No,,TRAP,WEST,WEST,2020,,SETT,9.8,,,0.25,GOOD,NEVER LACTATING,,No,,,,,,Anal swab taken.,83,38.59999847,TRUE,,,,CS,No,,,00/01/1900,10,6,,,,30,FALSE,FALSE,FALSE,,,,Fit,SB,No,PS,
014Z,22/01/2020,No,,TRAP,BEECH,BEECH,2020,,SETT,10,,,0.25,GOOD,,ASCENDED,No,,,,,,Anal swab taken.,89,37.20000076,TRUE,,,,CS,No,,,00/01/1900,10,6,,,,31,FALSE,FALSE,TRUE,,,,Fit,SB,No,PS,
001H,21/01/2020,No,,TRAP,TOP SETT,TOP,2020,,SETT,9.1,,,0.25,FAIR,,MID,No,,,,,,Phage sample (4ml). Anal swab taken. Tattoo (1H*) number marked on wrong side so as across on the right.,86,36.29999924,TRUE,,,,CS,No,,,00/01/1900,10,10,,,,29,TRUE,FALSE,TRUE,,,,Fit,SB,No,PS,
002H,21/01/2020,No,,TRAP,TOP SETT,TOP,2020,,SETT,8.5,,,0.25,FAIR,,DESCENDED,No,,,,,,Anal swab. Hair sample.,82,37.90000153,TRUE,,,,TG,No,,,00/01/1900,10,10,,,,28,TRUE,FALSE,TRUE,,,,Fit,SB,No,RD,
