tattoo,date,pm,sample,afno,result,lesions,abscesses,Spoligo,SpolPrime,Sampler1,Sampler2
001A,20/05/2014,No,FAECES,59140003,NEGATIVE,,,,,FR,
001A,20/05/2014,No,OA,59140001,NEGATIVE,,,,,FR,
001A,20/05/2014,No,TA,59140002,NEGATIVE,,,,,FR,
001A,23/01/2020,Yes,POOLED,0210518020,M.BOVIS,VL,,17,,,
001B,25/01/2006,No,OA,59061211,NEGATIVE,,,,,SB,
001B,25/01/2006,No,URINE,59061212,NEGATIVE,,,,,SB,
001B,24/05/2006,No,TA,59060177,NEGATIVE,,,,,CH,
001B,05/05/2009,No,FAECES,59090013,NEGATIVE,,,,,GW,
001B,05/05/2009,No,OA,59090010,NEGATIVE,,,,,GW,
001B,05/05/2009,No,TA,59090011,NEGATIVE,,,,,GW,
001B,05/05/2009,No,URINE,59090012,NEGATIVE,,,,,GW,
001C,26/01/2016,No,OA,59160758,NEGATIVE,,,,,PS,
001C,26/01/2016,No,TA,59160759,NEGATIVE,,,,,PS,
001E,21/05/2013,No,OA,59130004,NEGATIVE,,,,,RD,
001E,21/05/2013,No,TA,59130005,NEGATIVE,,,,,RD,
001E,21/05/2013,No,URINE,59130006,NEGATIVE,,,,,RD,
001E,15/07/2015,No,OA,59150361,NEGATIVE,,,,,JF,
001E,15/07/2015,No,TA,59150362,NEGATIVE,,,,,JF,
001E,15/07/2015,No,URINE,59150363,NEGATIVE,,,,,JF,
001F,19/01/2010,No,FAECES,59101074,NEGATIVE,,,,,KP,
001F,19/01/2010,No,OA,59101072,NEGATIVE,,,,,KP,
001F,19/01/2010,No,TA,59101073,NEGATIVE,,,,,KP,
001F,24/05/2010,No,FAECES,59100152,NEGATIVE,,,,,GW,
001F,24/05/2010,No,OA,59100150,NEGATIVE,,,,,GW,
001F,24/05/2010,No,TA,59100151,NEGATIVE,,,,,GW,
001F,21/09/2010,No,FAECES,59100629,NEGATIVE,,,,,CH,
001F,21/09/2010,No,OA,59100627,NEGATIVE,,,RETEST,,CH,
001F,21/09/2010,No,TA,59100628,NEGATIVE,,,,,CH,
001G,08/01/2003,No,OA,59030001,NEGATIVE,,,,,ACC,
001G,08/01/2003,No,URINE,59030002,NEGATIVE,,,,,RD,
001H,21/01/2020,No,FAECES,4610029620,NEGATIVE,,,,,PS,
001H,21/01/2020,No,OA,1610029620,NEGATIVE,,,,,PS,
001H,21/01/2020,No,TA,2610029620,NEGATIVE,,,,,PS,
001H,21/01/2020,No,URINE,3610029620,NEGATIVE,,,,,PS,
001K,24/01/2012,No,FAECES,59121001,NEGATIVE,,,,,RD,
001K,24/01/2012,No,OA,59120998,NEGATIVE,,,,,RD,
001K,24/01/2012,No,TA,59120999,NEGATIVE,,,,,RD,
001K,24/01/2012,No,URINE,59121000,NEGATIVE,,,,,RD,
001K,27/06/2012,No,OA,59120277,NEGATIVE,,,,,SC,
001K,27/06/2012,No,TA,59120278,NEGATIVE,,,,,SC,
001K,13/08/2013,No,FAECES,59130540,NEGATIVE,,,,,JJ,
001K,13/08/2013,No,OA,59130537,NEGATIVE,,,,,JJ,
001K,13/08/2013,No,TA,59130538,NEGATIVE,,,,,JJ,
001K,13/08/2013,No,URINE,59130539,NEGATIVE,,,,,JJ,
001K,03/06/2014,No,FAECES,59140118,NEGATIVE,,,,,FR,
001K,03/06/2014,No,OA,59140115,NEGATIVE,,,,,FR,
