CaptureDate,BadgerID,TestType,SampleType,VisualLine1,OpticalDensity1,VisualLine2,OpticalDensity2,PM
20/05/2014,001A,Double,Serum Frozen,N,0,N,5.41,No
20/05/2014,001A,Double,WB Field,N,51.94,N,0,No
20/05/2014,001A,Double,Whole Blood,N,54.62,N,12.2,No
20/05/2014,001A,Single,Serum Fresh,N,1.97,,0,No
20/05/2014,002A,Double,Serum Frozen,N,0,P,156.6,No
20/05/2014,002A,Double,WB Field,N,58.3,N,0,No
20/05/2014,002A,Double,Whole Blood,N,67.54,N,0,No
20/05/2014,002A,Single,Serum Fresh,N,5.41,,0,No
20/05/2014,003A,Double,Serum Frozen,N,0,N,3.06,No
20/05/2014,003A,Double,Whole Blood,N,78.83,N,0,No
20/05/2014,003A,Single,Serum Fresh,N,12.79,,0,No
20/05/2014,003E,Double,Serum Frozen,P,6321.53,N,0,No
20/05/2014,003E,Double,Whole Blood,P,6233.62,N,0,No
20/05/2014,003E,Single,Serum Fresh,P,1542.86,,0,No
20/05/2014,015E,Double,Serum Frozen,P,4256.55,N,0.49,No
20/05/2014,015E,Double,Whole Blood,P,605.02,N,0,No
20/05/2014,015E,Single,Serum Fresh,P,246.33,,0,No
20/05/2014,023N,Double,Serum Frozen,N,0,P,50.5,No
20/05/2014,023N,Double,Whole Blood,N,46.25,N,20.7,No
20/05/2014,023N,Single,Serum Fresh,N,0.36,,0,No
20/05/2014,025E,Double,Serum Frozen,N,0,N,4.22,No
20/05/2014,025E,Double,WB Field,N,73.02,N,0,No
20/05/2014,025E,Double,Whole Blood,N,51.88,N,0,No
20/05/2014,025E,Single,Serum Fresh,P,121.75,,0,No
20/05/2014,029E,Double,Serum Frozen,P,527.3,N,0,No
20/05/2014,029E,Double,Whole Blood,P,409.82,N,34.73,No
20/05/2014,029E,Single,Serum Fresh,N,12.95,,0,No
20/05/2014,030E,Double,Serum Frozen,P,109.4,N,9.74,No
20/05/2014,030E,Double,Whole Blood,N,81.73,N,0,No
20/05/2014,030E,Single,Serum Fresh,P,17.91,,0,No
20/05/2014,033K,Double,Serum Frozen,N,0,P,18.85,No
20/05/2014,033K,Double,Whole Blood,N,48.22,N,0,No
20/05/2014,033K,Single,Serum Fresh,N,14.57,,0,No
20/05/2014,037E,Double,Serum Frozen,P,716.28,N,4.42,No
20/05/2014,037E,Double,Whole Blood,P,231.08,N,0,No
20/05/2014,037E,Single,Serum Fresh,P,60.2,,0,No
20/05/2014,044E,Double,Serum Frozen,P,47.56,N,2.56,No
20/05/2014,044E,Double,Whole Blood,N,45.57,N,28.04,No
20/05/2014,044E,Single,Serum Fresh,N,7.77,,0,No
20/05/2014,058Y,Double,Serum Frozen,N,0,N,5.88,No
20/05/2014,058Y,Double,Whole Blood,P,174.5,N,0,No
20/05/2014,058Y,Single,Serum Fresh,N,0,,0,No
21/05/2014,004A,Double,Serum Frozen,N,0,P,77.27,No
21/05/2014,004A,Double,Whole Blood,N,48.08,N,0,No
21/05/2014,004A,Single,Serum Fresh,N,0.34,,0,No
21/05/2014,005A,Double,Serum Frozen,N,0,N,0,No
21/05/2014,005A,Double,Whole Blood,N,50.63,N,0,No
21/05/2014,005A,Single,Serum Fresh,P,43.59,,0,No
21/05/2014,006A,Double,Serum Frozen,N,0,N,8.32,No
21/05/2014,006A,Double,Whole Blood,N,64.86,N,0,No
21/05/2014,006A,Single,Serum Fresh,N,2.27,,0,No
21/05/2014,006L,Double,Serum Frozen,P,1186.36,N,38.47,No
21/05/2014,006L,Double,Whole Blood,P,460.47,P,139.27,No
21/05/2014,006L,Single,Serum Fresh,P,210.29,,0,No
21/05/2014,007A,Double,Serum Frozen,N,0,N,0,No
21/05/2014,007A,Double,Whole Blood,N,52.7,N,0,No
21/05/2014,007A,Single,Serum Fresh,N,0,,0,No
21/05/2014,012E,Double,Serum Frozen,N,0,N,0,No
21/05/2014,012E,Double,WB Field,N,51.28,N,0,No
21/05/2014,012E,Double,Whole Blood,N,78.32,N,0,No
21/05/2014,012E,Single,Serum Fresh,N,9.44,,0,No
21/05/2014,031E,Double,Serum Frozen,P,91.86,N,26.62,No
21/05/2014,031E,Double,Whole Blood,N,91.58,N,0,No
21/05/2014,031E,Single,Serum Fresh,N,23.82,,0,No
21/05/2014,038E,Double,Serum Frozen,P,6560.86,N,0,No
21/05/2014,038E,Double,Whole Blood,P,7040.41,N,0,No
21/05/2014,038E,Single,Serum Fresh,P,1838.59,,0,No
21/05/2014,045B,Double,Serum Frozen,N,0,N,0,No
21/05/2014,045B,Double,Whole Blood,N,75.21,N,0.26,No
21/05/2014,045B,Single,Serum Fresh,N,22.4,,0,No
03/06/2014,001K,Double,Serum Frozen,N,0,N,18.63,No
03/06/2014,001K,Double,WB Field,N,58.81,N,8.32,No
03/06/2014,001K,Double,Whole Blood,N,291.8,N,85.82,No
03/06/2014,001K,Single,Serum Fresh,N,9.15,,0,No
03/06/2014,004E,Double,Serum Frozen,N,0,N,21.31,No
03/06/2014,004E,Double,WB Field,N,55.33,N,0,No
03/06/2014,004E,Double,Whole Blood,N,47.41,N,0,No
03/06/2014,004E,Single,Serum Fresh,N,4.7,,0,No
03/06/2014,006E,Double,Serum Frozen,N,0,N,13.31,No
03/06/2014,006E,Double,Whole Blood,N,58.99,N,3.05,No
03/06/2014,006E,Single,Serum Fresh,N,8.24,,0,No
03/06/2014,008A,Double,Serum Frozen,N,0,N,0,No
03/06/2014,008A,Double,Whole Blood,N,58.02,N,0,No
03/06/2014,008A,Single,Serum Fresh,N,4.02,,0,No
03/06/2014,009A,Double,Serum Frozen,N,0,N,6.78,No
03/06/2014,009A,Double,Whole Blood,N,67.86,N,0,No
03/06/2014,009A,Single,Serum Fresh,N,7.86,,0,No
03/06/2014,010A,Double,Serum Frozen,N,0,N,0,No
03/06/2014,010A,Double,Whole Blood,N,33.63,N,0,No
03/06/2014,010A,Single,Serum Fresh,N,0,,0,No
03/06/2014,010E,Double,Serum Frozen,P,193.12,N,20.68,No
