sett,n,True_Sett_Name
WEST,758,
YEW,610,
JACKS,605,
WOOD FARM,570,
HEDGE,568,
BOX,547,
PARK MILL,517,
INCHBROOK,491,
ARTHURS,482,
PEGLARS,474,
KENNEL,467,
WINDSOR EDGE,433,
LARCH,416,
OLD OAK,408,
COLLIERS WOOD,381,
BEECH,379,
TOP SETT,358,
FIELD FARM,318,
TAXUS,298,
THISTLE WOOD BANK,271,
TOP,254,
HONEYWELL,253,
NETTLE,251,
LAURELS,238,
WOODRUSH,237,
CEDAR,234,
WYCH ELM,230,
JUNCTION,229,
CHESTNUT,227,
SEPTIC TANK,213,
COLE PARK,192,
DINGLE,190,
BOXWOOD,183,
BUNGALOW,178,
BAMBOO,174,
RABBIT,165,
ATCOMBE WEST,156,
POPLAR,155,
MEAD,153,
HOLLYWOOD,151,
FORK,140,
TOP OAK,130,
ATCOMBE CORNER,120,
DARK WOOD,116,
OLD POND DRAIN,101,
WHITINGS BEECH,87,
SCOTLAND BANK,77,
BENCH,70,
TRACKSIDE,68,
BOG,59,
OPEN,58,
TWIN ASH,56,
HOGARTHS,52,
BREAKHEART,50,
BOUNDARY COURT,48,
MANSION,47,
HOLLOW TREE,45,
LISTERS,45,
HUNTING GATE,43,
CORRAL,41,
DAM,40,
RASPBERRY,40,
STREAM,39,
CHAIN,38,
NEEDLES,35,
BANK,34,
WOOD EDGE,32,
BRAMBLE,31,
BULL PEN,29,
HOPPER,28,
TINKLEY LANE,28,
BRACKEN,25,
GULLEY,25,
CHERRIES,24,
FOX,23,
GATE,22,
PRIORY,22,
CUL-DE-SAC,20,
DOLINE,20,
GIANT BEECH,20,
OLD COLE PARK,19,
SINGLE,17,
WALL,16,
BEND,15,
SYCAMORE,15,
FERN,14,
CAR PARK,13,
LINSEED,13,
PONTINS,13,
SCARHILL,13,
BUCKHOLT,12,
NEW FENCE,12,
UPPER,12,
OAK PILE,11,
MAID,10,
WOODMANS,10,
SANDY,9,
SAPLING,9,
STONEWALL,9,
GRAVEL PIT,8,
LAGGER LANE,8,
RUSTY TRAP,8,
TODDS,8,
WASP NEST,8,
