origin_SG,radius_m,prop_same_SG_mean,prop_same_SG_median,prop_neighbour_SG_mean,prop_neighbour_SG_median,prop_nonneighbour_SG_mean,prop_nonneighbour_SG_median,prop_peripheral_mean,prop_peripheral_median
1,100,0.8703703703703703,1,0.06185185185185185,0,0,0,0.06777777777777777,0
1,200,0.7674074074074074,0.7916666666666666,0.10805555555555556,0,0,0,0.12453703703703704,0
1,300,0.660952380952381,0.6428571428571429,0.15103174603174604,0.05357142857142857,0,0,0.18801587301587303,0.11607142857142858
1,500,0.4719831223628692,0.4778481012658228,0.20855133614627286,0.12974683544303797,0.005654008438818565,0,0.3138115330520394,0.3037974683544304
1,1000,0.17565265336389754,0.17834394904458598,0.19387679853833076,0.20780254777070065,0.06699223770170556,0.046974522292993634,0.5634783103960661,0.5660828025477707
2,100,0.7017543859649122,0.7083333333333333,0.2149122807017544,0.20833333333333331,0.0021929824561403508,0,0.08114035087719298,0
2,200,0.4956140350877193,0.48958333333333337,0.3481359649122807,0.375,0.013157894736842105,0,0.1430921052631579,0.07291666666666667
2,300,0.3026315789473684,0.3125,0.4656954887218045,0.5,0.03242481203007519,0.008928571428571428,0.19924812030075187,0.16964285714285715
2,500,0.11708860759493671,0.11708860759493671,0.5293970686209194,0.5332278481012658,0.0953530979347102,0.07911392405063292,0.2581612258494337,0.25
2,1000,0.02948642131573079,0.02948207171314741,0.26954945607854736,0.27070063694267515,0.3227214466044016,0.33027888446215137,0.3782426760013202,0.36932270916334664
3,100,0.6715686274509803,0.6666666666666666,0.3284313725490196,0.3333333333333333,0,0,0,0
3,200,0.4583333333333333,0.46875,0.5373774509803921,0.53125,6.127450980392157e-4,0,0.003676470588235294,0
3,300,0.27993697478991597,0.2857142857142857,0.6948529411764706,0.7053571428571429,0.008140756302521009,0,0.017069327731092435,0
3,500,0.10443037974683544,0.10443037974683544,0.7001116902457185,0.7056962025316456,0.11559940431868951,0.11550632911392406,0.07985852568875651,0.0680379746835443
3,1000,0.026385185085400522,0.026378896882494004,0.31703996968291853,0.32041555254199194,0.4118714091808697,0.41286970423661074,0.2447034360508113,0.23940847322142286
4,100,0.8456486042692939,0.9166666666666666,0.07881773399014778,0,0,0,0.0755336617405583,0
4,200,0.7231116584564861,0.7291666666666666,0.1412151067323481,0.0625,0,0,0.13567323481116583,0.0625
4,300,0.6008972554539057,0.6071428571428571,0.2031140042223786,0.16071428571428573,0,0,0.1959887403237157,0.17857142857142858
4,500,0.3972688158633161,0.4177215189873418,0.29159132007233274,0.3069620253164557,0.008511567001309473,0,0.30262829706304173,0.310126582278481
4,1000,0.15274712817491579,0.15843949044585987,0.2778556215916661,0.2818471337579618,0.10088027603914071,0.08917197452229299,0.46851697419427746,0.4609872611464968
5,100,0.5916666666666667,0.5416666666666667,0.06666666666666667,0,0,0,0.3416666666666667,0.3333333333333333
5,200,0.32708333333333334,0.32291666666666663,0.1375,0.10416666666666667,0,0,0.5354166666666667,0.5416666666666667
5,300,0.16875,0.16964285714285715,0.20401785714285714,0.20535714285714285,0,0,0.6272321428571429,0.625
5,500,0.060126582278481014,0.060126582278481014,0.2674050632911392,0.2674050632911392,0,0,0.6724683544303798,0.6724683544303798
5,1000,0.015127388535031847,0.015127388535031847,0.1569267515923567,0.1572452229299363,0.1333996815286624,0.13136942675159236,0.694546178343949,0.696656050955414
6,100,0.7942386831275721,0.8333333333333334,0.1646090534979424,0.08333333333333333,0,0,0.0411522633744856,0
6,200,0.6387684966290167,0.625,0.2847988354785045,0.2708333333333333,0.002615795464495228,0,0.07381687242798354,0
6,300,0.48506903152672776,0.49107142857142855,0.39060943431483697,0.4107142857142857,0.014422945093179547,0,0.10989858906525574,0.0625
6,500,0.24678938468695594,0.25316455696202533,0.48359087822797425,0.49206349206349204,0.08817028646526073,0.05714285714285714,0.18144945061980908,0.17721518987341772
6,1000,0.06423059352590295,0.06420545746388442,0.23346048914958412,0.23354735152487963,0.3707588182996772,0.3733013589128697,0.33155009902483573,0.3287781350482315
7,100,0.7935992578849722,0.8333333333333334,0.09925788497217068,0,0,0,0.10714285714285714,0
7,200,0.6404608250947619,0.6145833333333333,0.17437761027938772,0.10416666666666667,0,0,0.18516156462585034,0.11458333333333334
7,300,0.49884397734285396,0.5,0.23862636983073232,0.20089285714285715,0.0021523037905737774,0,0.26037734903584,0.2455357142857143
7,500,0.28434787734983724,0.29430379746835444,0.31325394731265876,0.2741661643560378,0.0242054878339113,0,0.3781926875035927,0.4168022905364678
7,1000,0.07796798108160743,0.07791164658634538,0.22163970190184057,0.23021313550020017,0.19575765076774132,0.18417821653220556,0.5046346662488107,0.5178512584987605
