tattoo,primary,origin_year,origin_SG,origin_zone,origin_sett,origin_x,origin_y,n_loc_obs,entry_group,next_primary,next_year,dest_x,dest_y,dest_SG,dest_zone,dest_sett,observed_category,observed_distance_m
001K,37,2012,7,1,BOXWOOD,381241,201774,2,2,38,2013,381241,201774,7,1,BOXWOOD,same_SG,0
001K,38,2013,7,1,BOXWOOD,381241,201774,1,2,39,2014,381619,201268,11,1,YEW,nonneighbour_SG,631.6011399609725
001P,36,2011,18,1,NETTLE,383024,201142,1,2,37,2012,383024,201142,18,1,NETTLE,same_SG,0
001P,37,2012,18,1,NETTLE,383024,201142,1,2,38,2013,381737,201220,11,1,TAXUS,nonneighbour_SG,1289.36146987569
001P,38,2013,11,1,TAXUS,381737,201220,1,2,39,2014,382624,201274,17,1,OLDOAK,nonneighbour_SG,888.6422227195825
002A,39,2014,6,1,CEDAR,381022,201589,2,1,40,2015,381022,201589,6,1,CEDAR,same_SG,0
002A,42,2017,7,1,BOXWOOD,381241,201774,1,1,43,2018,381230,201693,7,1,BULLPEN,same_SG,81.74350127074322
002E,38,2013,3,1,BEECH,380931,201164,1,1,39,2014,380834,201150,3,1,CHESNUT,same_SG,98.00510190801293
002K,37,2012,7,1,BOXWOOD,381241,201774,2,2,38,2013,381241,201774,7,1,BOXWOOD,same_SG,0
002K,38,2013,7,1,BOXWOOD,381241,201774,1,2,39,2014,381241,201774,7,1,BOXWOOD,same_SG,0
002K,39,2014,7,1,BOXWOOD,381241,201774,1,2,40,2015,381241,201774,7,1,BOXWOOD,same_SG,0
002K,40,2015,7,1,BOXWOOD,381241,201774,2,2,41,2016,381241,201774,7,1,BOXWOOD,same_SG,0
002N,34,2009,11,1,YEW,381619,201268,1,1,35,2010,381795,200962,12,1,TOP,neighbour_SG,353.0042492662093
002N,35,2010,12,1,TOP,381795,200962,2,1,36,2011,382132,201047,15,1,POPLAR,neighbour_SG,347.55431230240833
002P,33,2008,4,1,MEAD,380390,200637,2,1,34,2009,380390,200637,4,1,MEAD,same_SG,0
002P,34,2009,4,1,MEAD,380390,200637,2,1,35,2010,380534,200550,4,1,ARTHURS,same_SG,168.24089871371942
002V,40,2015,7,1,BOXWOOD,381241,201774,2,2,41,2016,381241,201774,7,1,BOXWOOD,same_SG,0
002V,41,2016,7,1,BOXWOOD,381241,201774,1,2,42,2017,381022,201589,6,1,CEDAR,neighbour_SG,286.6810073932349
002V,42,2017,6,1,CEDAR,381022,201589,1,2,43,2018,381022,201589,6,1,CEDAR,same_SG,0
002V,43,2018,6,1,CEDAR,381022,201589,2,2,44,2019,381022,201589,6,1,CEDAR,same_SG,0
003A,39,2014,6,1,CEDAR,381022,201589,3,1,40,2015,381241,201774,7,1,BOXWOOD,neighbour_SG,286.6810073932349
003A,40,2015,7,1,BOXWOOD,381241,201774,1,1,41,2016,381022,201589,6,1,CEDAR,neighbour_SG,286.6810073932349
003A,43,2018,7,1,BULLPEN,381230,201693,1,1,44,2019,381241,201774,7,1,BOXWOOD,same_SG,81.74350127074322
003B,31,2006,2,1,BOX,380621,201409,2,1,32,2007,380621,201409,2,1,BOX,same_SG,0
003E,38,2013,3,1,BEECH,380931,201164,1,1,39,2014,380931,201164,3,1,BEECH,same_SG,0
003N,34,2009,11,1,YEW,381619,201268,1,1,35,2010,381795,200962,12,1,TOP,neighbour_SG,353.0042492662093
003N,35,2010,12,1,TOP,381795,200962,3,1,36,2011,381795,200962,12,1,TOP,same_SG,0
003N,36,2011,12,1,TOP,381795,200962,3,1,37,2012,381795,200962,12,1,TOP,same_SG,0
003V,40,2015,18,1,NETTLE,383024,201142,4,2,41,2016,383024,201142,18,1,NETTLE,same_SG,0
004A,39,2014,4,1,ARTHURS,380534,200550,2,1,40,2015,380390,200637,4,1,MEAD,same_SG,168.24089871371942
004A,40,2015,4,1,MEAD,380390,200637,1,1,41,2016,380390,200637,4,1,MEAD,same_SG,0
004E,38,2013,12,1,TOP,381795,200962,2,1,39,2014,381795,200962,12,1,TOP,same_SG,0
004M,43,2018,4,1,ARTHURS,380534,200550,1,1,44,2019,380534,200550,4,1,ARTHURS,same_SG,0
004P,33,2008,5,1,JACKSMIREY,380678,200030,1,2,34,2009,380678,200030,5,1,JACKSMIREY,same_SG,0
004R,29,2004,20,1,PARKMILL,383730,200924,1,2,30,2005,383730,200924,20,1,PARKMILL,same_SG,0
004W,30,2005,4,1,THISTLEWOODBANK,381109,200408,2,1,31,2006,380841,200432,4,1,JUNCTION,same_SG,269.0724809414742
004W,31,2006,4,1,JUNCTION,380841,200432,1,1,32,2007,381109,200408,4,1,THISTLEWOODBANK,same_SG,269.0724809414742
005A,39,2014,4,1,ARTHURS,380534,200550,2,1,40,2015,380390,200637,4,1,MEAD,same_SG,168.24089871371942
005B,31,2006,1,1,WEST,380190,201400,3,1,32,2007,380621,201409,2,1,BOX,neighbour_SG,431.0939572761372
005L,36,2011,20,1,PARKMILL,383730,200924,3,1,37,2012,383730,200924,20,1,PARKMILL,same_SG,0
005L,37,2012,20,1,PARKMILL,383730,200924,3,1,38,2013,383730,200924,20,1,PARKMILL,same_SG,0
005L,38,2013,20,1,PARKMILL,383730,200924,3,1,39,2014,383730,200924,20,1,PARKMILL,same_SG,0
005M,43,2018,5,1,JACKSMIREY,380678,200030,1,1,44,2019,380678,200030,5,1,JACKSMIREY,same_SG,0
005N,34,2009,1,1,WEST,380190,201400,3,1,35,2010,380190,201400,1,1,WEST,same_SG,0
005N,35,2010,1,1,WEST,380190,201400,3,1,36,2011,380390,200637,4,1,MEAD,neighbour_SG,788.776901284514
005T,42,2017,2,1,LARCH,380541,201242,2,1,43,2018,380621,201409,2,1,BOX,same_SG,185.17289218457435
005T,43,2018,2,1,BOX,380621,201409,2,1,44,2019,380621,201409,2,1,BOX,same_SG,0
005W,30,2005,4,1,THISTLEWOODBANK,381109,200408,2,1,31,2006,381109,200408,4,1,THISTLEWOODBANK,same_SG,0
006A,39,2014,4,1,ARTHURS,380534,200550,3,1,40,2015,380390,200637,4,1,MEAD,same_SG,168.24089871371942
006A,40,2015,4,1,MEAD,380390,200637,1,1,41,2016,380390,200637,4,1,MEAD,same_SG,0
006A,41,2016,4,1,MEAD,380390,200637,1,1,42,2017,380390,200637,4,1,MEAD,same_SG,0
006C,41,2016,8,1,BEND,381942,201770,1,1,42,2017,381370,201620,7,1,BREAKHEART,neighbour_SG,591.3408492570085
006C,42,2017,7,1,BREAKHEART,381370,201620,1,1,43,2018,381370,201620,7,1,BREAKHEART,same_SG,0
006E,38,2013,15,1,KENNEL,382464,200922,2,1,39,2014,382713,200607,16,1,WOODRUSH,neighbour_SG,401.529575498493
006G,28,2003,4,1,ARTHURS,380534,200550,2,1,29,2004,380534,200550,4,1,ARTHURS,same_SG,0
006L,36,2011,5,1,JACKSMIREY,380678,200030,2,1,37,2012,380678,200030,5,1,JACKSMIREY,same_SG,0
006L,37,2012,5,1,JACKSMIREY,380678,200030,2,1,38,2013,380390,200637,4,1,MEAD,neighbour_SG,671.8578718746994
006L,38,2013,4,1,MEAD,380390,200637,2,1,39,2014,380390,200637,4,1,MEAD,same_SG,0
006M,43,2018,11,1,YEW,381619,201268,2,1,44,2019,381737,201220,11,1,TAXUS,same_SG,127.38916751435343
006T,42,2017,2,1,LARCH,380541,201242,3,1,43,2018,380541,201242,2,1,LARCH,same_SG,0
007A,39,2014,4,1,ARTHURS,380534,200550,1,1,40,2015,380390,200637,4,1,MEAD,same_SG,168.24089871371942
007A,40,2015,4,1,MEAD,380390,200637,1,1,41,2016,380534,200550,4,1,ARTHURS,same_SG,168.24089871371942
007C,41,2016,8,1,CHAIN,381946,201669,2,1,42,2017,381946,201669,8,1,CHAIN,same_SG,0
007F,35,2010,21,1,COLLIERSWOOD,382931,200706,1,2,36,2011,382931,200706,21,1,COLLIERSWOOD,same_SG,0
007F,38,2013,21,1,COLLIERSWOOD,382931,200706,1,2,39,2014,382931,200706,21,1,COLLIERSWOOD,same_SG,0
007G,28,2003,2,1,BOX,380621,201409,2,1,29,2004,380541,201242,2,1,LARCH,same_SG,185.17289218457435
007G,29,2004,2,1,LARCH,380541,201242,2,1,30,2005,380621,201409,2,1,BOX,same_SG,185.17289218457435
007G,30,2005,2,1,BOX,380621,201409,1,1,31,2006,380541,201242,2,1,LARCH,same_SG,185.17289218457435
007M,43,2018,11,1,YEW,381619,201268,3,1,44,2019,381619,201268,11,1,YEW,same_SG,0
007T,42,2017,1,1,WEST,380190,201400,2,1,43,2018,380190,201400,1,1,WEST,same_SG,0
008A,39,2014,15,1,KENNEL,382464,200922,3,1,40,2015,382464,200922,15,1,KENNEL,same_SG,0
008B,31,2006,4,1,THISTLEWOODBANK,381109,200408,3,1,32,2007,381109,200408,4,1,THISTLEWOODBANK,same_SG,0
008B,32,2007,4,1,THISTLEWOODBANK,381109,200408,1,1,33,2008,381109,200408,4,1,THISTLEWOODBANK,same_SG,0
008B,33,2008,4,1,THISTLEWOODBANK,381109,200408,1,1,34,2009,380841,200432,4,1,JUNCTION,same_SG,269.0724809414742
008B,34,2009,4,1,JUNCTION,380841,200432,1,1,35,2010,380841,200432,4,1,JUNCTION,same_SG,0
008B,35,2010,4,1,JUNCTION,380841,200432,1,1,36,2011,380841,200432,4,1,JUNCTION,same_SG,0
008L,36,2011,1,1,WEST,380190,201400,1,1,37,2012,380190,201400,1,1,WEST,same_SG,0
008L,37,2012,1,1,WEST,380190,201400,1,1,38,2013,380190,201400,1,1,WEST,same_SG,0
008M,43,2018,11,1,YEW,381619,201268,2,1,44,2019,381619,201268,11,1,YEW,same_SG,0
008P,33,2008,9,1,LAURELS,381180,201357,2,1,34,2009,381022,201589,6,1,CEDAR,neighbour_SG,280.6920020235703
