transition_id,tattoo,entry_group,origin_year,next_year,origin_SG,dest_SG,observed_category,observed_distance_m,sigma_test,exp_same_SG,exp_neighbour_SG,exp_nonneighbour_SG,exp_peripheral,expected_prob_observed
1,001K,2,2012,2013,7,7,same_SG,0,60,0.9550164596374984,0.04491885120399261,0,6.468915850903476e-5,0.9550164596374984
1,001K,2,2012,2013,7,7,same_SG,0,100,0.8330920550978781,0.15987604488059104,0,0.007031900021530798,0.8330920550978781
1,001K,2,2012,2013,7,7,same_SG,0,150,0.6734786583011204,0.281355699965091,0.0010850393422947642,0.044080602391493785,0.6734786583011204
2,001K,2,2013,2014,7,11,nonneighbour_SG,631.6011399609725,60,0.9550164596374984,0.04491885120399261,0,6.468915850903476e-5,0
2,001K,2,2013,2014,7,11,nonneighbour_SG,631.6011399609725,100,0.8330920550978781,0.15987604488059104,0,0.007031900021530798,0
2,001K,2,2013,2014,7,11,nonneighbour_SG,631.6011399609725,150,0.6734786583011204,0.281355699965091,0.0010850393422947642,0.044080602391493785,0.0010850393422947642
3,001P,2,2011,2012,18,18,same_SG,0,60,0.6729565485555616,0.32704345144443836,0,0,0.6729565485555616
3,001P,2,2011,2012,18,18,same_SG,0,100,0.6310869561364685,0.3667172710269528,2.0342350180008864e-4,0.0019923493347786185,0.6310869561364685
3,001P,2,2011,2012,18,18,same_SG,0,150,0.5714522862811067,0.3849805425841699,0.014304277180092683,0.02926289395463078,0.5714522862811067
4,001P,2,2012,2013,18,11,nonneighbour_SG,1289.36146987569,60,0.6729565485555616,0.32704345144443836,0,0,0
4,001P,2,2012,2013,18,11,nonneighbour_SG,1289.36146987569,100,0.6310869561364685,0.3667172710269528,2.0342350180008864e-4,0.0019923493347786185,2.0342350180008864e-4
4,001P,2,2012,2013,18,11,nonneighbour_SG,1289.36146987569,150,0.5714522862811067,0.3849805425841699,0.014304277180092683,0.02926289395463078,0.014304277180092683
5,001P,2,2013,2014,11,17,nonneighbour_SG,888.6422227195825,60,0.5084918509224245,0.4915081490775755,0,0,0
5,001P,2,2013,2014,11,17,nonneighbour_SG,888.6422227195825,100,0.3984693498898829,0.5984094790311754,0.0031211710789417384,0,0.0031211710789417384
5,001P,2,2013,2014,11,17,nonneighbour_SG,888.6422227195825,150,0.3244761899007722,0.6370661263825033,0.03837147072110958,8.621299561496808e-5,0.03837147072110958
6,002A,1,2014,2015,6,6,same_SG,0,60,0.9962046765922629,0.0029689253365146988,0,8.263980712225528e-4,0.9962046765922629
6,002A,1,2014,2015,6,6,same_SG,0,100,0.9095660405667317,0.07086764570379445,0,0.019566313729473813,0.9095660405667317
6,002A,1,2014,2015,6,6,same_SG,0,150,0.7036829467467083,0.22738534636453067,0.002038730553022241,0.06689297633573878,0.7036829467467083
7,002A,1,2017,2018,7,7,same_SG,81.74350127074322,60,0.9550164596374984,0.04491885120399261,0,6.468915850903476e-5,0.9550164596374984
7,002A,1,2017,2018,7,7,same_SG,81.74350127074322,100,0.8330920550978781,0.15987604488059104,0,0.007031900021530798,0.8330920550978781
7,002A,1,2017,2018,7,7,same_SG,81.74350127074322,150,0.6734786583011204,0.281355699965091,0.0010850393422947642,0.044080602391493785,0.6734786583011204
8,002E,1,2013,2014,3,3,same_SG,98.00510190801293,60,0.748140465300824,0.251859534699176,0,0,0.748140465300824
8,002E,1,2013,2014,3,3,same_SG,98.00510190801293,100,0.5382935084307708,0.45956503822438083,0.0021414533448484057,0,0.5382935084307708
8,002E,1,2013,2014,3,3,same_SG,98.00510190801293,150,0.3588165560924883,0.6068120436820459,0.03234864971019654,0.0020227505152692607,0.3588165560924883
9,002K,2,2012,2013,7,7,same_SG,0,60,0.9550164596374984,0.04491885120399261,0,6.468915850903476e-5,0.9550164596374984
9,002K,2,2012,2013,7,7,same_SG,0,100,0.8330920550978781,0.15987604488059104,0,0.007031900021530798,0.8330920550978781
9,002K,2,2012,2013,7,7,same_SG,0,150,0.6734786583011204,0.281355699965091,0.0010850393422947642,0.044080602391493785,0.6734786583011204
10,002K,2,2013,2014,7,7,same_SG,0,60,0.9550164596374984,0.04491885120399261,0,6.468915850903476e-5,0.9550164596374984
10,002K,2,2013,2014,7,7,same_SG,0,100,0.8330920550978781,0.15987604488059104,0,0.007031900021530798,0.8330920550978781
10,002K,2,2013,2014,7,7,same_SG,0,150,0.6734786583011204,0.281355699965091,0.0010850393422947642,0.044080602391493785,0.6734786583011204
11,002K,2,2014,2015,7,7,same_SG,0,60,0.9550164596374984,0.04491885120399261,0,6.468915850903476e-5,0.9550164596374984
11,002K,2,2014,2015,7,7,same_SG,0,100,0.8330920550978781,0.15987604488059104,0,0.007031900021530798,0.8330920550978781
11,002K,2,2014,2015,7,7,same_SG,0,150,0.6734786583011204,0.281355699965091,0.0010850393422947642,0.044080602391493785,0.6734786583011204
12,002K,2,2015,2016,7,7,same_SG,0,60,0.9550164596374984,0.04491885120399261,0,6.468915850903476e-5,0.9550164596374984
12,002K,2,2015,2016,7,7,same_SG,0,100,0.8330920550978781,0.15987604488059104,0,0.007031900021530798,0.8330920550978781
12,002K,2,2015,2016,7,7,same_SG,0,150,0.6734786583011204,0.281355699965091,0.0010850393422947642,0.044080602391493785,0.6734786583011204
