"tattoo_clean","capture_date","is_anaesthetic_death","death_event_type"
"001R",2004-03-15,FALSE,"euthanised_health"
"024Y",2014-08-14,FALSE,"euthanised_health"
"040W",2005-11-18,FALSE,"euthanised_health"
"045W",2005-07-29,FALSE,"euthanised_health"
"049Y",2015-07-14,FALSE,"euthanised_health"
"052A",2016-08-09,FALSE,"euthanised_health"
"061R",2004-11-24,TRUE,"anaesthetic_death"
"095W",2005-10-11,FALSE,"euthanised_health"
"H003",2001-07-15,FALSE,"euthanised_health"
"I022",2004-05-12,FALSE,"euthanised_health"
"M012",2001-04-01,FALSE,"euthanised_health"
"Q070",2001-10-24,FALSE,"euthanised_health"
