file,column,imported_type,n_rows,n_missing,proportion_missing,n_blank_strings,n_unique_non_missing,example_values
all.diag.results.csv,tattoo,character,16591,0,0,0,3551,UN001 | GX001 | GX002 | GX003 | GX004 | GX005 | GX006 | GX007 | GX009 | W001
all.diag.results.csv,date,character,16591,0,0,0,2257,13/12/1975 | 09/02/1976 | 16/02/1976 | 24/02/1976 | 30/03/1976 | 18/05/1976 | 07/06/1976 | 22/06/1976 | 19/07/1976 | 20/09/1976
all.diag.results.csv,pm,character,16591,0,0,0,2,Yes | No
all.diag.results.csv,socg,character,16591,544,0.032788861430896266,0,45,OUTSIDE | BEECH | YEW | TOP_SETT | WEST | CEDAR | HONEYWELL | ATCOMBE_WEST | COLE_PARK | HOGARTHS
all.diag.results.csv,sett,character,16591,620,0.03736965824844796,0,494,A46_SO_841017 | BEECH | YEW | TOP_SETT | WEST | CEDAR | TOWER25 | PLATFORDS_SE_9 | SECOND_PASTURE_7 | PONTINS_PLANTATIO?N
all.diag.results.csv,supergroup,character,16591,4633,0.27924778494364416,0,40,BEECH | YEW | TOP_SETT | WEST | CEDAR | HONEYWELL | COLE_PARK | COLLIERS_WOOD | LARCH | ARTHURS
all.diag.results.csv,weight,character,16591,389,0.02344644686878428,0,175,14.6 | 9 | 10.9 | 9.1 | 8.3 | 9.7 | 7.5 | 7.9 | 9.9 | 14.9
all.diag.results.csv,toothwear,character,16591,1856,0.11186788017599904,0,5,0.25 | 0.75 | 0.5 | 0 | 1
all.diag.results.csv,condition,character,16591,827,0.04984630221204268,0,4,VERY_GOOD | GOOD | FAIR | POOR
all.diag.results.csv,body_length,character,16591,9060,0.5460791995660298,0,121,38.7 | 79 | 68 | 64.5 | 67.5 | 62.5 | 80.5 | 83 | 77.5 | 81.5
all.diag.results.csv,temp,character,16591,2330,0.14043758664336087,0,69,38.5 | 39.1 | 38.8 | 39 | 38.3 | 37.7 | 39.8 | 38 | 39.7 | 38.6
all.diag.results.csv,neck_diameter,character,16591,15001,0.9041649086854319,0,43,27.5 | 28 | 26 | 25 | 26.5 | 29.5 | 24 | 23.5 | 27 | 23
all.diag.results.csv,captureyear,character,16591,0,0,0,44,1975 | 1976 | 1977 | 1978 | 1979 | 1980 | 1981 | 1982 | 1983 | 1984
all.diag.results.csv,sex,character,16591,32,0.001928756554758604,0,2,MALE | FEMALE
all.diag.results.csv,age,character,16591,128,0.007715026219034416,0,2,ADULT | CUB
all.diag.results.csv,age_years,character,16591,1950,0.11753360255560244,0,15,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9
all.diag.results.csv,statpak,character,16591,13790,0.831173527816286,0,2,0 | 1
all.diag.results.csv,IFNgamma,character,16591,13393,0.807244891808812,0,2,0 | 1
all.diag.results.csv,cult_SUM,character,16591,751,0.045265505394490986,0,10,2 | 0 | 1 | 4 | 3 | 7 | 9 | 8 | 6 | 5
all.diag.results.csv,cult_OA,character,16591,2552,0.15381833524199867,0,2,0 | 1
all.diag.results.csv,cult_TA,character,16591,13174,0.7940449641371828,0,2,0 | 1
all.diag.results.csv,cult_FAECES,character,16591,5366,0.32342836477608344,0,2,0 | 1
all.diag.results.csv,cult_URINE,character,16591,4842,0.2918449761919113,0,2,0 | 1
all.diag.results.csv,cult_OTHER,character,16591,14022,0.8451570128382858,0,9,2 | 0 | 1 | 4 | 3 | 7 | 8 | 6 | 5
all.diag.results.csv,CaptureDate,character,16591,15623,0.9416551142185522,0,94,20/05/2014 | 21/05/2014 | 03/06/2014 | 04/06/2014 | 24/06/2014 | 25/06/2014 | 12/08/2014 | 13/08/2014 | 14/08/2014 | 19/08/2014
all.diag.results.csv,VisualLine1,character,16591,15623,0.9416551142185522,0,2,0 | 1
all.diag.results.csv,OpticalDensity1,character,16591,15625,0.9417756615032247,0,466,0 | 6321.53 | 4256.55 | 527.3 | 109.4 | 716.28 | 47.56 | 1186.36 | 91.86 | 6560.86
all.diag.results.csv,VisualLine2,character,16591,15623,0.9416551142185522,0,2,0 | 1
all.diag.results.csv,OpticalDensity2,character,16591,15625,0.9417756615032247,0,440,5.41 | 156.6 | 3.06 | 0 | 0.49 | 50.5 | 4.22 | 9.74 | 18.85 | 4.42
all.diag.results.csv,PM,character,16591,15623,0.9416551142185522,0,2,No | no
all.diag.results.csv,brock,character,16591,4055,0.24440961967331687,0,2,0 | 1
