file,column,value,count
all.diag.results.csv,pm,No,15468
all.diag.results.csv,pm,Yes,1123
all.diag.results.csv,toothwear,0,4446
all.diag.results.csv,toothwear,0.25,5263
all.diag.results.csv,toothwear,0.5,3047
all.diag.results.csv,toothwear,0.75,1693
all.diag.results.csv,toothwear,1,286
all.diag.results.csv,condition,FAIR,4495
all.diag.results.csv,condition,GOOD,8474
all.diag.results.csv,condition,POOR,1133
all.diag.results.csv,condition,VERY_GOOD,1662
all.diag.results.csv,sex,FEMALE,9121
all.diag.results.csv,sex,MALE,7438
all.diag.results.csv,age,ADULT,11423
all.diag.results.csv,age,CUB,5040
all.diag.results.csv,age_years,0,5040
all.diag.results.csv,age_years,1,3726
all.diag.results.csv,age_years,10,99
all.diag.results.csv,age_years,11,69
all.diag.results.csv,age_years,12,22
all.diag.results.csv,age_years,13,12
all.diag.results.csv,age_years,14,3
all.diag.results.csv,age_years,2,1942
all.diag.results.csv,age_years,3,1245
all.diag.results.csv,age_years,4,814
all.diag.results.csv,age_years,5,587
all.diag.results.csv,age_years,6,436
all.diag.results.csv,age_years,7,311
all.diag.results.csv,age_years,8,203
all.diag.results.csv,age_years,9,132
all.diag.results.csv,statpak,0,2148
all.diag.results.csv,statpak,1,653
all.diag.results.csv,IFNgamma,0,2598
all.diag.results.csv,IFNgamma,1,600
all.diag.results.csv,cult_SUM,0,15198
all.diag.results.csv,cult_SUM,1,423
all.diag.results.csv,cult_SUM,2,130
all.diag.results.csv,cult_SUM,3,49
all.diag.results.csv,cult_SUM,4,24
all.diag.results.csv,cult_SUM,5,9
all.diag.results.csv,cult_SUM,6,2
all.diag.results.csv,cult_SUM,7,3
all.diag.results.csv,cult_SUM,8,1
all.diag.results.csv,cult_SUM,9,1
all.diag.results.csv,cult_OA,0,13845
all.diag.results.csv,cult_OA,1,194
all.diag.results.csv,cult_TA,0,3404
all.diag.results.csv,cult_TA,1,13
all.diag.results.csv,cult_FAECES,0,11091
all.diag.results.csv,cult_FAECES,1,134
all.diag.results.csv,cult_URINE,0,11611
all.diag.results.csv,cult_URINE,1,138
all.diag.results.csv,cult_OTHER,0,2181
all.diag.results.csv,cult_OTHER,1,307
all.diag.results.csv,cult_OTHER,2,52
all.diag.results.csv,cult_OTHER,3,11
all.diag.results.csv,cult_OTHER,4,6
all.diag.results.csv,cult_OTHER,5,5
all.diag.results.csv,cult_OTHER,6,2
all.diag.results.csv,cult_OTHER,7,3
all.diag.results.csv,cult_OTHER,8,2
all.diag.results.csv,VisualLine1,0,829
all.diag.results.csv,VisualLine1,1,139
all.diag.results.csv,VisualLine2,0,923
all.diag.results.csv,VisualLine2,1,45
all.diag.results.csv,PM,no,117
all.diag.results.csv,PM,No,851
all.diag.results.csv,brock,0,11105
all.diag.results.csv,brock,1,1431
tblBadger.csv,age_fc,ADULT,718
tblBadger.csv,age_fc,CUB,2701
tblBadger.csv,age_fc,YEARLING,85
tblBadger.csv,sex,FEMALE,1890
tblBadger.csv,sex,MALE,1692
tblBadger.csv,sex,UNKNOWN,17
tblCaptures.csv,pm,No,7571
tblCaptures.csv,pm,NO,8195
tblCaptures.csv,pm,Yes,589
tblCaptures.csv,pm,YES,547
tblCaptures.csv,moc,DART GUN,1
tblCaptures.csv,moc,DEAD SN/TR,9
tblCaptures.csv,moc,FOUND DEAD,261
tblCaptures.csv,moc,FOUND EXT,30
tblCaptures.csv,moc,NET,43
tblCaptures.csv,moc,ON ROAD,1
tblCaptures.csv,moc,PUT DOWN,14
tblCaptures.csv,moc,REMOVAL,77
tblCaptures.csv,moc,REPORTED BY MEMBER OF THE PUBLIC,1
tblCaptures.csv,moc,RTA,708
tblCaptures.csv,moc,SHOT,21
tblCaptures.csv,moc,SHOT (GP),13
tblCaptures.csv,moc,SNARE,140
tblCaptures.csv,moc,TRAP,15384
tblCaptures.csv,eartags,BOTH,3784
tblCaptures.csv,eartags,LEFT,734
tblCaptures.csv,eartags,NEITHER,2943
tblCaptures.csv,eartags,NONE,864
tblCaptures.csv,eartags,NOT TAGGED,141
tblCaptures.csv,eartags,NOT TAGûGED,63
tblCaptures.csv,eartags,REMOVED,9
tblCaptures.csv,eartags,RETAGGEûD,9
tblCaptures.csv,eartags,RIGHT,624
tblCaptures.csv,retag,01,1
tblCaptures.csv,retag,10,1
tblCaptures.csv,retag,B81,2
tblCaptures.csv,retag,B90,1
tblCaptures.csv,retag,B97,1
tblCaptures.csv,retag,G16,1
tblCaptures.csv,retag,G40,1
tblCaptures.csv,retag,K75,1
tblCaptures.csv,retag,R01,1
tblCaptures.csv,retag,R64,1
tblCaptures.csv,retag,R95,1
tblCaptures.csv,retag,W3,1
tblCaptures.csv,retag,W90,1
tblCaptures.csv,retag,W91,1
tblCaptures.csv,retag,W92,1
tblCaptures.csv,retag,W99,1
tblCaptures.csv,retag,Y42,1
tblCaptures.csv,toothwear,0,4508
tblCaptures.csv,toothwear,0.25,5382
tblCaptures.csv,toothwear,0.5,3117
tblCaptures.csv,toothwear,0.75,1732
tblCaptures.csv,toothwear,1,293
tblCaptures.csv,condition,FAIR,4606
tblCaptures.csv,condition,GOOD,8599
tblCaptures.csv,condition,POOR,1157
tblCaptures.csv,condition,V.GOOD,700
tblCaptures.csv,condition,VERY GOOD,1009
tblCaptures.csv,reproc,LACT P Y,216
tblCaptures.csv,reproc,LACTATING,451
tblCaptures.csv,reproc,LACTATING SOMETIME,632
tblCaptures.csv,reproc,LACTATING THIS YEAR,849
tblCaptures.csv,reproc,MID,10
tblCaptures.csv,reproc,N LACT T Y,290
tblCaptures.csv,reproc,NEVER LACTATING,4244
tblCaptures.csv,reproc,NPTD,165
tblCaptures.csv,reproc,PREGNANT,51
tblCaptures.csv,reproc,TESTES ASCENDED,14
tblCaptures.csv,reproc,TESTES DESCENDED,75
tblCaptures.csv,reproc,UNKNOWN,3
tblCaptures.csv,reproc,UNSURE,81
tblCaptures.csv,testes,ASCENDED,810
tblCaptures.csv,testes,DESCENDED,2177
tblCaptures.csv,testes,MID,735
tblCaptures.csv,CollarActionTaken,No,796
tblCaptures.csv,CollarActionTaken,Yes,273
tblCaptures.csv,CollarActionTaker,FS,4
tblCaptures.csv,CollarActionTaker,IV,78
tblCaptures.csv,CollarActionTaker,PS,84
tblCaptures.csv,CollarActionTaker,RC,2
tblCaptures.csv,CollarActionTaker,RD,59
tblCaptures.csv,CollarActionTaker,SB,26
tblCaptures.csv,CollarActionTaker,SC,7
tblCaptures.csv,CollarActionTaker,TG,12
tblCaptures.csv,transmitter,4,1
tblCaptures.csv,transmitter,FIT,136
tblCaptures.csv,transmitter,FITTED,382
tblCaptures.csv,transmitter,LOST,29
tblCaptures.csv,transmitter,PRES,81
tblCaptures.csv,transmitter,PRESENT,220
tblCaptures.csv,transmitter,REMOVAL,115
tblCaptures.csv,transmitter,REPL,74
tblCaptures.csv,transmitter,REPLACED,68
tblCaptures.csv,ppm,.9006,1
tblCaptures.csv,ppm,1 PER SEC,1
tblCaptures.csv,ppm,200,3
tblCaptures.csv,ppm,39,1
tblCaptures.csv,ppm,40,43
tblCaptures.csv,ppm,42,1
tblCaptures.csv,ppm,45,3
tblCaptures.csv,ppm,46,2
tblCaptures.csv,ppm,47,2
tblCaptures.csv,ppm,48,2
tblCaptures.csv,ppm,49,4
tblCaptures.csv,ppm,50,4
tblCaptures.csv,ppm,52,1
tblCaptures.csv,ppm,54,1
tblCaptures.csv,ppm,55,1
tblCaptures.csv,ppm,56,2
tblCaptures.csv,ppm,58,1
tblCaptures.csv,ppm,60,6
tblCaptures.csv,ppm,60 per min,2
tblCaptures.csv,ppm,61,3
tblCaptures.csv,ppm,62,2
tblCaptures.csv,ppm,65,2
tblCaptures.csv,ppm,68,1
tblCaptures.csv,ppm,69,2
tblCaptures.csv,ppm,70,3
tblCaptures.csv,ppm,71,1
tblCaptures.csv,ppm,72,3
tblCaptures.csv,ppm,HIGH,1
tblCaptures.csv,blood,FALSE,1256
tblCaptures.csv,blood,TRUE,15646
tblCaptures.csv,pmstat,NOT POSSIBLE,73
tblCaptures.csv,pmstat,POSSIBLE,474
tblCaptures.csv,HealthMonitoring,N,10713
tblCaptures.csv,HealthMonitoring,No,5383
tblCaptures.csv,HealthMonitoring,Yes,273
tblCaptures.csv,DiseaseStatus,1,11890
tblCaptures.csv,DiseaseStatus,2,2870
tblCaptures.csv,DiseaseStatus,3,582
tblCaptures.csv,DiseaseStatus,4,402
tblCaptures.csv,Sampler,ADC,2
tblCaptures.csv,Sampler,ADL,70
tblCaptures.csv,Sampler,DH,51
tblCaptures.csv,Sampler,GW,41
tblCaptures.csv,Sampler,LR,213
tblCaptures.csv,Sampler,MC,1
tblCaptures.csv,Sampler,MW,89
tblCaptures.csv,Sampler,PS,2
tblCaptures.csv,Sampler,RD,350
tblCaptures.csv,Sampler,RY,1
tblCaptures.csv,Sampler,SB,53
tblCaptures.csv,Sampler,SR,1
tblCaptures.csv,Time_blood_taken,00/01/1900,3468
tblCaptures.csv,Red_Volume,0,28
tblCaptures.csv,Red_Volume,1,2
tblCaptures.csv,Red_Volume,10,690
tblCaptures.csv,Red_Volume,11.5,1
tblCaptures.csv,Red_Volume,12,9
tblCaptures.csv,Red_Volume,12.5,71
tblCaptures.csv,Red_Volume,13,1
tblCaptures.csv,Red_Volume,14,12
tblCaptures.csv,Red_Volume,15,1
tblCaptures.csv,Red_Volume,16,20
tblCaptures.csv,Red_Volume,2,5
tblCaptures.csv,Red_Volume,3,6
tblCaptures.csv,Red_Volume,3.5,1
tblCaptures.csv,Red_Volume,4,371
tblCaptures.csv,Red_Volume,4.5,1
tblCaptures.csv,Red_Volume,5,43
tblCaptures.csv,Red_Volume,5.5,2
tblCaptures.csv,Red_Volume,6,1688
tblCaptures.csv,Red_Volume,7,95
tblCaptures.csv,Red_Volume,8,356
tblCaptures.csv,Red_Volume,8.5,11
tblCaptures.csv,Red_Volume,9,24
tblCaptures.csv,Green_Volume,0,49
tblCaptures.csv,Green_Volume,1,4
tblCaptures.csv,Green_Volume,10,267
tblCaptures.csv,Green_Volume,10.5,1
tblCaptures.csv,Green_Volume,11,14
tblCaptures.csv,Green_Volume,12,311
tblCaptures.csv,Green_Volume,13,4
tblCaptures.csv,Green_Volume,14,23
tblCaptures.csv,Green_Volume,14.5,1
tblCaptures.csv,Green_Volume,15,26
tblCaptures.csv,Green_Volume,16,58
tblCaptures.csv,Green_Volume,17,14
tblCaptures.csv,Green_Volume,18,10
tblCaptures.csv,Green_Volume,2,20
tblCaptures.csv,Green_Volume,2.5,1
tblCaptures.csv,Green_Volume,20,1
tblCaptures.csv,Green_Volume,21,2
tblCaptures.csv,Green_Volume,22,14
tblCaptures.csv,Green_Volume,24,7
tblCaptures.csv,Green_Volume,3,11
tblCaptures.csv,Green_Volume,3.5,1
tblCaptures.csv,Green_Volume,4,219
tblCaptures.csv,Green_Volume,5,37
tblCaptures.csv,Green_Volume,5.5,2
tblCaptures.csv,Green_Volume,6,1377
tblCaptures.csv,Green_Volume,7,583
tblCaptures.csv,Green_Volume,7.5,1
tblCaptures.csv,Green_Volume,8,359
tblCaptures.csv,Green_Volume,9,21
tblCaptures.csv,Green_Volume,9.5,1
tblCaptures.csv,Purple_Volume,0,693
tblCaptures.csv,Purple_Volume,1,25
tblCaptures.csv,Purple_Volume,1.5,1
tblCaptures.csv,Purple_Volume,10,10
tblCaptures.csv,Purple_Volume,2,362
tblCaptures.csv,Purple_Volume,2.5,1
tblCaptures.csv,Purple_Volume,3.5,1
tblCaptures.csv,Purple_Volume,6,2
tblCaptures.csv,Purple_Volume,8,1
tblCaptures.csv,Yellow_Volume,0,924
tblCaptures.csv,Peach_Volume,1,2
tblCaptures.csv,Peach_Volume,10,5
tblCaptures.csv,Peach_Volume,2,1
tblCaptures.csv,Peach_Volume,2.5,2
tblCaptures.csv,Peach_Volume,3.5,37
tblCaptures.csv,Peach_Volume,4,1
tblCaptures.csv,Peach_Volume,5,57
tblCaptures.csv,Peach_Volume,8.5,40
tblCaptures.csv,hair_sample,FALSE,15968
tblCaptures.csv,hair_sample,TRUE,934
tblCaptures.csv,Furclip,FALSE,16864
tblCaptures.csv,Furclip,TRUE,38
tblCaptures.csv,WhiskerTaken,FALSE,15853
tblCaptures.csv,WhiskerTaken,TRUE,1049
tblCaptures.csv,HOSupervisor,FR,9
tblCaptures.csv,HOSupervisor,FS,34
tblCaptures.csv,HOSupervisor,IV,4
tblCaptures.csv,HOSupervisor,PS,11
tblCaptures.csv,HOSupervisor,RD,32
tblCaptures.csv,HOSupervisor,SB,4
tblCaptures.csv,HOSupervisor,SC,2
tblCaptures.csv,SeverityAss,Mild,469
tblCaptures.csv,SevInitial,FS,1
tblCaptures.csv,SevInitial,JJ,1
tblCaptures.csv,SevInitial,PS,296
tblCaptures.csv,SevInitial,SB,171
tblCaptures.csv,ReleaseAss,Death,3
tblCaptures.csv,ReleaseAss,Fit,1304
tblCaptures.csv,RelInitial,FS,22
tblCaptures.csv,RelInitial,IV,124
tblCaptures.csv,RelInitial,JJ,1
tblCaptures.csv,RelInitial,PS,310
