file,column,value,count
all.diag.results.csv,pm,No,15468
all.diag.results.csv,pm,Yes,1123
all.diag.results.csv,toothwear,0,4446
all.diag.results.csv,toothwear,0.25,5263
all.diag.results.csv,toothwear,0.5,3047
all.diag.results.csv,toothwear,0.75,1693
all.diag.results.csv,toothwear,1,286
all.diag.results.csv,condition,FAIR,4495
all.diag.results.csv,condition,GOOD,8474
all.diag.results.csv,condition,POOR,1133
all.diag.results.csv,condition,VERY_GOOD,1662
all.diag.results.csv,sex,FEMALE,9121
all.diag.results.csv,sex,MALE,7438
all.diag.results.csv,age,ADULT,11423
all.diag.results.csv,age,CUB,5040
all.diag.results.csv,age_years,0,5040
all.diag.results.csv,age_years,1,3726
all.diag.results.csv,age_years,10,99
all.diag.results.csv,age_years,11,69
all.diag.results.csv,age_years,12,22
all.diag.results.csv,age_years,13,12
all.diag.results.csv,age_years,14,3
all.diag.results.csv,age_years,2,1942
all.diag.results.csv,age_years,3,1245
all.diag.results.csv,age_years,4,814
all.diag.results.csv,age_years,5,587
all.diag.results.csv,age_years,6,436
all.diag.results.csv,age_years,7,311
all.diag.results.csv,age_years,8,203
all.diag.results.csv,age_years,9,132
all.diag.results.csv,statpak,0,2148
all.diag.results.csv,statpak,1,653
all.diag.results.csv,IFNgamma,0,2598
all.diag.results.csv,IFNgamma,1,600
all.diag.results.csv,cult_SUM,0,15198
all.diag.results.csv,cult_SUM,1,423
all.diag.results.csv,cult_SUM,2,130
all.diag.results.csv,cult_SUM,3,49
all.diag.results.csv,cult_SUM,4,24
all.diag.results.csv,cult_SUM,5,9
all.diag.results.csv,cult_SUM,6,2
all.diag.results.csv,cult_SUM,7,3
all.diag.results.csv,cult_SUM,8,1
all.diag.results.csv,cult_SUM,9,1
all.diag.results.csv,cult_OA,0,13845
all.diag.results.csv,cult_OA,1,194
all.diag.results.csv,cult_TA,0,3404
all.diag.results.csv,cult_TA,1,13
all.diag.results.csv,cult_FAECES,0,11091
all.diag.results.csv,cult_FAECES,1,134
all.diag.results.csv,cult_URINE,0,11611
all.diag.results.csv,cult_URINE,1,138
all.diag.results.csv,cult_OTHER,0,2181
all.diag.results.csv,cult_OTHER,1,307
all.diag.results.csv,cult_OTHER,2,52
all.diag.results.csv,cult_OTHER,3,11
all.diag.results.csv,cult_OTHER,4,6
all.diag.results.csv,cult_OTHER,5,5
all.diag.results.csv,cult_OTHER,6,2
all.diag.results.csv,cult_OTHER,7,3
all.diag.results.csv,cult_OTHER,8,2
all.diag.results.csv,VisualLine1,0,829
all.diag.results.csv,VisualLine1,1,139
all.diag.results.csv,VisualLine2,0,923
all.diag.results.csv,VisualLine2,1,45
all.diag.results.csv,PM,no,117
all.diag.results.csv,PM,No,851
all.diag.results.csv,brock,0,11105
all.diag.results.csv,brock,1,1431
