file,column,value,count
tblCulture.csv,pm,No,22590
tblCulture.csv,pm,NO,21755
tblCulture.csv,pm,Yes,2169
tblCulture.csv,pm,YES,674
tblCulture.csv,result,CONTAMINATED,2
tblCulture.csv,result,FAILED,2
tblCulture.csv,result,M.AVIUM,2
tblCulture.csv,result,M.BOVIS,1042
tblCulture.csv,result,M.OTHER,1
tblCulture.csv,result,NEGATIVE,44628
tblCulture.csv,result,PENDING,6
tblCulture.csv,lesions,NVL,2240
tblCulture.csv,lesions,VL,214
tblCulture.csv,abscesses,CLOSED,17
tblCulture.csv,abscesses,HEALED,338
tblCulture.csv,abscesses,HEALING,1
tblCulture.csv,abscesses,NOT HEALED,408
tblCulture.csv,abscesses,OPEN,25
tblCulture.csv,abscesses,SINUS,128
tblCulture.csv,Spoligo,10,3
tblCulture.csv,Spoligo,11,5
tblCulture.csv,Spoligo,15,1
tblCulture.csv,Spoligo,17,595
tblCulture.csv,Spoligo,20,1
tblCulture.csv,Spoligo,21,1
tblCulture.csv,Spoligo,22,1
tblCulture.csv,Spoligo,25,1
tblCulture.csv,Spoligo,6,1
tblCulture.csv,Spoligo,9,30
tblCulture.csv,Spoligo,FAIL,17
tblCulture.csv,Spoligo,RETEST,45
tblCulture.csv,SpolPrime,Y,6
tblCulture.csv,Sampler2,AT,1
tblCulture.csv,Sampler2,CH,5
tblCulture.csv,Sampler2,DH,1
tblCulture.csv,Sampler2,LR,1
tblCulture.csv,Sampler2,PS,3
tblCulture.csv,Sampler2,RD,5
tblCulture.csv,Sampler2,SB,1
