Sett_Clean,x,y,detector,row_R,col_R,in_bounds,SG_id,habitat,zone,nearest_detector_m
ARTHURS,380534,200550,1,73,59,TRUE,4,1,1,58.66856057549052
ATCOMBECORNER,383696,201502,2,54,123,TRUE,999,1,2,332.06324698767855
ATCOMBEWEST,383375,201417,3,56,116,TRUE,999,1,2,328.3321488980328
BAMBOO,383699,201850,4,47,123,TRUE,999,1,2,278.5121182282739
BANK,380563,200499,5,74,60,TRUE,4,1,1,41.10960958218893
BEECH,380931,201164,6,61,67,TRUE,3,1,1,33.1058907144937
BENCH,380417,201488,7,54,57,TRUE,999,1,2,92.02716990106781
BEND,381942,201770,8,49,88,TRUE,8,1,1,64.93843238021688
BOUNDARYCOURT,382916,202222,9,39,107,TRUE,999,1,2,191.9505144562004
BOX,380621,201409,10,56,61,TRUE,2,1,1,185.17289218457435
BOXWOOD,381241,201774,11,48,74,TRUE,7,1,1,81.74350127074322
BRACKEN,381157,201365,12,57,72,TRUE,9,1,1,24.351591323771842
BRAMBLE,380625,200466,13,75,61,TRUE,4,1,1,70.2353187506115
BREAKHEART,381370,201620,14,52,76,TRUE,7,1,1,157.88920165736477
BUCKHOLT,379874,201435,15,55,46,TRUE,1,1,1,73.23933369440222
BULLPEN,381230,201693,16,50,73,TRUE,7,1,1,81.74350127074322
BUNGALOW,383675,202710,17,30,122,TRUE,999,1,2,267.5256997000475
CARPARK,379814,201477,18,54,45,TRUE,999,1,2,73.23933369440222
CEDAR,381022,201589,19,52,69,TRUE,6,1,1,46.389654018972806
CHAIN,381946,201669,20,51,88,TRUE,8,1,1,39.92492955535426
CHERRIES,381841,201313,21,58,86,TRUE,13,1,1,139.51702405083043
CHESNUT,380834,201150,22,61,65,TRUE,3,1,1,67
CLAY,380590,200530,23,73,61,TRUE,4,1,1,41.10960958218893
COLEPARK,382049,201493,24,54,90,TRUE,14,1,1,115.80155439371269
COLLIERSWOOD,382931,200706,25,70,107,TRUE,21,1,1,142.80056022299073
CORRAL,380279,201409,26,56,54,TRUE,1,1,1,89.45389874119518
DAM,383126,200958,27,65,111,TRUE,19,1,1,147.648230602334
DARKWOOD,383135,202599,28,32,111,TRUE,999,1,2,390.5547336801847
DEN,381314,201015,29,64,75,TRUE,11,1,1,273.40263349134
DINGLE,383237,202222,30,39,114,TRUE,999,1,2,321
DOLINE,382076,201048,31,63,90,TRUE,15,1,1,37.05401462729781
FERN,381314,201301,32,58,75,TRUE,10,1,1,40.22437072223753
FIELDFARM,380936,199687,33,90,67,TRUE,999,1,2,269.2582403567252
FORK,382786,200771,34,68,104,TRUE,16,1,1,158.90248582070703
FOX,381016,201635,35,51,69,TRUE,6,1,1,46.389654018972806
GIANTBEECH,382420,201405,36,56,97,TRUE,14,1,1,122.2620137246234
GULLY,382734,202283,37,38,103,TRUE,999,1,2,191.9505144562004
HEDGE,381350,200278,38,78,76,TRUE,999,1,2,273.82658746002005
HOLLOWTREE,382930,201326,39,57,107,TRUE,18,1,1,90.78546139112804
HOLLYWOOD,381353,199891,40,86,76,TRUE,999,1,2,387.01162773229436
HONEYWELL,381931,201706,41,50,87,TRUE,8,1,1,39.92492955535426
HOPPER,383666,200473,42,74,122,TRUE,999,1,2,65.76473218982953
HUNTINGGATE,381247,201345,43,57,74,TRUE,10,1,1,39.96248240537617
INCHBROOK,384013,200739,44,69,129,TRUE,999,1,2,338.10353443878694
JACKSMIREY,380678,200030,45,83,62,TRUE,5,1,1,59.21148537234985
JACOBS,380387,201401,46,56,57,TRUE,2,1,1,92.02716990106781
JUNCTION,380841,200432,47,75,66,TRUE,4,1,1,32.64965543462902
