SG_id,n_cells,area_km2,median_nearest_det_m,mean_nearest_det_m,p90_nearest_det_m,max_nearest_det_m,mean_n_det_within_100m,mean_n_det_within_200m,mean_n_det_within_300m,mean_n_det_within_500m
1,225,0.5625,237.26778427389326,234.22858952981707,389.56672793820087,500.695284561385,0.19111111111111112,0.7688888888888888,1.9777777777777779,6.728888888888889
2,38,0.095,61.27665804570105,66.0199238039593,107.70687104549928,129.31942754677786,1.1578947368421053,3.3684210526315788,5.7894736842105265,10.552631578947368
3,34,0.085,87.8255087474925,89.23678561482825,147.78825401192495,196.81805182734448,1.1470588235294117,3.1470588235294117,5.323529411764706,13.617647058823529
4,203,0.5075,145.56707687030863,156.22173488013456,274.2634967984917,379.6605458028072,0.5517241379310345,1.9852216748768472,4.078817733990148,8.073891625615763
5,20,0.05,171.36667266327393,159.00637531090453,250.60674347954216,273.1878266797358,0.45,1.1,3.1,11.05
6,81,0.2025,101.48880788122844,109.52741335178122,182.5697555438582,240.5698785790493,0.7283950617283951,3.4074074074074074,7.592592592592593,16.395061728395063
7,98,0.245,174.31792624848737,180.5939572836103,323.7006883794106,379.9681299602905,0.3673469387755102,1.4183673469387754,3.489795918367347,8.724489795918368
8,151,0.3775,188.63905432572977,190.9246416565371,307.5748264150013,374.4762018886167,0.33774834437086093,1.4834437086092715,3.543046357615894,9.52317880794702
9,88,0.22,183.8771213654041,196.55257003138206,314.4294986076677,371.2383814159529,0.17045454545454544,1.4659090909090908,4.011363636363637,11.488636363636363
10,33,0.0825,76.61602449925874,74.3280199939657,119.97951899458842,145.5704641020813,1.7272727272727273,5.090909090909091,8.06060606060606,17.575757575757574
11,89,0.2225,135.46292315024263,147.7618106982083,273.8134170793399,323.8430433721195,0.34831460674157305,1.449438202247191,3.640449438202247,11.382022471910112
12,109,0.2725,260.0327663711163,241.52142972611128,394.32953217568587,446.7617615769115,0.22018348623853212,0.8532110091743119,1.944954128440367,6.89908256880734
13,36,0.09,105.25283066243841,102.24186474431288,156.20525109824132,208.50726072432522,0.5277777777777778,2.4166666666666665,5.666666666666667,18.52777777777778
14,63,0.1575,81.38201438840969,101.16396287811223,198.72547649903618,296.62207130712204,0.873015873015873,3,5.9523809523809526,14.476190476190476
15,160,0.4,122.80472286217436,116.70690605092013,176.4910417658849,201.49711383380068,0.5625,2.29375,5.275,13.25
16,103,0.2575,117.15728966180932,124.61000720074574,215.82781135162026,280.6273667969765,0.4077669902912621,1.3300970873786409,2.4854368932038833,6.533980582524272
17,73,0.1825,100.54145059982902,102.54177397238452,164.07215846848143,264.001686241443,0.684931506849315,2.4383561643835616,4.712328767123288,10.780821917808218
18,104,0.26,124.04465922890017,138.11719143200628,257.9525234625004,368.4480838283983,0.4807692307692308,1.7211538461538463,3.5096153846153846,8.509615384615385
19,50,0.125,112.90175010424723,108.48294905863591,170.0146250490241,189.2638629424254,0.44,1.94,4.46,12.22
20,64,0.16,120.20577812287682,118.68597073106706,180.94298770944852,210.3615812395764,0.328125,1.203125,2.421875,7.515625
21,99,0.2475,182.77665441440786,187.76354763611448,325.1188181743538,383.7713019460992,0.25252525252525254,0.9797979797979798,2.3535353535353534,6.171717171717172
22,78,0.195,169.3777681539587,183.26071587741865,309.7119123271806,377.010242219512,0.16666666666666666,0.8076923076923077,1.6666666666666667,4.153846153846154
