tattoo,primary,primary_year,SG_id,zone,Sett_Clean,x,y,n_loc_obs,entry_group
001A,39,2014,6,1,CEDAR,381022,201589,1,1
001B,31,2006,20,1,PARKMILL,383730,200924,1,2
001B,34,2009,20,1,PARKMILL,383730,200924,1,2
001C,41,2016,8,1,CHAIN,381946,201669,1,2
001E,38,2013,1,1,WEST,380190,201400,1,1
001E,40,2015,1,1,WEST,380190,201400,1,1
001F,35,2010,21,1,COLLIERSWOOD,382931,200706,3,2
001G,28,2003,999,2,FIELDFARM,380936,199687,1,2
001H,45,2020,12,1,TOP,381795,200962,1,2
001K,37,2012,7,1,BOXWOOD,381241,201774,2,2
001K,38,2013,7,1,BOXWOOD,381241,201774,1,2
001K,39,2014,11,1,YEW,381619,201268,1,2
001L,36,2011,999,2,INCHBROOK,384013,200739,1,2
001L,37,2012,999,2,INCHBROOK,384013,200739,1,2
001L,38,2013,999,2,INCHBROOK,384013,200739,1,2
001L,39,2014,999,2,INCHBROOK,384013,200739,1,2
001M,43,2018,5,1,JACKSMIREY,380678,200030,1,2
001P,33,2008,17,1,OLDOAK,382624,201274,2,2
001P,36,2011,18,1,NETTLE,383024,201142,1,2
001P,37,2012,18,1,NETTLE,383024,201142,1,2
001P,38,2013,11,1,TAXUS,381737,201220,1,2
001P,39,2014,17,1,OLDOAK,382624,201274,1,2
001T,42,2017,14,1,TRACKSIDE,382281,201327,1,2
001V,40,2015,8,1,HONEYWELL,381931,201706,1,2
001W,30,2005,16,1,FORK,382786,200771,2,2
001Y,32,2007,16,1,FORK,382786,200771,1,2
001Z,44,2019,15,1,KENNEL,382464,200922,3,1
002A,39,2014,6,1,CEDAR,381022,201589,2,1
002A,40,2015,6,1,CEDAR,381022,201589,2,1
002A,42,2017,7,1,BOXWOOD,381241,201774,1,1
002A,43,2018,7,1,BULLPEN,381230,201693,1,1
002B,31,2006,999,2,HEDGE,381350,200278,3,1
002B,32,2007,999,2,HEDGE,381350,200278,1,1
002B,33,2008,999,2,HEDGE,381350,200278,1,1
002C,41,2016,20,1,PARKMILL,383730,200924,4,2
002E,38,2013,3,1,BEECH,380931,201164,1,1
002E,39,2014,3,1,CHESNUT,380834,201150,1,1
002F,35,2010,999,2,INCHBROOK,384013,200739,3,2
002F,37,2012,999,2,INCHBROOK,384013,200739,1,2
002G,28,2003,17,1,OLDOAK,382624,201274,1,2
002G,30,2005,17,1,OLDOAK,382624,201274,3,2
002G,32,2007,18,1,NETTLE,383024,201142,2,2
002H,45,2020,12,1,TOP,381795,200962,1,2
002K,37,2012,7,1,BOXWOOD,381241,201774,2,2
002K,38,2013,7,1,BOXWOOD,381241,201774,1,2
002K,39,2014,7,1,BOXWOOD,381241,201774,1,2
002K,40,2015,7,1,BOXWOOD,381241,201774,2,2
002K,41,2016,7,1,BOXWOOD,381241,201774,1,2
002L,36,2011,999,2,WINDSOREDGE,383635,200531,1,2
002M,43,2018,999,2,INCHBROOK,384013,200739,1,2
002N,34,2009,11,1,YEW,381619,201268,1,1
002N,35,2010,12,1,TOP,381795,200962,2,1
002N,36,2011,15,1,POPLAR,382132,201047,1,1
002P,33,2008,4,1,MEAD,380390,200637,2,1
002P,34,2009,4,1,MEAD,380390,200637,2,1
002P,35,2010,4,1,ARTHURS,380534,200550,1,1
002P,37,2012,4,1,MEAD,380390,200637,1,1
002R,29,2004,2,1,BOX,380621,201409,1,2
002T,42,2017,18,1,HOLLOWTREE,382930,201326,1,2
002T,44,2019,18,1,NETTLE,383024,201142,1,2
002V,40,2015,7,1,BOXWOOD,381241,201774,2,2
002V,41,2016,7,1,BOXWOOD,381241,201774,1,2
002V,42,2017,6,1,CEDAR,381022,201589,1,2
002V,43,2018,6,1,CEDAR,381022,201589,2,2
002V,44,2019,6,1,CEDAR,381022,201589,1,2
002W,30,2005,999,2,PEN,382191,199820,1,2
002Y,32,2007,11,1,YEW,381619,201268,1,2
002Y,36,2011,12,1,TOP,381795,200962,1,2
002Z,44,2019,999,2,WINDSOREDGE,383635,200531,1,2
003A,39,2014,6,1,CEDAR,381022,201589,3,1
003A,40,2015,7,1,BOXWOOD,381241,201774,1,1
003A,41,2016,6,1,CEDAR,381022,201589,1,1
003A,43,2018,7,1,BULLPEN,381230,201693,1,1
003A,44,2019,7,1,BOXWOOD,381241,201774,1,1
003B,31,2006,2,1,BOX,380621,201409,2,1
003B,32,2007,2,1,BOX,380621,201409,2,1
003C,41,2016,5,1,JACKSMIREY,380678,200030,1,2
003E,38,2013,3,1,BEECH,380931,201164,1,1
003E,39,2014,3,1,BEECH,380931,201164,1,1
003F,35,2010,5,1,JACKSMIREY,380678,200030,1,2
003G,28,2003,999,2,FIELDFARM,380936,199687,3,1
003G,29,2004,999,2,FIELDFARM,380936,199687,2,1
003H,45,2020,12,1,TOP,381795,200962,1,2
003K,37,2012,3,1,CHESNUT,380834,201150,1,1
003L,36,2011,999,2,WINDSOREDGE,383635,200531,1,2
003M,43,2018,18,1,NETTLE,383024,201142,2,2
003N,34,2009,11,1,YEW,381619,201268,1,1
003N,35,2010,12,1,TOP,381795,200962,3,1
003N,36,2011,12,1,TOP,381795,200962,3,1
003N,37,2012,12,1,TOP,381795,200962,1,1
003P,33,2008,999,2,HEDGE,381350,200278,3,1
003R,29,2004,12,1,TOP,381795,200962,1,2
003T,42,2017,14,1,COLEPARK,382049,201493,1,2
003V,40,2015,18,1,NETTLE,383024,201142,4,2
003V,41,2016,18,1,NETTLE,383024,201142,2,2
003W,30,2005,999,2,HOGARTHS,382627,200053,1,2
003Y,32,2007,17,1,TOPOAK,382616,201525,1,2
003Z,44,2019,999,2,INCHBROOK,384013,200739,2,1
004A,39,2014,4,1,ARTHURS,380534,200550,2,1
004A,40,2015,4,1,MEAD,380390,200637,1,1
004A,41,2016,4,1,MEAD,380390,200637,1,1
004B,31,2006,2,1,BOX,380621,201409,2,1
004C,41,2016,999,2,WINDSOREDGE,383635,200531,3,1
004C,42,2017,999,2,WINDSOREDGE,383635,200531,2,1
004C,43,2018,999,2,WINDSOREDGE,383635,200531,1,1
004E,38,2013,12,1,TOP,381795,200962,2,1
004E,39,2014,12,1,TOP,381795,200962,1,1
004G,28,2003,999,2,HEDGE,381350,200278,1,1
004K,37,2012,4,1,JUNCTION,380841,200432,2,2
004L,36,2011,999,2,INCHBROOK,384013,200739,2,2
004M,43,2018,4,1,ARTHURS,380534,200550,1,1
004M,44,2019,4,1,ARTHURS,380534,200550,1,1
004N,34,2009,4,1,JUNCTION,380841,200432,1,1
004P,33,2008,5,1,JACKSMIREY,380678,200030,1,2
004P,34,2009,5,1,JACKSMIREY,380678,200030,1,2
004R,29,2004,20,1,PARKMILL,383730,200924,1,2
004R,30,2005,20,1,PARKMILL,383730,200924,1,2
004T,42,2017,20,1,PARKMILL,383730,200924,1,2
004V,40,2015,8,1,HONEYWELL,381931,201706,1,2
004W,30,2005,4,1,THISTLEWOODBANK,381109,200408,2,1
