SG_id,n_cells,area_m2,area_ha,area_km2,n_neighbours,boundary_to_peripheral_m,boundary_to_lake_m
1,225,562500,56.25,0.5625,4,2050,0
2,38,95000,9.5,0.095,3,400,0
3,34,85000,8.5,0.085,4,0,0
4,203,507500,50.75,0.5075,5,2000,0
5,20,50000,5,0.05,1,1050,0
6,81,202500,20.25,0.2025,5,550,0
7,98,245000,24.5,0.245,4,1450,50
8,151,377500,37.75,0.3775,3,1500,100
9,88,220000,22,0.22,6,0,0
10,34,85000,8.5,0.085,5,0,50
11,89,222500,22.25,0.2225,6,0,0
12,109,272500,27.25,0.2725,3,800,0
13,49,122500,12.25,0.1225,6,0,1550
14,63,157500,15.75,0.1575,4,350,50
15,173,432500,43.25,0.4325,7,300,1250
16,103,257500,25.75,0.2575,3,1000,0
17,73,182500,18.25,0.1825,4,450,0
18,104,260000,26,0.26,3,1450,0
19,70,175000,17.5,0.175,6,0,1400
20,64,160000,16,0.16,3,1150,100
21,99,247500,24.75,0.2475,4,800,50
22,78,195000,19.5,0.195,1,1300,0
