draw,v7a_total_transitions,v7a_susceptible_origins,v7a_infected_origins,v7a_prop_origins_infected,v7a_badgers_with_infected_origin,v7b_risk_quarters,v7b_badgers_at_risk,v7b_infection_events
1,4382,3830,552,0.1259698767685988,244,13728,1139,151
2,4382,3828,554,0.1264262893655865,250,13748,1146,173
3,4382,3823,559,0.1275673208580557,255,13727,1140,173
4,4382,3809,573,0.13076220903696942,252,13672,1141,183
5,4382,3827,555,0.12665449566408032,255,13737,1146,181
6,4382,3851,531,0.1211775445002282,250,13829,1155,180
7,4382,3844,538,0.12277498858968508,242,13779,1152,174
8,4382,3825,557,0.127110908261068,247,13714,1146,167
9,4382,3838,544,0.1241442263806481,247,13757,1147,165
10,4382,3832,550,0.12551346417161113,245,13741,1149,173
11,4382,3858,524,0.11958010041077134,243,13857,1148,173
12,4382,3813,569,0.12984938384299408,256,13692,1141,162
13,4382,3828,554,0.1264262893655865,244,13727,1145,171
14,4382,3808,574,0.13099041533546327,248,13653,1140,174
15,4382,3819,563,0.12848014605203104,250,13668,1151,179
16,4382,3809,573,0.13076220903696942,259,13671,1143,174
17,4382,3817,565,0.1289365586490187,257,13705,1146,174
18,4382,3840,542,0.12368781378366044,249,13774,1151,169
19,4382,3841,541,0.12345960748516659,247,13791,1146,176
20,4382,3823,559,0.1275673208580557,249,13697,1148,182
21,4382,3823,559,0.1275673208580557,252,13722,1140,164
22,4382,3824,558,0.12733911455956184,243,13707,1141,158
23,4382,3802,580,0.13235965312642628,254,13640,1143,166
24,4382,3838,544,0.1241442263806481,243,13751,1149,165
25,4382,3839,543,0.12391602008215427,242,13768,1147,172
26,4382,3800,582,0.13281606572341398,253,13623,1145,184
27,4382,3837,545,0.12437243267914194,251,13763,1149,172
28,4382,3822,560,0.12779552715654952,252,13679,1146,178
29,4382,3846,536,0.1223185759926974,241,13779,1147,168
30,4382,3820,562,0.1282519397535372,253,13696,1147,169
31,4382,3826,556,0.12688270196257417,245,13684,1149,182
32,4382,3822,560,0.12779552715654952,249,13716,1143,170
33,4382,3834,548,0.12505705157462346,239,13734,1150,166
34,4382,3806,576,0.13144682793245094,264,13634,1140,171
35,4382,3828,554,0.1264262893655865,246,13725,1144,162
36,4382,3812,570,0.1300775901414879,249,13688,1143,168
37,4382,3794,588,0.134185303514377,251,13592,1138,184
38,4382,3829,553,0.12619808306709265,251,13739,1142,158
39,4382,3798,584,0.13327247832040165,259,13662,1134,157
40,4382,3827,555,0.12665449566408032,251,13714,1145,171
41,4382,3832,550,0.12551346417161113,245,13758,1146,174
42,4382,3826,556,0.12688270196257417,249,13729,1147,169
43,4382,3822,560,0.12779552715654952,244,13699,1145,167
44,4382,3834,548,0.12505705157462346,239,13750,1151,175
45,4382,3821,561,0.12802373345504336,251,13709,1145,172
46,4382,3798,584,0.13327247832040165,252,13644,1144,170
47,4382,3830,552,0.1259698767685988,249,13752,1139,162
48,4382,3834,548,0.12505705157462346,247,13752,1149,178
49,4382,3812,570,0.1300775901414879,254,13663,1138,163
50,4382,3821,561,0.12802373345504336,255,13681,1140,180
51,4382,3808,574,0.13099041533546327,257,13658,1142,175
52,4382,3813,569,0.12984938384299408,246,13660,1151,171
53,4382,3814,568,0.12962117754450023,252,13665,1141,169
54,4382,3854,528,0.1204929256047467,247,13834,1148,172
55,4382,3818,564,0.12870835235052488,244,13689,1134,157
56,4382,3810,572,0.13053400273847557,254,13656,1139,169
57,4382,3827,555,0.12665449566408032,249,13726,1144,180
58,4382,3807,575,0.1312186216339571,257,13662,1142,167
59,4382,3822,560,0.12779552715654952,242,13696,1144,162
60,4382,3814,568,0.12962117754450023,252,13672,1139,166
61,4382,3815,567,0.12939297124600638,252,13670,1143,176
62,4382,3817,565,0.1289365586490187,242,13679,1143,165
63,4382,3843,539,0.12300319488817892,245,13788,1147,171
64,4382,3809,573,0.13076220903696942,260,13680,1137,165
65,4382,3819,563,0.12848014605203104,259,13720,1133,169
66,4382,3801,581,0.13258785942492013,259,13620,1142,178
67,4382,3827,555,0.12665449566408032,239,13709,1149,174
68,4382,3840,542,0.12368781378366044,248,13776,1145,173
69,4382,3817,565,0.1289365586490187,248,13687,1142,173
70,4382,3835,547,0.12482884527612963,244,13776,1144,167
71,4382,3800,582,0.13281606572341398,264,13635,1145,188
72,4382,3814,568,0.12962117754450023,254,13681,1140,172
73,4382,3819,563,0.12848014605203104,254,13711,1142,175
74,4382,3822,560,0.12779552715654952,250,13689,1146,173
75,4382,3806,576,0.13144682793245094,259,13627,1152,185
76,4382,3822,560,0.12779552715654952,255,13714,1136,165
77,4382,3787,595,0.13578274760383385,256,13574,1144,169
78,4382,3816,566,0.12916476494751256,248,13715,1140,163
79,4382,3846,536,0.1223185759926974,249,13812,1136,157
80,4382,3842,540,0.12323140118667275,247,13751,1155,185
81,4382,3794,588,0.134185303514377,253,13606,1142,177
82,4382,3845,537,0.12254678229119123,247,13788,1140,172
83,4382,3823,559,0.1275673208580557,247,13713,1143,160
84,4382,3838,544,0.1241442263806481,251,13803,1140,165
85,4382,3824,558,0.12733911455956184,246,13699,1147,164
86,4382,3799,583,0.1330442720219078,254,13623,1136,171
87,4382,3832,550,0.12551346417161113,243,13710,1153,178
88,4382,3849,533,0.12163395709721589,233,13789,1150,176
89,4382,3824,558,0.12733911455956184,254,13711,1144,167
90,4382,3824,558,0.12733911455956184,251,13731,1142,170
91,4382,3816,566,0.12916476494751256,251,13697,1141,169
92,4382,3814,568,0.12962117754450023,255,13677,1139,176
93,4382,3825,557,0.127110908261068,245,13717,1148,170
94,4382,3809,573,0.13076220903696942,260,13656,1142,178
95,4382,3818,564,0.12870835235052488,244,13676,1146,166
96,4382,3832,550,0.12551346417161113,242,13750,1146,178
97,4382,3829,553,0.12619808306709265,248,13705,1148,179
98,4382,3833,549,0.1252852578731173,247,13740,1152,171
99,4382,3798,584,0.13327247832040165,260,13607,1141,182
100,4382,3824,558,0.12733911455956184,252,13750,1141,168
101,4382,3814,568,0.12962117754450023,260,13688,1141,171
102,4382,3848,534,0.12186216339570972,246,13811,1142,168
103,4382,3834,548,0.12505705157462346,248,13745,1141,173
104,4382,3828,554,0.1264262893655865,244,13728,1149,172
105,4382,3818,564,0.12870835235052488,256,13704,1143,164
106,4382,3835,547,0.12482884527612963,251,13759,1144,184
107,4382,3830,552,0.1259698767685988,252,13743,1143,169
108,4382,3822,560,0.12779552715654952,251,13697,1148,178
109,4382,3810,572,0.13053400273847557,247,13680,1144,159
110,4382,3836,546,0.12460063897763578,245,13748,1144,174
111,4382,3824,558,0.12733911455956184,252,13718,1148,171
112,4382,3829,553,0.12619808306709265,249,13727,1148,168
113,4382,3828,554,0.1264262893655865,245,13752,1136,157
114,4382,3847,535,0.12209036969420356,242,13812,1137,167
115,4382,3837,545,0.12437243267914194,249,13747,1149,173
116,4382,3819,563,0.12848014605203104,252,13683,1138,164
117,4382,3822,560,0.12779552715654952,254,13697,1141,173
118,4382,3832,550,0.12551346417161113,246,13746,1142,159
119,4382,3829,553,0.12619808306709265,245,13767,1145,156
120,4382,3818,564,0.12870835235052488,249,13706,1144,172
121,4382,3825,557,0.127110908261068,249,13682,1150,178
122,4382,3843,539,0.12300319488817892,236,13778,1152,169
123,4382,3796,586,0.13372889091738932,261,13633,1134,164
124,4382,3815,567,0.12939297124600638,247,13655,1146,188
125,4382,3857,525,0.11980830670926518,237,13825,1152,172
126,4382,3811,571,0.13030579643998175,250,13678,1135,155
127,4382,3811,571,0.13030579643998175,250,13675,1141,174
128,4382,3810,572,0.13053400273847557,256,13658,1140,170
129,4382,3837,545,0.12437243267914194,240,13757,1150,168
130,4382,3854,528,0.1204929256047467,231,13806,1153,171
131,4382,3824,558,0.12733911455956184,249,13713,1140,163
132,4382,3837,545,0.12437243267914194,240,13763,1143,165
133,4382,3826,556,0.12688270196257417,256,13730,1139,158
134,4382,3828,554,0.1264262893655865,248,13721,1146,169
135,4382,3851,531,0.1211775445002282,231,13802,1153,170
136,4382,3838,544,0.1241442263806481,244,13775,1151,181
