v7b_interval_id,samegroup,r500,r1000,r2000,exp500,exp1000
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA
4,0.076,0.3861428571428571,0.46635,0.39715555555555554,0.38540140299239256,0.40822866673281455
5,0.5276,0.5468,0.4315833333333333,0.2766315789473684,0.4499763987396013,0.38990594556451325
6,0.13444444444444445,0.32866666666666666,0.31864285714285717,0.2648985507246377,0.27511242717791035,0.3026299792090529
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,0.69,0.13466666666666666,0.2433061224489796,0.30469565217391303,0.2718823082995131,0.2720959943950977
10,0.752,0.45133333333333336,0.2878076923076923,0.36519999999999997,0.3526531305442686,0.3450089313433808
11,0.15228571428571427,0.1600689655172414,0.29392857142857143,0.3828067226890756,0.28347586882380565,0.3284632588372073
12,0.488,0.33066666666666666,0.25623529411764706,0.1551764705882353,0.24141838665148932,0.19416483951293756
13,NA,0.088,0.13545454545454547,0.19364516129032258,0.14737678928512166,0.17397605641123426
14,0.471,0.48675,0.42984,0.3455416666666667,0.41020504739086705,0.37187079585534694
15,NA,NA,NA,NA,NA,NA
16,0.16899999999999998,0.2116,0.21044444444444443,0.2886470588235294,0.21457269032455933,0.23798088677495413
17,0.12266666666666666,0.07768421052631579,0.13827906976744186,0.1819493670886076,0.13685596551424536,0.16674269221496119
18,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA
20,0.034800000000000005,0.10653333333333333,0.14094117647058824,0.13798765432098764,0.13612416779796274,0.14327986351956698
21,NA,NA,NA,NA,NA,NA
22,0.207,0.4422857142857143,0.486,0.4058888888888889,0.42737787778656416,0.4292427127120941
23,0.52225,0.5003157894736842,0.5566285714285714,0.447875,0.5042296407510998,0.4711729718440007
24,0,0.3625,0.3678571428571428,0.3481224489795918,0.3578028151546093,0.34597307838727426
25,0.0125,0.154,0.13482926829268294,0.25084210526315787,0.17885481399381173,0.20320070869174348
26,0.6442857142857142,0.2528888888888889,0.26095238095238094,0.3227741935483871,0.31387195369628335,0.3011025645760915
27,0.3782666666666667,0.2210769230769231,0.2755294117647059,0.24678688524590164,0.30393792895996213,0.2724878216535878
