tattoo,year,n_year_encounters,n_distinct_setts,n_distinct_socg,annual_socg,annual_sett,annual_x,annual_y,annual_sett_n_encounters,annual_sett_latest_date,has_annual_xy,in_infection_model,in_phase2
001A,2014,1,1,1,CEDAR,CEDAR,381022,201589,1,2014-05-20,TRUE,TRUE,FALSE
001B,2006,2,2,1,PARKMILL,SCOTLANDBANK,383412,200931,1,2006-05-24,TRUE,TRUE,TRUE
001B,2009,1,1,1,PARKMILL,PARKMILL,383730,200924,1,2009-05-05,TRUE,TRUE,TRUE
001C,2016,1,1,1,HONEYWELL,CHAIN,381946,201669,1,2016-01-26,TRUE,TRUE,FALSE
001D,2022,1,1,1,ARTHURS,MEAD,380390,200637,1,2022-05-25,TRUE,TRUE,FALSE
001E,2013,1,1,1,WEST,WEST,380190,201400,1,2013-05-21,TRUE,TRUE,TRUE
001E,2015,1,1,1,WEST,WEST,380190,201400,1,2015-07-15,TRUE,TRUE,TRUE
001E,2016,1,1,1,WEST,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
001F,2010,3,1,1,COLLIERSWOOD,COLLIERSWOOD,382931,200706,3,2010-09-21,TRUE,TRUE,FALSE
001G,2003,1,1,1,FIELDFARM,FIELDFARM,380936,199687,1,2003-01-08,TRUE,TRUE,FALSE
001H,2020,2,2,1,TOP,TOP,381795,200962,1,2020-01-21,TRUE,TRUE,FALSE
001J,2023,3,2,1,CEDAR,CEDAR,381022,201589,2,2023-07-18,TRUE,TRUE,FALSE
001K,2012,2,1,1,BREAKHEART,BOXWOOD,381241,201774,2,2012-06-27,TRUE,TRUE,TRUE
001K,2013,1,1,1,BREAKHEART,BOXWOOD,381241,201774,1,2013-08-13,TRUE,TRUE,TRUE
001K,2014,1,1,1,YEW,YEW,381619,201268,1,2014-06-03,TRUE,TRUE,TRUE
001L,2011,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2011-01-25,TRUE,TRUE,TRUE
001L,2012,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2012-06-26,TRUE,TRUE,TRUE
001L,2013,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2013-08-13,TRUE,TRUE,TRUE
001L,2014,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2014-09-10,TRUE,TRUE,TRUE
001M,2018,1,1,1,JACKSMIREY,JACKSMIREY,380678,200030,1,2018-01-09,TRUE,TRUE,FALSE
001N,2009,2,2,1,CEDAR,CEDAR,381022,201589,1,2009-01-27,TRUE,TRUE,FALSE
001P,2008,3,2,2,OLDOAK,OLDOAK,382624,201274,2,2008-06-03,TRUE,TRUE,TRUE
001P,2011,1,1,1,NETTLE,NETTLE,383024,201142,1,2011-10-04,TRUE,TRUE,TRUE
001P,2012,2,2,2,NETTLE,NETTLE,383024,201142,1,2012-10-16,TRUE,TRUE,TRUE
001P,2013,2,2,2,OLDOAK,OLDOAK,382624,201274,1,2013-10-23,TRUE,TRUE,TRUE
001P,2014,1,1,1,OLDOAK,OLDOAK,382624,201274,1,2014-06-24,TRUE,TRUE,TRUE
001Q,2024,2,1,1,WEST,CARPARK,379814,201477,2,2024-08-06,TRUE,TRUE,FALSE
001Q,2026,1,1,1,WEST,WEST,380190,201400,1,2026-05-12,TRUE,TRUE,FALSE
001R,2004,2,2,1,WEST,WEST,380190,201400,1,2004-01-13,TRUE,TRUE,FALSE
001S,2021,3,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,3,2021-08-24,TRUE,TRUE,FALSE
001S,2022,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
001T,2017,1,1,1,TRACKSIDE,TRACKSIDE,382281,201327,1,2017-01-24,TRUE,TRUE,FALSE
