individual_id,tattoo,year,quarter,q_index,n_capture_rows,p_min,p_max,p_mean,p_range
1,001A,2014,2,8057,1,0.008363962,0.008363962,0.008363962,0
2,001B,2006,1,8024,1,2.16e-4,2.16e-4,2.16e-4,0
2,001B,2006,2,8025,1,5.8e-4,5.8e-4,5.8e-4,0
2,001B,2009,2,8037,1,0.014018878,0.014018878,0.014018878,0
3,001C,2016,1,8064,1,0.010430666,0.010430666,0.010430666,0
4,001D,2022,2,8089,1,0.002480628,0.002480628,0.002480628,0
5,001E,2013,2,8053,1,0.339180137,0.339180137,0.339180137,0
5,001E,2015,3,8062,1,0.349295901,0.349295901,0.349295901,0
6,001F,2010,1,8040,1,0.100270221,0.100270221,0.100270221,0
6,001F,2010,2,8041,1,0.883955367,0.883955367,0.883955367,0
6,001F,2010,3,8042,1,0.92341148,0.92341148,0.92341148,0
7,001G,2003,1,8012,1,0.013312603,0.013312603,0.013312603,0
8,001H,2020,1,8080,1,0.002918063,0.002918063,0.002918063,0
9,001J,2023,2,8093,1,0.691146789,0.691146789,0.691146789,0
9,001J,2023,3,8094,1,0.722826835,0.722826835,0.722826835,0
10,001K,2012,1,8048,1,0.006737782,0.006737782,0.006737782,0
10,001K,2012,2,8049,1,0.025578636,0.025578636,0.025578636,0
10,001K,2013,3,8054,1,0.756420212,0.756420212,0.756420212,0
10,001K,2014,2,8057,1,0.92617927,0.92617927,0.92617927,0
11,001L,2011,1,8044,1,0.852377578,0.852377578,0.852377578,0
11,001L,2012,2,8049,1,0.921263944,0.921263944,0.921263944,0
11,001L,2013,3,8054,1,0.947627218,0.947627218,0.947627218,0
11,001L,2014,3,8058,1,0.955416489,0.955416489,0.955416489,0
12,001M,2018,1,8072,1,0.030277476,0.030277476,0.030277476,0
13,001N,2009,1,8036,1,0.593482322,0.593482322,0.593482322,0
14,001P,2008,1,8032,1,3.44e-4,3.44e-4,3.44e-4,0
14,001P,2008,2,8033,1,4.95e-4,4.95e-4,4.95e-4,0
14,001P,2008,3,8034,1,0.00306107,0.00306107,0.00306107,0
14,001P,2011,4,8047,1,0.849581015,0.849581015,0.849581015,0
14,001P,2012,3,8050,1,0.998135385,0.998135385,0.998135385,0
14,001P,2012,4,8051,1,0.998773147,0.998773147,0.998773147,0
14,001P,2013,2,8053,1,0.999981373,0.999981373,0.999981373,0
14,001P,2013,4,8055,1,0.999999342,0.999999342,0.999999342,0
14,001P,2014,2,8057,1,1,1,1,0
15,001Q,2024,2,8097,1,0.001309665,0.001309665,0.001309665,0
15,001Q,2024,3,8098,1,0.007214738,0.007214738,0.007214738,0
16,001R,2004,1,8016,2,0.003247228,0.003247228,0.003247228,0
17,001S,2021,1,8084,1,4.44e-5,4.44e-5,4.44e-5,0
17,001S,2021,2,8085,1,3.1e-4,3.1e-4,3.1e-4,0
17,001S,2021,3,8086,1,0.001632492,0.001632492,0.001632492,0
18,001T,2017,1,8068,1,0.008317102,0.008317102,0.008317102,0
20,001V,2015,1,8060,1,0.006208396,0.006208396,0.006208396,0
21,001W,2005,1,8020,1,0.568808651,0.568808651,0.568808651,0
21,001W,2005,2,8021,1,0.619923968,0.619923968,0.619923968,0
22,001X,2025,2,8101,1,0.151748379,0.151748379,0.151748379,0
