individual_id,tattoo,first_q,last_q,first_year,first_quarter,last_year,last_quarter,observed_quarters,expected_quarters,missing_quarters
1,001A,8057,8057,2014,2,2014,2,1,1,0
2,001B,8024,8037,2006,1,2009,2,3,14,11
3,001C,8064,8064,2016,1,2016,1,1,1,0
4,001D,8089,8089,2022,2,2022,2,1,1,0
5,001E,8053,8062,2013,2,2015,3,2,10,8
6,001F,8040,8042,2010,1,2010,3,3,3,0
7,001G,8012,8012,2003,1,2003,1,1,1,0
8,001H,8080,8080,2020,1,2020,1,1,1,0
9,001J,8093,8094,2023,2,2023,3,2,2,0
10,001K,8048,8057,2012,1,2014,2,4,10,6
11,001L,8044,8058,2011,1,2014,3,4,15,11
12,001M,8072,8072,2018,1,2018,1,1,1,0
13,001N,8036,8036,2009,1,2009,1,1,1,0
14,001P,8032,8057,2008,1,2014,2,9,26,17
15,001Q,8097,8098,2024,2,2024,3,2,2,0
16,001R,8016,8016,2004,1,2004,1,1,1,0
17,001S,8084,8086,2021,1,2021,3,3,3,0
18,001T,8068,8068,2017,1,2017,1,1,1,0
20,001V,8060,8060,2015,1,2015,1,1,1,0
21,001W,8020,8021,2005,1,2005,2,2,2,0
22,001X,8101,8101,2025,2,2025,2,1,1,0
23,001Y,8028,8028,2007,1,2007,1,1,1,0
24,001Z,8077,8089,2019,2,2022,2,8,13,5
25,002A,8057,8073,2014,2,2018,2,8,17,9
26,002B,8025,8033,2006,2,2008,2,5,9,4
27,002C,8064,8067,2016,1,2016,4,4,4,0
28,002D,8089,8089,2022,2,2022,2,1,1,0
29,002E,8053,8058,2013,2,2014,3,3,6,3
30,002F,8040,8049,2010,1,2012,2,4,10,6
31,002G,8012,8030,2003,1,2007,3,6,19,13
32,002H,8080,8080,2020,1,2020,1,1,1,0
33,002J,8093,8094,2023,2,2023,3,2,2,0
34,002K,8048,8068,2012,1,2017,1,11,21,10
35,002L,8044,8044,2011,1,2011,1,1,1,0
36,002M,8072,8072,2018,1,2018,1,1,1,0
37,002N,8037,8046,2009,2,2011,3,7,10,3
38,002P,8033,8049,2008,2,2012,2,7,17,10
39,002Q,8097,8101,2024,2,2025,2,3,5,2
40,002R,8016,8016,2004,1,2004,1,1,1,0
41,002S,8084,8086,2021,1,2021,3,2,3,1
42,002T,8068,8079,2017,1,2019,4,3,12,9
44,002V,8060,8082,2015,1,2020,3,12,23,11
45,002W,8021,8021,2005,2,2005,2,1,1,0
46,002X,8101,8101,2025,2,2025,2,1,1,0
47,002Y,8028,8045,2007,1,2011,2,3,18,15
48,002Z,8077,8077,2019,2,2019,2,1,1,0
49,003A,8057,8077,2014,2,2019,2,9,21,12
50,003B,8025,8030,2006,2,2007,3,5,6,1
51,003C,8065,8066,2016,2,2016,3,2,2,0
52,003D,8089,8093,2022,2,2023,2,3,5,2
53,003E,8053,8058,2013,2,2014,3,4,6,2
54,003F,8041,8041,2010,2,2010,2,1,1,0
55,003G,8013,8017,2003,2,2004,2,5,5,0
56,003H,8080,8080,2020,1,2020,1,1,1,0
57,003J,8093,8093,2023,2,2023,2,1,1,0
58,003K,8049,8049,2012,2,2012,2,1,1,0
59,003L,8044,8044,2011,1,2011,1,1,1,0
60,003M,8072,8074,2018,1,2018,3,2,3,1
61,003N,8037,8049,2009,2,2012,2,9,13,4
62,003P,8033,8035,2008,2,2008,4,3,3,0
63,003Q,8097,8097,2024,2,2024,2,1,1,0
64,003R,8016,8016,2004,1,2004,1,1,1,0
65,003S,8084,8089,2021,1,2022,2,3,6,3
66,003T,8068,8068,2017,1,2017,1,1,1,0
68,003V,8060,8066,2015,1,2016,3,6,7,1
69,003W,8021,8021,2005,2,2005,2,1,1,0
70,003X,8101,8102,2025,2,2025,3,2,2,0
71,003Y,8028,8028,2007,1,2007,1,1,1,0
72,003Z,8077,8078,2019,2,2019,3,2,2,0
73,004A,8057,8065,2014,2,2016,2,4,9,5
74,004B,8025,8027,2006,2,2006,4,3,3,0
75,004C,8065,8074,2016,2,2018,3,6,10,4
76,004D,8089,8091,2022,2,2022,4,3,3,0
77,004E,8053,8057,2013,2,2014,2,5,5,0
78,004F,8041,8042,2010,2,2010,3,2,2,0
79,004G,8013,8013,2003,2,2003,2,1,1,0
80,004H,8082,8082,2020,3,2020,3,1,1,0
81,004J,8093,8093,2023,2,2023,2,1,1,0
82,004K,8049,8050,2012,2,2012,3,2,2,0
83,004L,8044,8045,2011,1,2011,2,2,2,0
84,004M,8073,8078,2018,2,2019,3,2,6,4
85,004N,8037,8037,2009,2,2009,2,1,1,0
86,004P,8033,8037,2008,2,2009,2,2,5,3
87,004Q,8097,8101,2024,2,2025,2,4,5,1
88,004R,8016,8021,2004,1,2005,2,2,6,4
89,004S,8085,8089,2021,2,2022,2,4,5,1
90,004T,8068,8068,2017,1,2017,1,1,1,0
92,004V,8060,8060,2015,1,2015,1,1,1,0
93,004W,8021,8030,2005,2,2007,3,7,10,3
94,004X,8102,8103,2025,3,2025,4,2,2,0
95,004Y,8029,8029,2007,2,2007,2,1,1,0
96,004Z,8077,8082,2019,2,2020,3,4,6,2
97,005A,8057,8062,2014,2,2015,3,4,6,2
98,005B,8025,8029,2006,2,2007,2,4,5,1
99,005C,8065,8074,2016,2,2018,3,4,10,6
100,005D,8089,8095,2022,2,2023,4,4,7,3
101,005E,8053,8055,2013,2,2013,4,3,3,0
102,005F,8041,8041,2010,2,2010,2,1,1,0
103,005G,8013,8013,2003,2,2003,2,1,1,0
104,005H,8082,8086,2020,3,2021,3,4,5,1
105,005J,8094,8097,2023,3,2024,2,2,4,2
106,005K,8049,8049,2012,2,2012,2,1,1,0
107,005L,8045,8058,2011,2,2014,3,12,14,2
108,005M,8073,8078,2018,2,2019,3,2,6,4
109,005N,8037,8045,2009,2,2011,2,7,9,2
110,005P,8033,8042,2008,2,2010,3,2,10,8
111,005Q,8097,8097,2024,2,2024,2,1,1,0
112,005R,8016,8016,2004,1,2004,1,1,1,0
113,005S,8085,8087,2021,2,2021,4,3,3,0
114,005T,8069,8078,2017,2,2019,3,10,10,0
116,005V,8060,8062,2015,1,2015,3,3,3,0
117,005W,8021,8025,2005,2,2006,2,4,5,1
118,005X,8102,8103,2025,3,2025,4,2,2,0
119,005Y,8029,8029,2007,2,2007,2,1,1,0
120,005Z,8077,8079,2019,2,2019,4,3,3,0
121,006A,8057,8070,2014,2,2017,3,6,14,8
122,006B,8025,8025,2006,2,2006,2,1,1,0
123,006C,8065,8075,2016,2,2018,4,7,11,4
124,006D,8089,8089,2022,2,2022,2,1,1,0
125,006E,8053,8058,2013,2,2014,3,5,6,1
126,006F,8041,8041,2010,2,2010,2,1,1,0
127,006G,8013,8017,2003,2,2004,2,3,5,2
128,006H,8082,8082,2020,3,2020,3,1,1,0
129,006J,8094,8094,2023,3,2023,3,1,1,0
130,006K,8049,8050,2012,2,2012,3,2,2,0
131,006L,8046,8057,2011,3,2014,2,7,12,5
132,006M,8073,8078,2018,2,2019,3,3,6,3
133,006N,8037,8037,2009,2,2009,2,1,1,0
134,006P,8033,8035,2008,2,2008,4,3,3,0
135,006Q,8097,8103,2024,2,2025,4,6,7,1
136,006R,8017,8017,2004,2,2004,2,1,1,0
137,006S,8085,8087,2021,2,2021,4,3,3,0
138,006T,8069,8074,2017,2,2018,3,6,6,0
140,006V,8060,8060,2015,1,2015,1,1,1,0
141,006W,8021,8021,2005,2,2005,2,1,1,0
142,006X,8102,8103,2025,3,2025,4,2,2,0
143,006Y,8029,8033,2007,2,2008,2,4,5,1
144,006Z,8077,8078,2019,2,2019,3,2,2,0
145,007A,8057,8065,2014,2,2016,2,4,9,5
146,007B,8025,8027,2006,2,2006,4,3,3,0
147,007C,8065,8071,2016,2,2017,4,6,7,1
148,007D,8090,8094,2022,3,2023,3,4,5,1
149,007E,8053,8054,2013,2,2013,3,2,2,0
150,007F,8041,8058,2010,2,2014,3,4,18,14
151,007G,8013,8026,2003,2,2006,3,6,14,8
152,007H,8082,8082,2020,3,2020,3,1,1,0
153,007J,8094,8094,2023,3,2023,3,1,1,0
154,007K,8049,8049,2012,2,2012,2,1,1,0
155,007L,8046,8047,2011,3,2011,4,2,2,0
156,007M,8073,8085,2018,2,2021,2,6,13,7
157,007N,8037,8038,2009,2,2009,3,2,2,0
158,007P,8033,8035,2008,2,2008,4,2,3,1
159,007Q,8097,8099,2024,2,2024,4,3,3,0
160,007R,8017,8017,2004,2,2004,2,1,1,0
161,007S,8085,8086,2021,2,2021,3,2,2,0
162,007T,8069,8073,2017,2,2018,2,3,5,2
164,007V,8061,8061,2015,2,2015,2,1,1,0
165,007W,8021,8022,2005,2,2005,3,2,2,0
166,007X,8102,8102,2025,3,2025,3,1,1,0
167,007Y,8029,8034,2007,2,2008,3,5,6,1
168,007Z,8077,8078,2019,2,2019,3,2,2,0
169,008A,8057,8063,2014,2,2015,4,7,7,0
170,008B,8025,8045,2006,2,2011,2,8,21,13
