individual_id,tattoo,year,quarter,q_index,p_infected,n_capture_rows,first_capture_date,last_capture_date,previous_q,gap_quarters
2,001B,2009,2,8037,0.014018878,1,2009-05-05,2009-05-05,8025,11
5,001E,2015,3,8062,0.349295901,1,2015-07-15,2015-07-15,8053,8
10,001K,2013,3,8054,0.756420212,1,2013-08-13,2013-08-13,8049,4
10,001K,2014,2,8057,0.92617927,1,2014-06-03,2014-06-03,8054,2
11,001L,2012,2,8049,0.921263944,1,2012-06-26,2012-06-26,8044,4
11,001L,2013,3,8054,0.947627218,1,2013-08-13,2013-08-13,8049,4
11,001L,2014,3,8058,0.955416489,1,2014-09-10,2014-09-10,8054,3
14,001P,2011,4,8047,0.849581015,1,2011-10-04,2011-10-04,8034,12
14,001P,2012,3,8050,0.998135385,1,2012-08-14,2012-08-14,8047,2
14,001P,2013,2,8053,0.999981373,1,2013-06-05,2013-06-05,8051,1
14,001P,2013,4,8055,0.999999342,1,2013-10-23,2013-10-23,8053,1
14,001P,2014,2,8057,1,1,2014-06-24,2014-06-24,8055,1
24,001Z,2020,3,8082,3.49e-5,1,2020-08-18,2020-08-18,8079,2
24,001Z,2021,3,8086,1.61e-4,1,2021-08-11,2021-08-11,8083,2
24,001Z,2022,2,8089,0.003866141,1,2022-06-15,2022-06-15,8087,1
25,002A,2015,2,8061,1,1,2015-05-20,2015-05-20,8059,1
25,002A,2017,3,8070,1,1,2017-09-05,2017-09-05,8063,6
25,002A,2018,2,8073,1,1,2018-06-26,2018-06-26,8070,2
26,002B,2007,2,8029,0.033990483,1,2007-05-08,2007-05-08,8027,1
26,002B,2008,2,8033,0.037998159,1,2008-05-07,2008-05-07,8029,3
29,002E,2014,3,8058,1,1,2014-08-12,2014-08-12,8054,3
30,002F,2010,4,8043,0.034040066,1,2010-11-30,2010-11-30,8041,1
30,002F,2012,2,8049,1,1,2012-06-27,2012-06-27,8043,5
31,002G,2005,1,8020,9.52e-6,1,2005-02-01,2005-02-01,8012,7
31,002G,2005,3,8022,1.99e-5,1,2005-08-16,2005-08-16,8020,1
31,002G,2007,2,8029,5.66e-4,1,2007-06-06,2007-06-06,8023,5
34,002K,2013,2,8053,6.39e-4,1,2013-06-18,2013-06-18,8049,3
34,002K,2014,1,8056,0.004733719,1,2014-01-28,2014-01-28,8053,2
34,002K,2014,4,8059,0.050243278,1,2014-11-04,2014-11-04,8056,2
34,002K,2016,2,8065,0.055255225,1,2016-06-28,2016-06-28,8062,2
34,002K,2016,4,8067,0.055827219,1,2016-10-19,2016-10-19,8065,1
37,002N,2009,4,8039,1.15e-4,1,2009-10-27,2009-10-27,8037,1
37,002N,2010,2,8041,0.004761573,1,2010-05-24,2010-05-24,8039,1
37,002N,2011,1,8044,0.013397704,1,2011-01-11,2011-01-11,8042,1
38,002P,2009,2,8037,0.003248358,1,2009-06-02,2009-06-02,8035,1
38,002P,2010,2,8041,0.01048867,1,2010-05-11,2010-05-11,8038,2
38,002P,2012,2,8049,0.402012341,1,2012-05-30,2012-05-30,8041,7
39,002Q,2025,2,8101,0.004960917,1,2025-05-20,2025-05-20,8098,2
41,002S,2021,3,8086,0.003680884,1,2021-08-24,2021-08-24,8084,1
42,002T,2017,3,8070,0.38657237,1,2017-07-11,2017-07-11,8068,1
42,002T,2019,4,8079,0.770701422,1,2019-10-02,2019-10-02,8070,8
44,002V,2016,1,8064,1.42e-9,1,2016-01-26,2016-01-26,8062,1
44,002V,2017,2,8069,2.78e-8,1,2017-06-13,2017-06-13,8064,4
44,002V,2018,2,8073,1.44e-7,1,2018-05-23,2018-05-23,8069,3
44,002V,2019,2,8077,1.76e-4,1,2019-05-21,2019-05-21,8075,1
44,002V,2020,3,8082,0.087811147,1,2020-08-18,2020-08-18,8079,2
47,002Y,2011,2,8045,0.046529596,1,2011-05-18,2011-05-18,8029,15
49,003A,2015,2,8061,4.44e-11,2,2015-05-20,2015-06-24,8059,1
49,003A,2016,3,8066,2.18e-4,1,2016-07-13,2016-07-13,8063,2
49,003A,2018,2,8073,0.002849877,1,2018-06-26,2018-06-26,8066,6
49,003A,2019,2,8077,0.010816433,1,2019-05-21,2019-05-21,8073,3
50,003B,2007,2,8029,1,1,2007-05-09,2007-05-09,8027,1
52,003D,2022,4,8091,4.38e-5,2,2022-10-04,2022-11-22,8089,1
52,003D,2023,2,8093,0.00356974,1,2023-05-23,2023-05-23,8091,1
53,003E,2014,2,8057,1,1,2014-05-20,2014-05-20,8054,2
60,003M,2018,3,8074,0.006046092,1,2018-08-21,2018-08-21,8072,1
61,003N,2009,4,8039,0.045092024,1,2009-10-27,2009-10-27,8037,1
61,003N,2010,2,8041,0.137797896,1,2010-05-24,2010-05-24,8039,1
61,003N,2012,2,8049,1,1,2012-06-13,2012-06-13,8046,2
65,003S,2022,2,8089,0.16451614,1,2022-06-28,2022-06-28,8085,3
68,003V,2016,3,8066,0.114366636,1,2016-08-09,2016-08-09,8064,1
73,004A,2015,3,8062,8.37e-4,1,2015-07-14,2015-07-14,8058,3
73,004A,2016,2,8065,0.010757,1,2016-05-03,2016-05-03,8062,2
75,004C,2017,3,8070,9.23e-4,1,2017-09-06,2017-09-06,8068,1
