audit_year,alive_grid_badgers,exact_xy,xy_within_1yr,xy_within_2yr,exact_socg,socg_within_1yr,exact_xy_pct,xy_within_1yr_pct,xy_within_2yr_pct,exact_socg_pct,socg_within_1yr_pct
1976,12,0,0,0,12,12,0,0,0,100,100
1977,41,0,0,0,41,41,0,0,0,100,100
1978,116,0,0,0,109,116,0,0,0,93.96551724137932,100
1979,135,0,0,0,120,131,0,0,0,88.88888888888889,97.03703703703704
1980,119,0,0,0,91,115,0,0,0,76.47058823529412,96.63865546218487
1981,137,0,0,0,104,133,0,0,0,75.91240875912409,97.08029197080292
1982,133,0,0,0,105,129,0,0,0,78.94736842105263,96.99248120300751
1983,163,0,0,0,145,160,0,0,0,88.95705521472392,98.15950920245399
1984,194,0,0,0,160,188,0,0,0,82.47422680412372,96.90721649484536
1985,223,0,0,0,172,213,0,0,0,77.13004484304933,95.51569506726457
1986,263,0,0,0,211,252,0,0,0,80.22813688212928,95.81749049429658
1987,293,0,0,0,238,284,0,0,0,81.22866894197952,96.9283276450512
1988,334,0,0,0,297,328,0,0,0,88.92215568862275,98.20359281437126
1989,335,0,0,0,293,323,0,0,0,87.46268656716418,96.41791044776119
1990,353,0,0,0,300,342,0,0,0,84.98583569405099,96.88385269121812
1991,403,0,0,0,369,393,0,0,0,91.56327543424318,97.51861042183623
1992,395,0,0,0,342,390,0,0,0,86.58227848101266,98.73417721518987
1993,415,0,0,0,376,411,0,0,0,90.60240963855422,99.03614457831326
1994,405,0,0,0,362,400,0,0,0,89.38271604938272,98.76543209876543
1995,330,0,0,0,284,325,0,0,0,86.06060606060606,98.48484848484848
1996,277,0,0,0,243,268,0,0,0,87.72563176895306,96.75090252707581
1997,275,0,0,0,238,269,0,0,0,86.54545454545455,97.81818181818181
1998,301,0,0,0,271,295,0,0,0,90.03322259136213,98.00664451827242
1999,329,0,0,0,301,320,0,0,0,91.48936170212765,97.26443768996961
2000,314,0,0,0,264,304,0,0,0,84.07643312101911,96.81528662420382
2001,287,0,0,0,243,274,0,0,0,84.66898954703832,95.47038327526133
2002,243,0,0,0,200,231,0,0,0,82.3045267489712,95.06172839506173
2003,233,0,0,0,191,221,0,0,0,81.97424892703863,94.84978540772532
2004,227,0,0,0,179,217,0,0,0,78.8546255506608,95.59471365638767
2005,251,0,0,0,203,238,0,0,0,80.87649402390439,94.8207171314741
2006,216,0,0,0,172,206,0,0,0,79.62962962962963,95.37037037037037
2007,235,0,0,0,194,226,0,0,0,82.55319148936171,96.17021276595744
2008,247,0,0,0,200,239,0,0,0,80.97165991902834,96.76113360323886
2009,238,0,0,0,196,232,0,0,0,82.3529411764706,97.47899159663865
2010,188,0,0,0,166,184,0,0,0,88.29787234042553,97.87234042553192
2011,167,0,0,0,149,167,0,0,0,89.22155688622755,100
2012,166,0,0,0,150,166,0,0,0,90.36144578313252,100
2013,136,0,0,0,122,130,0,0,0,89.70588235294117,95.58823529411765
2014,154,0,0,0,134,150,0,0,0,87.01298701298701,97.40259740259741
2015,151,0,0,0,134,148,0,0,0,88.74172185430463,98.01324503311258
2016,119,0,0,0,103,116,0,0,0,86.5546218487395,97.47899159663865
2017,113,0,0,0,99,110,0,0,0,87.61061946902655,97.34513274336283
2018,128,0,0,0,116,126,0,0,0,90.625,98.4375
2019,133,0,0,0,117,130,0,0,0,87.96992481203007,97.74436090225564
2020,105,0,0,0,73,98,0,0,0,69.52380952380952,93.33333333333333
2021,96,0,0,0,83,91,0,0,0,86.45833333333333,94.79166666666667
2022,66,0,0,0,46,60,0,0,0,69.6969696969697,90.9090909090909
2023,28,0,0,0,23,28,0,0,0,82.14285714285714,100
2024,36,0,0,0,35,36,0,0,0,97.22222222222223,100
2025,41,0,0,0,37,41,0,0,0,90.2439024390244,100
2026,35,0,0,0,34,35,0,0,0,97.14285714285714,100
