audit_year,audit_socg,observed_badgers
1976,BEECH,3
1976,CEDAR,2
1976,HONEYWELL,1
1976,TOP,3
1976,WEST,1
1976,YEW,2
1977,ARTHURS,9
1977,BEECH,4
1977,CEDAR,4
1977,HONEYWELL,1
1977,JUNCTION,4
1977,LARCH,3
1977,SEPTICTANK,1
1977,TOP,2
1977,WEST,3
1977,YEW,11
1978,ARTHURS,9
1978,ATCOMBEWEST,1
1978,BAMBOO,1
1978,BEECH,6
1978,BOUNDARYCOURT,10
1978,BUNGALOW,4
1978,CEDAR,1
1978,COLEPARK,1
1978,COLLIERSWOOD,4
1978,DARKWOOD,2
1978,DINGLE,5
1978,HEDGE,1
1978,HONEYWELL,3
1978,INCHBROOK,5
1978,JUNCTION,8
1978,KENNEL,6
1978,LARCH,6
1978,NETTLE,3
1978,OLDOAK,3
1978,PEGLARS,2
1978,STREAM,4
1978,TOP,8
1978,WEST,3
1978,WINDSOREDGE,2
1978,WOODFARM,3
1978,YEW,10
1979,ARTHURS,9
1979,BAMBOO,3
1979,BEECH,4
1979,BOUNDARYCOURT,5
1979,BUNGALOW,3
1979,CEDAR,2
1979,COLEPARK,9
1979,COLLIERSWOOD,2
1979,DARKWOOD,3
1979,DINGLE,6
1979,HEDGE,2
1979,HONEYWELL,5
1979,INCHBROOK,4
1979,JUNCTION,7
1979,KENNEL,4
1979,LARCH,7
1979,LISTERS,2
1979,NETTLE,3
1979,OLDOAK,9
1979,PARKMILL,2
1979,PEGLARS,2
1979,SEPTICTANK,1
1979,TOP,12
1979,WEST,3
1979,WINDSOREDGE,5
1979,WOODFARM,1
1979,YEW,9
1980,ARTHURS,8
1980,BAMBOO,7
1980,BEECH,6
1980,BOUNDARYCOURT,1
1980,BUNGALOW,3
1980,CEDAR,1
1980,COLEPARK,3
1980,COLLIERSWOOD,1
1980,DARKWOOD,1
1980,DINGLE,1
1980,HEDGE,4
1980,HONEYWELL,3
1980,JUNCTION,4
1980,KENNEL,3
1980,LARCH,5
1980,NETTLE,2
1980,OLDOAK,6
1980,OUTSIDE,2
1980,PARKMILL,2
1980,SEPTICTANK,5
1980,TOP,7
1980,WEST,8
1980,WINDSOREDGE,3
1980,WOODFARM,2
1980,YEW,10
1981,ARTHURS,12
1981,BAMBOO,1
1981,BEECH,3
1981,CEDAR,3
1981,COLEPARK,5
1981,COLLIERSWOOD,3
1981,DARKWOOD,1
1981,HEDGE,5
1981,HONEYWELL,5
1981,INCHBROOK,2
1981,JUNCTION,8
1981,KENNEL,6
1981,LARCH,6
1981,LISTERS,1
1981,NETTLE,1
1981,OLDOAK,5
1981,PARKMILL,1
1981,PEGLARS,2
1981,SEPTICTANK,10
1981,TOP,8
1981,WEST,9
1981,WINDSOREDGE,5
1981,YEW,9
1982,ARTHURS,10
1982,ATCOMBECORNER,1
1982,ATCOMBEWEST,2
1982,BAMBOO,2
1982,BEECH,3
1982,BUNGALOW,1
1982,CEDAR,1
1982,COLEPARK,2
1982,COLLIERSWOOD,1
1982,DARKWOOD,1
1982,DINGLE,1
1982,HEDGE,5
1982,INCHBROOK,2
1982,JACKSMIREY,7
1982,JUNCTION,4
1982,KENNEL,5
1982,LARCH,8
1982,OLDOAK,5
1982,OUTSIDE,3
1982,PARKMILL,1
1982,PEGLARS,3
1982,SEPTICTANK,7
1982,STREAM,1
1982,TOP,5
1982,WEST,9
1982,WINDSOREDGE,8
1982,WOODFARM,2
1982,YEW,11
1983,ARTHURS,8
1983,ATCOMBECORNER,4
1983,ATCOMBEWEST,7
1983,BAMBOO,2
1983,BEECH,3
1983,BUNGALOW,1
1983,CEDAR,3
1983,COLEPARK,7
1983,COLLIERSWOOD,6
1983,DINGLE,1
1983,HEDGE,6
1983,HONEYWELL,1
1983,JACKSMIREY,9
1983,JUNCTION,5
1983,KENNEL,4
1983,LARCH,9
1983,LISTERS,3
1983,NETTLE,2
1983,OLDOAK,5
1983,OUTSIDE,4
1983,PARKMILL,3
1983,PEGLARS,11
1983,SEPTICTANK,9
1983,STREAM,3
1983,TOP,7
1983,WEST,9
1983,WINDSOREDGE,8
1983,YEW,12
1984,ARTHURS,10
1984,ATCOMBEWEST,7
1984,BAMBOO,3
1984,BEECH,3
1984,BUNGALOW,2
1984,CEDAR,1
1984,COLEPARK,5
1984,COLLIERSWOOD,7
1984,DARKWOOD,1
1984,FIELDFARM,6
1984,HEDGE,8
1984,JACKSMIREY,6
1984,JUNCTION,8
1984,KENNEL,8
1984,LARCH,9
1984,LISTERS,2
1984,NETTLE,5
1984,OLDOAK,6
1984,PARKMILL,2
1984,PEGLARS,10
1984,SEPTICTANK,9
1984,STREAM,3
1984,TOP,11
1984,WEST,9
1984,WINDSOREDGE,2
1984,WOODFARM,1
1984,YEW,20
1985,ARTHURS,12
1985,ATCOMBEWEST,3
1985,BAMBOO,3
1985,BEECH,7
1985,BOUNDARYCOURT,1
1985,BUNGALOW,3
1985,CEDAR,3
1985,COLEPARK,6
1985,COLLIERSWOOD,8
1985,FIELDFARM,4
1985,HEDGE,5
1985,INCHBROOK,2
1985,JACKSMIREY,4
1985,JUNCTION,9
1985,KENNEL,15
1985,LARCH,9
1985,NETTLE,5
1985,OLDOAK,6
1985,OUTSIDE,2
1985,PEGLARS,18
1985,PRIORY,1
1985,SEPTICTANK,11
1985,TOP,13
1985,WEST,9
1985,WOODFARM,2
1985,YEW,14
1986,ARTHURS,10
1986,ATCOMBECORNER,5
1986,ATCOMBEWEST,8
1986,BAMBOO,7
1986,BEECH,7
1986,BUNGALOW,7
1986,CEDAR,7
1986,COLEPARK,10
1986,COLLIERSWOOD,8
1986,DARKWOOD,5
1986,DINGLE,4
1986,FIELDFARM,2
1986,HEDGE,3
1986,HONEYWELL,4
1986,INCHBROOK,2
1986,JACKSMIREY,5
1986,JUNCTION,10
1986,KENNEL,10
1986,LARCH,9
1986,NETTLE,6
1986,OLDOAK,14
1986,OUTSIDE,8
1986,PARKMILL,3
1986,PEGLARS,23
1986,SEPTICTANK,13
1986,STREAM,1
1986,TOP,12
1986,WEST,5
1986,WINDSOREDGE,3
1986,WOODFARM,1
1986,YEW,9
1987,ARTHURS,12
1987,ATCOMBECORNER,11
1987,ATCOMBEWEST,4
1987,BAMBOO,4
1987,BEECH,5
1987,BOUNDARYCOURT,5
1987,BUNGALOW,4
1987,CEDAR,5
1987,COLEPARK,7
1987,COLLIERSWOOD,10
1987,DARKWOOD,1
1987,DINGLE,6
1987,FIELDFARM,3
1987,HEDGE,9
1987,HONEYWELL,2
1987,INCHBROOK,4
1987,JACKSMIREY,10
1987,JUNCTION,14
1987,KENNEL,7
1987,LARCH,10
1987,LISTERS,4
1987,NETTLE,2
1987,OLDOAK,8
1987,OUTSIDE,3
1987,PARKMILL,6
1987,PEGLARS,21
1987,SEPTICTANK,13
1987,STREAM,2
1987,TOP,12
1987,WEST,16
1987,WINDSOREDGE,6
1987,WOODFARM,1
1987,YEW,23
1988,ARTHURS,11
1988,ATCOMBECORNER,7
1988,ATCOMBEWEST,13
1988,BAMBOO,6
1988,BEECH,7
1988,BOUNDARYCOURT,4
1988,BUNGALOW,9
1988,CEDAR,4
1988,COLEPARK,9
1988,COLLIERSWOOD,13
1988,DARKWOOD,2
1988,DINGLE,11
1988,FIELDFARM,14
1988,HEDGE,10
1988,HOLLYWOOD,8
1988,HONEYWELL,2
1988,INCHBROOK,7
1988,JACKSMIREY,8
1988,JUNCTION,11
1988,KENNEL,16
1988,LARCH,15
1988,LISTERS,3
1988,NETTLE,8
1988,OLDOAK,5
1988,OUTSIDE,19
1988,PARKMILL,9
1988,PEGLARS,13
1988,SEPTICTANK,13
1988,STREAM,1
1988,TOP,10
1988,WEST,18
1988,WINDSOREDGE,8
1988,WOODFARM,4
1988,YEW,26
1989,ARTHURS,8
1989,ATCOMBECORNER,7
1989,ATCOMBEWEST,12
1989,BAMBOO,4
1989,BEECH,11
1989,BOUNDARYCOURT,3
1989,BUNGALOW,14
1989,CEDAR,7
1989,COLEPARK,8
1989,COLLIERSWOOD,11
1989,DARKWOOD,6
1989,DINGLE,13
1989,FIELDFARM,10
1989,HEDGE,17
